Entry	Gene Names	Orthomcl ID
A0A2H0ZJ13	B9J08_004455	OG6r20_115441
A0A2H0ZJ25	B9J08_004453	OG6r20_115440
A0A2H0ZIX7	B9J08_004428	OG6r20_115439
A0A2H0ZIW7	B9J08_004418	OG6r20_115438
A0A2H0ZIW5	B9J08_004376	OG6r20_115437
A0A2H0ZIJ3	B9J08_004291	OG6r20_115436
A0A2H0ZIH9	B9J08_004276	OG6r20_115435
A0A2H0ZI86	B9J08_004194	OG6r20_115434
A0A2H0ZIC6	B9J08_004193	OG6r20_115433
A0A2H0ZI64	B9J08_004174	OG6r20_115432
A0A2H0ZXJ2	B9J08_002507	OG6r20_115431
A0A2H0ZVE1	B9J08_002407	OG6r20_115430
A0A2H0ZV79	B9J08_002356	OG6r20_115429
A0A2H0ZHY6	B9J08_004481	OG6r20_115428
A0A2H0ZGY5	B9J08_004597	OG6r20_115427
A0A2H0ZIR3	B9J08_004599	OG6r20_115426
A0A2H0ZG14	B9J08_004614	OG6r20_115425
A0A2H0ZG37	B9J08_004634	OG6r20_115424
A0A2H0ZH47	B9J08_004637	OG6r20_115423
A0A2H0ZHD9	B9J08_004698	OG6r20_115422
A0A2H0ZGI7	B9J08_004755	OG6r20_115421
A0A2H0ZHJ7	B9J08_004779	OG6r20_115420
A0A2H0ZV06	B9J08_002255	OG6r20_115418
A0A2H0ZVV8	B9J08_002256	OG6r20_115417
A0A2H0ZG18	B9J08_005257	OG6r20_115416
A0A2H0ZCX6	B9J08_005173	OG6r20_115415
A0A2H0ZCY6	B9J08_005159	OG6r20_115414
A0A2H0ZCK3	B9J08_005059	OG6r20_115413
A0A2H0ZCI5	B9J08_005041	OG6r20_115412
A0A2H1A824	B9J08_000490	OG6r20_115410
A0A2H1A539	B9J08_000521	OG6r20_115409
A0A2H1A581	B9J08_000540	OG6r20_115408
A0A2H1A5L1	B9J08_000676	OG6r20_115407
A0A2H1A5Y7	B9J08_000773	OG6r20_115406
A0A2H1A600	B9J08_000783	OG6r20_115405
A0A2H1A687	B9J08_000892	OG6r20_115404
A0A2H1A6D5	B9J08_000929	OG6r20_115403
A0A2H1A7B4	B9J08_000931	OG6r20_115402
A0A2H1A215	B9J08_001180	OG6r20_115401
A0A2H0ZWT5	B9J08_002234	OG6r20_115400
A0A2H0ZW46	B9J08_001962	OG6r20_115399
A0A2H0ZP48	B9J08_004033	OG6r20_115398
A0A2H0ZNN2	B9J08_003845	OG6r20_115397
A0A2H0ZN28	B9J08_003627	OG6r20_115396
A0A2H0ZM90	B9J08_003333	OG6r20_115395
A0A2H0ZM55	B9J08_003317	OG6r20_115394
A0A2H1A1N3	B9J08_001339	OG6r20_115392
A0A2H1A1R5	B9J08_001370	OG6r20_115391
A0A2H1A7E7	B9J08_000249	OG6r20_115390
A0A2H0ZKL8	B9J08_002730	OG6r20_115388
A0A2H0ZQV2	B9J08_002640	OG6r20_115387
A0A2H0ZD19	B9J08_005222	OG6r20_115239
A0A2H0ZKM3	B9J08_002773	OG6r20_112612
A0A2H0ZVP6	B9J08_002498	OG6r20_112611
A0A2H1A8R7	B9J08_000401	OG6r20_112610
A0A2H0ZBZ1	B9J08_005556	OG6r20_112609
A0A2H0ZBY4	B9J08_005558	OG6r20_112608
A0A2H0ZCN2	B9J08_005066	OG6r20_112607
A0A2H0ZYX6	B9J08_001942	OG6r20_112604
A0A2H0ZSU1	B9J08_003325	OG6r20_112603
A0A2H0ZJJ9	B9J08_004254	OG6r20_112601
A0A2H0ZI93	B9J08_004180	OG6r20_112600
A0A2H0ZV51	B9J08_002309	OG6r20_112598
A0A2H0ZGC3	B9J08_004703	OG6r20_112597
A0A2H0ZGF4	B9J08_004711	OG6r20_112596
A0A2H0ZD94	B9J08_005292	OG6r20_112595
A0A2H0ZCY0	B9J08_005182	OG6r20_112594
A0A2H0ZCU9	B9J08_005151	OG6r20_112593
A0A2H0ZCG4	B9J08_005017	OG6r20_112591
A0A2H0ZCG6	B9J08_005006	OG6r20_112590
A0A2H1A794	B9J08_000911	OG6r20_112589
A0A5C1DXH8	B9J08_001240	OG6r20_112588
A0A2H0ZWU7	B9J08_002228	OG6r20_112587
A0A2H0ZPR2	B9J08_002118	OG6r20_112586
A0A2H0ZP35	B9J08_004023	OG6r20_112585
A0A2H0ZMX1	B9J08_003591	OG6r20_112584
A0A2H0ZUV5	B9J08_002248	OG6r20_112583
A0A2H0ZPE6	B9J08_004102	OG6r20_112582
A0A2H0ZR67	B9J08_002790	OG6r20_112581
A0A2H0ZL31	B9J08_002593	OG6r20_112580
A0A2H0ZZA1	B9J08_001736	OG6r20_112579
A0A2H0ZY96	B9J08_001719	OG6r20_112578
A0A2H0ZBY3	B9J08_005559	OG6r20_112577
A0A2H0ZDV1	B9J08_005513	OG6r20_112573
A0A2H0ZX16	B9J08_002343	OG6r20_112572
A0A2H1A8L9	B9J08_000277	OG6r20_112426
A0A2H1A2L7	B9J08_000116	OG6r20_110735
A0A2H0ZK03	B9J08_004390	OG6r20_110734
A0A2H0ZIT4	B9J08_004387	OG6r20_110733
A0A2H0ZIV2	B9J08_004366	OG6r20_110732
A0A2H0ZBW2	B9J08_005573	OG6r20_110731
A0A2H0ZH77	B9J08_004770	OG6r20_110730
A0A2H0ZGM4	B9J08_004794	OG6r20_110729
A0A2H0ZHN2	B9J08_004799	OG6r20_110728
A0A2H0ZDJ3	B9J08_005063	OG6r20_110727
A0A2H1A537	B9J08_000505	OG6r20_110726
A0A2H1A5A8	B9J08_000717	OG6r20_110725
A0A2H1A5Y1	B9J08_000791	OG6r20_110724
A0A2H1A775	B9J08_000890	OG6r20_110723
A0A2H1A4S2	B9J08_000940	OG6r20_110722
A0A2H0ZP34	B9J08_003952	OG6r20_110721
A0A2H0ZNH6	B9J08_003475	OG6r20_110720
A0A2H0ZML3	B9J08_003481	OG6r20_110719
A0A5Q7YEM8	B9J08_003336	OG6r20_110718
A0A2H0ZM66	B9J08_003318	OG6r20_110717
A0A2H0ZLQ6	B9J08_003137	OG6r20_110716
A0A2H0ZLS2	B9J08_003129	OG6r20_110715
A0A2H1A1M8	B9J08_001341	OG6r20_110714
A0A2H1A1Q0	B9J08_001361	OG6r20_110713
A0A2H1A340	B9J08_000361	OG6r20_110712
A0A2H1A8G3	B9J08_000308	OG6r20_110711
A0A2H1A2R3	B9J08_000211	OG6r20_110710
A0A2H0ZLF5	B9J08_003042	OG6r20_110709
A0A2H0ZRI2	B9J08_002884	OG6r20_110708
A0A2H0ZKS5	B9J08_002825	OG6r20_110707
A0A2H0ZR33	B9J08_002729	OG6r20_110706
A0A2H0ZL01	B9J08_002592	OG6r20_110704
A0A2H0ZYW0	B9J08_001932	OG6r20_110703
A0A2H1A010	B9J08_001918	OG6r20_110702
A0A2H0ZXT2	B9J08_001549	OG6r20_110701
A0A2H0ZLT1	B9J08_003191	OG6r20_110676
A0A2H0ZXL2	B9J08_002540	OG6r20_110666
A0A2H0ZN72	B9J08_003698	OG6r20_110664
A0A2H0ZCA2	B9J08_004951	OG6r20_110662
A0A2H0ZD66	B9J08_005265	OG6r20_110517
A0A2H0ZGQ6	B9J08_004842	OG6r20_109212
A0A2H0ZM54	B9J08_003301	OG6r20_109211
A0A2H0ZJ07	B9J08_004416	OG6r20_109210
A0A2H0ZVP8	B9J08_002509	OG6r20_109208
A0A2H0ZVN5	B9J08_002486	OG6r20_109207
A0A2H0ZDV6	B9J08_005511	OG6r20_109205
A0A2H0ZGK7	B9J08_004505	OG6r20_109204
A0A2H0ZGN8	B9J08_004535	OG6r20_109203
A0A2H0ZG32	B9J08_004623	OG6r20_109202
A0A2H0ZHJ2	B9J08_004632	OG6r20_109201
A0A2H0ZHS3	B9J08_004790	OG6r20_109200
A0A2H0ZDL1	B9J08_005420	OG6r20_109199
A0A2H0ZCZ8	B9J08_005189	OG6r20_109198
A0A2H0ZEB3	B9J08_005014	OG6r20_109197
A0A2H0ZC82	B9J08_004945	OG6r20_109196
A0A2H1A3D8	B9J08_000472	OG6r20_109195
A0A2H1A6H0	B9J08_000642	OG6r20_109194
A0A2H1A3Z9	B9J08_000669	OG6r20_109193
A0A2H1A6D4	B9J08_000943	OG6r20_109191
A0A2H0ZZT1	B9J08_001189	OG6r20_109190
A0A2H0ZWQ9	B9J08_002221	OG6r20_109189
A0A2H0ZWG6	B9J08_002119	OG6r20_109188
A0A2H0ZW84	B9J08_002055	OG6r20_109187
A0A5Q7YGS5	B9J08_001978	OG6r20_109186
A0A2H0ZP42	B9J08_004007	OG6r20_109185
A0A2H0ZTQ9	B9J08_003644	OG6r20_109184
A0A2H0ZTH4	B9J08_003601	OG6r20_109183
A0A2H0ZNC2	B9J08_003422	OG6r20_109182
A0A2H0ZMM2	B9J08_003491	OG6r20_109181
A0A2H0ZSY4	B9J08_003388	OG6r20_109179
A0A5Q7YEK5	B9J08_003337	OG6r20_109178
A0A2H0ZM71	B9J08_003334	OG6r20_109177
A0A2H1A6P8	B9J08_000006	OG6r20_109176
A0A2H1A1V6	B9J08_001412	OG6r20_109175
A0A2H1A7X6	B9J08_000441	OG6r20_109174
A0A2H1A376	B9J08_000403	OG6r20_109173
A0A2H1A7P4	B9J08_000357	OG6r20_109172
A0A2H1A7C3	B9J08_000221	OG6r20_109171
A0A2H1A797	B9J08_000196	OG6r20_109170
A0A2H0ZM67	B9J08_003003	OG6r20_109169
A0A2H0ZKU5	B9J08_002802	OG6r20_109168
A0A2H0ZLI3	B9J08_002747	OG6r20_109167
A0A2H0ZKJ7	B9J08_002709	OG6r20_109166
A0A5C1DRY7	B9J08_002695	OG6r20_109165
A0A2H0ZYV0	B9J08_001894	OG6r20_109164
A0A2H0ZXX5	B9J08_001599	OG6r20_109161
A0A2H0ZIG4	B9J08_004272	OG6r20_109136
A0A2H0ZMX9	B9J08_003260	OG6r20_109126
A0A2H0ZLC1	B9J08_003011	OG6r20_109042
A0A2H0ZJ44	B9J08_004444	OG6r20_108818
A0A2H0ZRV4	B9J08_002899	OG6r20_108005
A0A2H0ZYC1	B9J08_001738	OG6r20_108004
A0A2H0ZYZ6	B9J08_001520	OG6r20_108002
A0A2H1A1Z4	B9J08_001440	OG6r20_108001
A0A2H0ZIK0	B9J08_004305	OG6r20_107998
A0A2H0ZIH0	B9J08_004257	OG6r20_107997
A0A2H0ZV78	B9J08_002330	OG6r20_107996
A0A2H0ZV66	B9J08_002319	OG6r20_107995
A0A2H0ZDS5	B9J08_005485	OG6r20_107994
A0A2H0ZED0	B9J08_005311	OG6r20_107993
A0A2H0ZD91	B9J08_005293	OG6r20_107992
A0A2H1A246	B9J08_001491	OG6r20_107991
A0A2H1A3B1	B9J08_001490	OG6r20_107990
A0A2H1A5B6	B9J08_000595	OG6r20_107989
A0A2H1A6J4	B9J08_000663	OG6r20_107988
A0A2H1A6J8	B9J08_000702	OG6r20_107987
A0A2H1A430	B9J08_000712	OG6r20_107986
A0A2H0ZWI2	B9J08_002129	OG6r20_107985
A0A2H0ZUD3	B9J08_004036	OG6r20_107984
A0A2H0ZNH4	B9J08_003789	OG6r20_107983
A0A2H0ZN89	B9J08_003705	OG6r20_107982
A0A2H0ZTL2	B9J08_003606	OG6r20_107981
A0A2H0ZMT2	B9J08_003556	OG6r20_107980
A0A2H0ZMQ9	B9J08_003532	OG6r20_107979
A0A2H1A6G9	B9J08_000986	OG6r20_107978
A0A2H0ZZH5	B9J08_001317	OG6r20_107977
A0A2H0ZRT9	B9J08_002968	OG6r20_107976
A0A2H0ZR42	B9J08_002734	OG6r20_107975
A0A2H0ZQF4	B9J08_001906	OG6r20_107974
A0A2H1A0F5	B9J08_001659	OG6r20_107973
A0A2H0ZC06	B9J08_005543	OG6r20_107967
A0A2H0ZG93	B9J08_004686	OG6r20_107967
A0A2H1A6C0	B9J08_000906	OG6r20_107959
A0A2H0ZYC4	B9J08_001755	OG6r20_107958
A0A2H0ZZ03	B9J08_001500	OG6r20_107952
A0A2H0ZP53	B9J08_003694	OG6r20_107940
A0A2H0ZIJ5	B9J08_004260	OG6r20_107845
A0A2H0ZL57	B9J08_002938	OG6r20_106996
A0A2H0ZIZ0	B9J08_004422	OG6r20_106995
A0A2H0ZJN7	B9J08_004348	OG6r20_106994
A0A2H0ZIB2	B9J08_004200	OG6r20_106993
A0A2H0ZVV7	B9J08_002541	OG6r20_106992
A0A2H0ZWI1	B9J08_002471	OG6r20_106991
A0A2H0ZV33	B9J08_002314	OG6r20_106990
A0A2H0ZGJ8	B9J08_004765	OG6r20_106989
A0A2H0ZIH8	B9J08_004284	OG6r20_106989
A0A2H0ZD45	B9J08_005243	OG6r20_106988
A0A2H0ZDC2	B9J08_004989	OG6r20_106987
A0A2H0ZC77	B9J08_004940	OG6r20_106986
A0A2H1A0Z4	B9J08_001111	OG6r20_106985
A0A2H0ZM32	B9J08_003286	OG6r20_106984
A0A2H0ZLI8	B9J08_003070	OG6r20_106983
A0A2H1A4X6	B9J08_001011	OG6r20_106982
A0A2H1A7F0	B9J08_000972	OG6r20_106981
A0A2H0ZLG4	B9J08_002727	OG6r20_106980
A0A2H1A061	B9J08_001919	OG6r20_106979
A0A2H0ZBY9	B9J08_005555	OG6r20_106978
A0A2H0ZYT7	B9J08_001552	OG6r20_106978
A0A2H0ZWQ2	B9J08_002552	OG6r20_106975
A0A2H1A807	B9J08_000119	OG6r20_106972
A0A2H1A112	B9J08_001117	OG6r20_106968
A0A2H0ZIS2	B9J08_004362	OG6r20_106966
A0A2H0ZD24	B9J08_005200	OG6r20_106963
A0A2H0ZZB6	B9J08_001746	OG6r20_106961
A0A2H1A748	B9J08_000158	OG6r20_106955
A0A2H0ZM69	B9J08_003332	OG6r20_106953
A0A2H1A7M8	B9J08_000336	OG6r20_106950
A0A2H0ZFP2	B9J08_004498	OG6r20_106135
A0A2H0ZV13	B9J08_002288	OG6r20_106134
A0A2H0ZCZ4	B9J08_005562	OG6r20_106133
A0A2H1A6P9	B9J08_000001	OG6r20_106133
A0A2H1A467	B9J08_000736	OG6r20_106132
A0A2H1A708	B9J08_000817	OG6r20_106131
A0A2H1A174	B9J08_001182	OG6r20_106130
A0A2H0ZU99	B9J08_003875	OG6r20_106129
A0A2H0ZNM7	B9J08_003853	OG6r20_106128
A0A2H0ZWJ0	B9J08_002140	OG6r20_106126
A0A2H1A5A3	B9J08_000583	OG6r20_106125
A0A2H0ZDS6	B9J08_005479	OG6r20_106123
A0A2H0ZIJ8	B9J08_004296	OG6r20_106120
A0A2H0ZLQ3	B9J08_003109	OG6r20_106119
A0A2H0ZGM7	B9J08_004783	OG6r20_106117
A0A2H1A7I9	B9J08_000295	OG6r20_106115
A0A2H0ZY95	B9J08_001714	OG6r20_106109
A0A2H0ZMD0	B9J08_003375	OG6r20_106099
A0A2H0ZKN2	B9J08_002785	OG6r20_105308
A0A2H1A5D8	B9J08_000597	OG6r20_105307
A0A2H0ZJ75	B9J08_004168	OG6r20_105305
A0A2H0ZDU1	B9J08_005503	OG6r20_105304
A0A2H0ZHJ1	B9J08_004643	OG6r20_105303
A0A2H0ZD38	B9J08_005234	OG6r20_105302
A0A2H0ZEI5	B9J08_005147	OG6r20_105301
A0A2H1A0Y6	B9J08_001219	OG6r20_105300
A0A2H0ZP67	B9J08_004056	OG6r20_105299
A0A2H0ZL58	B9J08_002946	OG6r20_105298
A0A2H0ZMC5	B9J08_003068	OG6r20_105291
A0A2H0ZK59	B9J08_002621	OG6r20_105288
A0A2H0ZMT8	B9J08_003550	OG6r20_105287
A0A2H0ZG85	B9J08_004674	OG6r20_105286
A0A2H0ZMM3	B9J08_003468	OG6r20_105281
A0A2H0ZV99	B9J08_002282	OG6r20_105276
A0A2H0ZCE8	B9J08_005004	OG6r20_105112
A0A2H1A6Q4	B9J08_001051	OG6r20_104619
A0A2H0ZQ19	B9J08_003917	OG6r20_104618
A0A2H0ZUF1	B9J08_004008	OG6r20_104617
A0A2H0ZMF6	B9J08_003420	OG6r20_104616
A0A2H0ZMT4	B9J08_003541	OG6r20_104615
A0A2H0ZLE6	B9J08_003030	OG6r20_104614
A0A2H0ZVM3	B9J08_002415	OG6r20_104612
A0A2H0ZIR5	B9J08_004368	OG6r20_104611
A0A2H0ZLJ3	B9J08_002757	OG6r20_104609
A0A2H0ZGD7	B9J08_004732	OG6r20_104604
A0A2H0ZNH7	B9J08_003794	OG6r20_104603
A0A2H0ZVB1	B9J08_002372	OG6r20_104602
A0A2H0ZKS8	B9J08_002824	OG6r20_104594
A0A2H0ZNZ7	B9J08_003960	OG6r20_104590
A0A2H0ZG06	B9J08_004570	OG6r20_104589
A0A2H0ZH30	B9J08_004667	OG6r20_104587
A0A2H0ZYA5	B9J08_002353	OG6r20_104427
A0A2H1A633	B9J08_000825	OG6r20_103998
A0A2H0ZWP9	B9J08_002204	OG6r20_103997
A0A2H0ZW82	B9J08_002028	OG6r20_103996
A0A2H0ZN41	B9J08_003619	OG6r20_103995
A0A2H0ZCV0	B9J08_005561	OG6r20_103994
A0A2H0ZYN1	B9J08_001551	OG6r20_103994
A0A2H0ZLF6	B9J08_003027	OG6r20_103993
A0A2H0ZMV0	B9J08_003230	OG6r20_103992
A0A2H0ZP02	B9J08_003984	OG6r20_103988
A0A2H0ZKK9	B9J08_002720	OG6r20_103986
A0A2H0ZRJ2	B9J08_001792	OG6r20_103984
A0A2H0ZWN6	B9J08_002492	OG6r20_103981
A0A2H1A7J8	B9J08_000316	OG6r20_103979
A0A2H1A707	B9J08_000104	OG6r20_103967
A0A2H0ZD60	B9J08_005262	OG6r20_103953
A0A2H0ZR41	B9J08_002082	OG6r20_103950
A0A2H0ZHZ3	B9J08_004103	OG6r20_103503
A0A5Q7YDL1	B9J08_001023	OG6r20_103502
A0A2H1A1Y4	B9J08_001437	OG6r20_103501
A0A2H0ZLA8	B9J08_002985	OG6r20_103500
A0A2H0ZWH8	B9J08_002141	OG6r20_103499
A0A2H1A7A3	B9J08_000199	OG6r20_103498
A0A2H0ZY46	B9J08_001680	OG6r20_103496
A0A2H0ZP36	B9J08_004020	OG6r20_103493
A0A2H1A1B7	B9J08_001223	OG6r20_103492
A0A2H1A586	B9J08_000546	OG6r20_103491
A0A2H0ZW66	B9J08_002031	OG6r20_103490
A0A2H0ZCD2	B9J08_004984	OG6r20_103489
A0A2H0ZC83	B9J08_004942	OG6r20_103488
A0A2H0ZG39	B9J08_004628	OG6r20_103464
A0A2H1A548	B9J08_000634	OG6r20_103463
A0A2H1A0Y3	B9J08_001101	OG6r20_103094
A0A2H0ZU87	B9J08_003843	OG6r20_103093
A0A2H0ZP71	B9J08_003733	OG6r20_103092
A0A2H0ZNU1	B9J08_003584	OG6r20_103091
A0A5Q7YEQ1	B9J08_003345	OG6r20_103090
A0A2H1A7T0	B9J08_000385	OG6r20_103089
A0A2H0ZQT9	B9J08_002626	OG6r20_103088
A0A2H0ZL50	B9J08_002613	OG6r20_103087
A0A2H0ZEW1	B9J08_005267	OG6r20_103086
A0A2H0ZEJ5	B9J08_005394	OG6r20_103085
A0A2H1A702	B9J08_000110	OG6r20_103084
A0A2H1A7H2	B9J08_001042	OG6r20_103083
A0A2H1A7X3	B9J08_000440	OG6r20_103080
A0A2H0ZKY9	B9J08_002843	OG6r20_103078
A0A2H1A2M9	B9J08_001357	OG6r20_103077
A0A2H1A6S2	B9J08_000021	OG6r20_103075
A0A2H0ZVE9	B9J08_002417	OG6r20_102803
A0A2H0ZUY0	B9J08_004087	OG6r20_102802
A0A2H0ZNW2	B9J08_003930	OG6r20_102801
A0A2H0ZNH3	B9J08_003454	OG6r20_102800
A0A2H0ZBP3	B9J08_005579	OG6r20_102799
A0A2H0ZBW1	B9J08_005575	OG6r20_102798
A0A2H0ZVZ4	B9J08_002584	OG6r20_102798
A0A2H1A505	B9J08_001052	OG6r20_102798
A0A2H0ZYR5	B9J08_001882	OG6r20_102797
A0A2H0ZQ32	B9J08_001725	OG6r20_102796
A0A2H0ZW88	B9J08_002012	OG6r20_102795
A0A2H1A5F5	B9J08_000623	OG6r20_102794
A0A2H1A6A2	B9J08_000885	OG6r20_102793
A0A2H0ZW33	B9J08_001969	OG6r20_102792
A0A2H0ZIS0	B9J08_004559	OG6r20_102791
A0A2H0ZGZ5	B9J08_004871	OG6r20_102790
A0A2H1A1P4	B9J08_001350	OG6r20_102789
A0A2H0ZRW4	B9J08_003004	OG6r20_102788
A0A2H0ZY09	B9J08_001637	OG6r20_102787
A0A2H1A1V7	B9J08_001119	OG6r20_102786
A0A2H0ZWK2	B9J08_002161	OG6r20_102785
A0A2H1A975	B9J08_000456	OG6r20_102784
A0A2H0ZY82	B9J08_001711	OG6r20_102783
A0A2H1A6U2	B9J08_000041	OG6r20_102782
A0A2H1A139	B9J08_001164	OG6r20_102781
A0A2H0ZYW7	B9J08_001904	OG6r20_102779
A0A2H0ZN11	B9J08_003636	OG6r20_102778
A0A2H1A474	B9J08_000292	OG6r20_102777
A0A2H1A131	B9J08_001159	OG6r20_102748
A0A2H0ZT09	B9J08_003419	OG6r20_102503
A0A2H0ZN75	B9J08_003350	OG6r20_102502
A0A2H1A6P0	B9J08_001028	OG6r20_102501
A0A2H1A5W6	B9J08_001008	OG6r20_102500
A0A2H1A0F6	B9J08_001663	OG6r20_102499
A0A2H0ZLR9	B9J08_003174	OG6r20_102498
A0A2H1A5C1	B9J08_000575	OG6r20_102497
A0A2H0ZY67	B9J08_001700	OG6r20_102496
A0A2H0ZW05	B9J08_001961	OG6r20_102495
A0A2H0ZPE1	B9J08_001980	OG6r20_102494
A0A2H0ZPY8	B9J08_003897	OG6r20_102493
A0A2H0ZQD8	B9J08_001862	OG6r20_102492
A0A2H0ZQD7	B9J08_001867	OG6r20_102491
A0A2H0ZJL0	B9J08_004314	OG6r20_102490
A0A2H0ZXH4	B9J08_002131	OG6r20_102489
A0A2H1A7V6	B9J08_000130	OG6r20_102487
A0A2H0ZVT1	B9J08_002510	OG6r20_102486
A0A2H0ZZ29	B9J08_001472	OG6r20_102485
A0A2H1A478	B9J08_000724	OG6r20_102484
A0A2H0ZG98	B9J08_004660	OG6r20_102482
A0A2H1A5F0	B9J08_000608	OG6r20_102252
A0A2H1A0Y4	B9J08_001114	OG6r20_102250
A0A2H1A4M0	B9J08_000884	OG6r20_102248
A0A2H1A806	B9J08_000471	OG6r20_102247
A0A2H0ZDJ4	B9J08_005104	OG6r20_102246
A0A2H0ZK89	B9J08_002645	OG6r20_102245
A0A2H0ZNL3	B9J08_003499	OG6r20_102244
A0A2H0ZXS4	B9J08_001555	OG6r20_102243
A0A2H0ZIK4	B9J08_004302	OG6r20_102242
A0A2H0ZWJ3	B9J08_002156	OG6r20_102241
A0A2H0ZLQ4	B9J08_003145	OG6r20_102240
A0A2H1A6M2	B9J08_001030	OG6r20_102239
A0A2H1A1C8	B9J08_001234	OG6r20_102238
A0A2H1A1Z9	B9J08_001436	OG6r20_102237
A0A2H0ZUK5	B9J08_003974	OG6r20_102236
A0A2H1A371	B9J08_001459	OG6r20_102235
A0A2H1A1Q7	B9J08_001331	OG6r20_102234
A0A2H0ZSP8	B9J08_003348	OG6r20_102233
A0A2H0ZCK0	B9J08_005036	OG6r20_102232
A0A2H0ZIX2	B9J08_004415	OG6r20_102231
A0A2H0ZH87	B9J08_004760	OG6r20_102230
A0A2H0ZW60	B9J08_002007	OG6r20_102229
A0A2H1A1X4	B9J08_001100	OG6r20_102228
A0A2H0ZVD0	B9J08_002397	OG6r20_102225
A0A2H0ZDG3	B9J08_005072	OG6r20_102224
A0A2H0ZEG1	B9J08_005333	OG6r20_102223
A0A2H0ZE07	B9J08_005534	OG6r20_102221
A0A2H0ZI88	B9J08_004186	OG6r20_102220
A0A2H0ZXW1	B9J08_001596	OG6r20_102219
A0A2H0ZWW7	B9J08_002285	OG6r20_102218
A0A2H1A7Q3	B9J08_000019	OG6r20_102217
