Accession	Gene Names	Entry
OG6r21_109246	C102890CA	Q5AI75
OG6_108023	C102900CA	A0A1D8PCV3
OG6_143697	C102910CA	Q5AI71
OG6_102858	C102920WA	A0A1D8PCW7
OG6_118170	C102930CA	A0A1D8PCV0
OG6r21_106197	C102940CA	Q5AI68
OG6_121128	C102950WA	Q5AI67
OG6_112021	C102960CA	Q5AI66
OG6_102710	C102970WA	A0A1D8PCX5
OG6_100397	C102980WA	A0A1D8PCW3
OG6_107620	C102990CA	P29717
OG6_127200	C103000WA	A0A1D8PCW2
OG6_101037	C103010WA	Q9HFQ7
OG6_100961	C103020CA	O59931
OG6_100841	C103030WA	A0A1D8PCW6
OG6r21_112708	C103040WA	Q5AI58
OG6_103153	C103050WA	A0A1D8PCY2
OG6_103365	C103060CA	Q5AI56
OG6_100406	C103070CA	A0A1D8PCY1
OG6_108522	C103080CA	A0A1D8PCX9
OG6_100723	C103090WA	P40910
OG6_100476	C103100WA	A0A1D8PCX0
OG6_101188	C103110WA	A0A1D8PCX8
OG6_127248	C103120WA	Q5AI48
OG6_112760	C103130CA	A0A1D8PCX6
OG6_499989	C103140WA	Q5AI45
OG6_112036	C103150CA	A0A1D8PCZ2
OG6_103250	C103160CA	Q5AI44
OG6_127160	C103170CA	A0A1D8PCZ1
OG6_101396	C103180WA	Q5AI42
OG6_117007	C103190CA	A0A1D8PCY4
OG6_129925	C103200CA	A0A1D8PCY0
OG6_108099	C103210CA	A0A1D8PCY5
OG6_100283	C103220CA	O42766
OG6_191818	C103230CA	Q5AI37
OG6_101441	C103240WA	A0A1D8PD02
OG6_119798	C103250CA	Q5AI35
OG6_102902	C103260WA	A0A1D8PCY7
OG6_102318	C103270WA	A0A1D8PD03
OG6_112794	C103280WA	Q5AI30
OG6_104616	C103290WA	Q5AI28
OG6_100777	C103300CA	A0A1D8PCY8
OG6_102754	C103310WA	A0A1D8PCZ5
OG6_102025	C103320CA	Q5AI24
OG6_103112	C103330CA	Q5AI22
OG6_106907	C103340CA	Q5AI21
OG6_101314	C103350CA	Q5AI20
OG6_102222	C103360WA	A0A1D8PCZ6
OG6_100425	C103370WA	Q5AI15
OG6_100616	C103380WA	Q5AI14
OG6_100540	C103390WA	A0A1D8PD05
OG6_500046	C103400WA	A0A1D8PCZ8
OG6r21_108052	C103410WA	A0A1D8PD04
OG6_108836	C103430WA	Q5AI09
OG6_118274	C103440CA	Q5AI07
OG6_114861	C103450CA	A0A1D8PD21
OG6r21_101516	C103460CA	A0A1D8PD17
OG6_100860	C103470CA	A0A1D8PD13
OG6_101039	C103480CA	A0A1D8PD25
OG6_101954	C103490WA	Q5AI01
OG6_101123	C103500WA	Q5AI00
OG6_165199	C103510CA	A0A1D8PD11
OG6_101680	C103520WA	A0A1D8PD15
OG6_137788	C103530WA	Q5AHZ7
OG6_222604	C103540CA	A0A1D8PD24
OG6_102655	C103550CA	Q5AHZ4
OG6_101024	C103560CA	Q5AHZ3
OG6r21_167611	C103580WA	A0A1D8PD19
OG6_103527	C103600WA	Q5AHZ2
OG6_100609	C103610CA	Q5AHZ1
OG6_100322	C103620CA	P0CU35
OG6_104423	C103630WA	A0A1D8PD23
OG6_104378	C103640CA	Q5AHY9
OG6_102880	C103650CA	Q5AHY8
OG6r21_104642	C103660WA	A0A1D8PD34
OG6_100720	C103670CA	A0A1D8PD33
OG6_105573	C103680WA	Q5AIR7
OG6_102404	C103690WA	A0A1D8PD30
OG6_161859	C103710CA	A0A1D8PD52
OG6_100952	C103720CA	A0A1D8PD32
OG6_100239	C103730CA	A0A1D8PD38
OG6_153292	C103740WA	Q59VQ8
OG6_104240	C103750WA	A0A1D8PD35
OG6_110525	C103760CA	A0A1D8PD47
OG6_500837	C103770WA	Q59VR1
OG6_101762	C103780CA	A0A1D8PD39
OG6_104296	C103790CA	Q59VR3
OG6_102854	C103800WA	A0A1D8PD31
OG6_136807	C103810CA	A0A1D8PD64
OG6_102382	C103820WA	A0A1D8PD50
OG6_101821	C103830CA	A0A1D8PD51
OG6r21_103535	C103840WA	A0A1D8PD42
OG6r21_110846	C103860CA	A0A1D8PD43
OG6_101873	C103870CA	A0A1D8PD58
OG6_127549	C103880CA	A0A1D8PD45
OG6_127524	C103890WA	A0A1D8PD48
OG6_137696	C103900WA	A0A1D8PD63
OG6_115946	C103910CA	A0A1D8PD40
OG6_100625	C103920CA	Q59QL0
OG6r21_103121	C103930WA	A0A1D8PD60
OG6_103841	C103940WA	A0A1D8PD61
OG6_103094	C103950CA	A0A1D8PD49
OG6_193892	C103960CA	A0A1D8PD53
OG6_119785	C103980WA	Q59QH6
OG6_105888	C103990WA	A0A1D8PD55
OG6_129979	C104000CA	Q59QH4
OG6_101126	C104010CA	A0A1D8PD74
OG6_101126	C104020CA	Q59QH2
OG6_101912	C104030WA	A0A1D8PD81
OG6_103394	C104040CA	Q59QH0
OG6r21_107058	C104050CA	Q59QG8
OG6_100952	C104060WA	A0A1D8PD62
OG6_102100	C104070CA	A0A1D8PD57
OG6_103574	C104080WA	Q59VQ3
OG6_101562	C104090CA	A0A1D8PD68
OG6_101484	C104100CA	P83781
OG6_108921	C104110WA	A0A1D8PD80
OG6_102431	C104120CA	Q59VP9
OG6_102525	C104130WA	Q59VP7
OG6_101126	C104140WA	A0A1D8PD78
OG6_104650	C104150CA	Q59VP4
OG6_132750	C104160CA	A0A1D8PD75
OG6_100077	C104170CA	Q59VP2
OG6_100082	C104180WA	Q59VP1
OG6_111877	C104190CA	Q59VP0
OG6_104324	C104200CA	A0A1D8PD79
OG6_104146	C104210CA	A0A1D8PD83
OG6_102775	C104220CA	Q59VN7
OG6_102724	C104230WA	A0A1D8PDB0
OG6_100120	C104240CA	Q59VN4
OG6_100119	C104260WA	Q59VN2
OG6_123058	C104270CA	A0A1D8PD86
OG6_103140	C104280CA	Q59VN0
OG6_100430	C104290CA	Q8NJN3
OG6_100083	C104300CA	P46587
OG6_111207	C104310CA	Q59VM7
OG6_101500	C104320WA	Q59VM6
OG6_158762	C104330WA	Q59VM4
OG6_103454	C104340CA	A0A1D8PDB8
OG6r21_115509	C104350CA	A0A1D8PD94
OG6_138465	C104360CA	A0A1D8PD97
OG6_101408	C104370CA	Q59KY7
OG6_103044	C104380WA	Q59KY8
OG6_102701	C104390CA	A0A1D8PD99
OG6_100948	C104400CA	Q59KZ1
OG6_100390	C104410CA	Q59KZ2
OG6_100591	C104420CA	Q59KZ3
OG6_108186	C104430CA	A0A1D8PDA0
OG6r21_139956	C104440WA	Q59KZ4
OG6_108186	C104450CA	A0A1D8PDA4
OG6_151171	C104460CA	Q59RC4
OG6r21_115510	C104470CA	Q59RC2
OG6_114193	C104480CA	A0A1D8PDA9
OG6_103724	C104490WA	A0A1D8PDB1
OG6_104865	C104500WA	Q59RB8
OG6r21_106198	C104510WA	Q59RB7
OG6_100334	C104520CA	A0A1D8PDA6
OG6_105442	C104530CA	A0A1D8PDB2
OG6_102133	C104540CA	A0A1D8PDC9
OG6_102390	C104550WA	Q59RB3
OG6_102297	C104560WA	Q59RB2
OG6_143758	C104570CA	A0A1D8PDB7
OG6_106358	C104580CA	Q59RB0
OG6r21_115273	C104590WA	A0A1D8PDB6
OG6r21_102256	C104600CA	A0A1D8PDC7
OG6_100771	C104610WA	A0A1D8PDC4
OG6r21_103122	C104620WA	A0A1D8PDC2
OG6_101160	C104630CA	A0A1D8PDD2
OG6_112275	C104640WA	A0A1D8PDD7
OG6_105980	C104650WA	A0A1D8PDB5
OG6_108968	C104660WA	A0A1D8PDC6
OG6_102175	C104670WA	Q59VF4
OG6_112026	C104680WA	A0A1D8PDD1
OG6r21_110810	C104690CA	A0A1D8PDC0
OG6_100685	C104700CA	A0A1D8PDD4
OG6_116846	C104710CA	Q59VF9
OG6r21_126901	C104720WA	A0A1D8PDD0
OG6_101528	C104730CA	Q59VG1
OG6_101126	C104740WA	A0A1D8PDE2
OG6_100349	C104750WA	A0A1D8PDC5
OG6_100965	C104760CA	A0A1D8PDF2
OG6_102250	C104770CA	Q59VG6
OG6_102086	C104780CA	A0A1D8PDD9
OG6_102337	C104790WA	Q59VH0
OG6_101180	C104800CA	A0A1D8PDE1
OG6r21_101813	C104810WA	A0A1D8PDD8
OG6_102773	C104820CA	Q59VH3
OG6_101348	C104830WA	A0A1D8PDE3
OG6_108284	C104840CA	Q59VH5
OG6_112954	C104860WA	A0A1D8PDE5
OG6_114704	C104870WA	Q59VH7
OG6_104091	C104880CA	Q59VH8
OG6_100571	C104890WA	A0A1D8PDE8
OG6_105463	C104900WA	Q59VL7
OG6_108809	C104910CA	A0A1D8PDG0
OG6_101340	C104930CA	Q59VI2
OG6_108986	C104940CA	Q59VI3
OG6r21_107059	C104950CA	A0A1D8PDF0
OG6_500743	C104960CA	A0A1D8PDG3
OG6_102505	C104970WA	Q59MA9
OG6_103293	C104980CA	A0A1D8PDG5
OG6_101418	C104990CA	A0A1D8PDF7
OG6_588367	C105000WA	Q59MA6
OG6_100486	C105010CA	A0A1D8PDF5
OG6_115934	C105020CA	Q59MB6
OG6_102798	C105030CA	Q59MA3
OG6_101473	C105050CA	A0A1D8PDF4
OG6_101830	C105060WA	A0A1D8PDH5
OG6_104308	C105070CA	Q8TGB2
OG6_103247	C105080WA	A0A1D8PDH1
OG6_101418	C105090WA	Q59LX5
OG6_109344	C105100WA	A0A1D8PDG2
OG6_103629	C105110CA	P79023
OG6_102552	C105120WA	Q59LX9
OG6_130544	C105140WA	Q59LY1
OG6r21_167613	C105150CA	A0A1D8PDG7
OG6_102253	C105160CA	A0A1D8PDH0
OG6_500684	C105170CA	A0A1D8PDI5
OG6_103294	C105180CA	A0A1D8PDI3
OG6_103294	C105190CA	A0A1D8PDI1
OG6_166270	C105200CA	A0A1D8PDI8
OG6_499902	C105210CA	A0A1D8PDG9
OG6_103065	C105220CA	Q5A297
OG6_101831	C105230WA	Q5A298
OG6_101899	C105240CA	Q5A2A0
OG6_275813	C105250WA	Q5A299
OG6_100447	C105260CA	Q5A2A1
OG6_500647	C105270CA	Q5A2A2
OG6_103122	C105280WA	A0A1D8PDJ2
OG6_100673	C105290WA	Q5A2A5
OG6_100561	C105300CA	Q5A2A7
OG6_152865	C105320CA	A0A1D8PDI2
OG6_137734	C105330CA	A0A1D8PDI0
OG6_133412	C105340CA	A0A1D8PDI4
OG6_100743	C105350WA	Q5A2B1
OG6_101092	C105360CA	Q5A2B2
OG6_108604	C105370CA	A0A1D8PDJ5
OG6r21_104665	C105380CA	A0A1D8PDJ8
OG6r21_102026	C105390CA	A0A1D8PDK0
OG6_102939	C105400CA	Q5A2B6
OG6_101112	C105410CA	A0A1D8PDN3
OG6_500118	C105420WA	Q5A2B8
OG6r21_126902	C105430WA	Q5A2B9
OG6r21_126903	C105440CA	A0A1D8PDJ0
OG6r21_139958	C105450WA	Q5A2C1
OG6_101923	C105460WA	Q5A2C3
OG6_101405	C105470WA	A0A1D8PDJ9
OG6r21_104643	C105480CA	Q5A2C5
OG6_115066	C105490CA	Q5A2C6
OG6_103043	C105500WA	Q5A2C7
OG6_100584	C105510CA	A0A1D8PDP4
OG6r21_109248	C105520WA	A0A1D8PDK2
OG6_500287	C105530CA	A0A1D8PDL0
OG6r21_102027	C105540CA	A0A1D8PDK1
OG6_102705	C105560WA	A0A1D8PDK6
OG6_101172	C105600WA	A0A1D8PDL5
OG6_101213	C105610WA	Q5A9Z1
OG6_113599	C105620CA	Q5A9Z4
OG6_102877	C105630CA	A0A1D8PDL7
OG6_101114	C105640CA	Q5A9Z6
OG6_222558	C105650WA	Q5A9Z7
OG6_102040	C105660CA	A0A1D8PDK7
OG6_103356	C105670WA	Q5AA00
OG6_101436	C105680CA	Q5AA01
OG6r21_110812	C105690CA	Q5AA03
OG6_100707	C105700WA	P0C075
OG6_103247	C105710CA	A0A1D8PDL9
OG6_100755	C105720WA	A0A1D8PDL6
OG6_100282	C105740CA	A0A1D8PDN0
OG6_130274	C105750CA	A0A1D8PDM2
OG6r21_101132	C105760CA	Q5AA09
OG6_100109	C105770CA	A0A1D8PDM9
OG6_112445	C105780WA	Q5AA11
OG6r21_104644	C105790WA	A0A1D8PDP5
OG6_102106	C105800CA	Q5AA12
OG6_101532	C105810WA	Q5AA13
OG6_102832	C105820CA	Q5AA15
OG6_101540	C105830WA	A0A1D8PDM3
OG6_101243	C105840WA	A0A1D8PDN9
OG6r21_104033	C105850WA	A0A1D8PDM8
OG6_101243	C105860WA	Q5AA21
OG6_101243	C105870WA	A0A1D8PDP2
OG6_101243	C105880WA	Q5AA23
OG6r21_100711	C105890WA	A0A1D8PDR3
OG6_230682	C105900WA	A0A1D8PDN5
OG6_115574	C105910WA	Q5AA26
OG6r21_101814	C105920WA	A0A1D8PDN4
OG6_100503	C105930CA	A0A1D8PDN2
OG6_105067	C105940WA	A0A1D8PDP9
OG6r21_102028	C105950CA	A0A1D8PDN8
OG6r21_101815	C105960WA	Q5AA33
OG6r21_139959	C105970WA	A0A1D8PDQ8
OG6_101496	C105980WA	Q5AA37
OG6_102045	C105990CA	Q5AA38
OG6_120944	C106000WA	A0A1D8PDP0
OG6_113009	C106010WA	Q5AA40
OG6_113547	C106020WA	A0A1D8PDP3
OG6_152881	C106030CA	Q5AA42
OG6_101788	C106040WA	A0A1D8PDR1
OG6_115933	C106050CA	A0A1D8PDP8
OG6_100820	C106060CA	A0A1D8PDT0
OG6_101451	C106070WA	Q5AA46
OG6_102851	C106080CA	Q5AA47
OG6_100556	C106090CA	A0A1D8PDS9
OG6_100680	C106100CA	Q96VB9
OG6_101880	C106110CA	Q5AA50
OG6r21_110814	C106120CA	A0A1D8PDQ2
OG6_153335	C106130CA	A0A1D8PDR2
OG6r21_139961	C106150WA	A0A1D8PDS4
OG6_102107	C106160WA	Q5AA55
OG6_115022	C106180WA	A0A1D8PDT5
OG6r21_139962	C106190CA	A0A1D8PDS8
OG6_113166	C106200WA	A0A1D8PDQ5
OG6_102185	C106210WA	Q59MC6
OG6r21_126904	C106220CA	A0A1D8PDR0
OG6_111233	C106230CA	Q59MC8
OG6r21_139963	C106250WA	A0A1D8PDQ9
OG6r21_139964	C106260WA	Q59MD0
OG6_100323	C106270WA	A0A1D8PDS7
OG6_106185	C106280CA	Q59MD2
OG6_114264	C106320WA	A0A1D8PDU5
OG6_116096	C106340WA	A0A1D8PDT7
OG6r21_126905	C106350WA	Q5AAN5
OG6_101790	C106360WA	Q5AAN6
OG6r21_115511	C106370CA	Q5AAN7
OG6r21_108054	C106380CA	Q5AAN8
OG6_101218	C106390WA	A0A1D8PDR9
OG6_101802	C106400CA	A0A1D8PDS6
OG6r21_101816	C106410WA	A0A1D8PDT1
OG6_111244	C106420CA	A0A1D8PDT2
OG6_137822	C106430CA	A0A1D8PDV2
OG6r21_110815	C106440CA	A0A1D8PDU6
OG6_100266	C106450CA	A0A1D8PDT3
OG6_100322	C106460CA	Q96W54
OG6_101109	C106470WA	A0A1D8PDT4
OG6_102188	C106480CA	A0A1D8PDT9
OG6_102814	C106500WA	Q5AAP7
OG6_100246	C106510CA	Q5AAP8
OG6_102608	C106520CA	A0A1D8PDU1
OG6_100913	C106530CA	A0A1D8PDT6
OG6_100420	C106540CA	A0A1D8PDW1
OG6_100905	C106550WA	A0A1D8PDU9
OG6_110860	C106560WA	A0A1D8PDU0
OG6_107199	C106570WA	Q5AAQ7
OG6_100935	C106580WA	A0A1D8PDU3
OG6_103048	C106590CA	Q5AAR0
OG6_102881	C106600WA	Q5AAR2
OG6_101320	C106610CA	A0A1D8PDU7
OG6r21_115512	C106620CA	A0A1D8PDV8
OG6_102719	C106630WA	A0A1D8PDU2
OG6_500668	C106640CA	A0A1D8PDX1
OG6_102129	C106650WA	Q5AAR6
OG6_103218	C106660WA	A0A1D8PDV1
OG6_102745	C106670WA	A0A1D8PDX7
OG6_124891	C106690WA	A0A1D8PDV9
OG6_129980	C106700WA	A0A1D8PDW3
OG6_103547	C106710WA	Q5AAS1
OG6_101318	C106720CA	A0A1D8PDW7
OG6_100633	C106730WA	A0A1D8PDV5
OG6_108498	C106740CA	Q5AAS4
OG6r21_126906	C106750WA	A0A1D8PDX3
OG6r21_294843	C106760CA	Q5AB15
