Gene Names	Accession	Entry
YBR044C	OG6_500105	P38228
YBR045C	OG6_499872	P38229
YBR046C	OG6_102213	P38230
YBR047W	OG6_500771	P38231
YBR048W	OG6_100208	P0CX48
YBR049C	OG6_104743	P21538
YBR050C	OG6_499841	P38232
YBR052C	OG6_500598	P38234
YBR053C	OG6_101744	P38235
YBR054W	OG6_108032	P38079
YBR055C	OG6_102682	P19735
YBR056W	OG6_124567	P38081
YBR056W-A	OG6_500800	I2HB52
YBR057C	OG6_105437	P38236
YBR058C	OG6_101380	P38237
YBR058C-A	OG6_500581	Q3E790
YBR059C	OG6_101386	P38080
YBR060C	OG6_102887	P32833
YBR061C	OG6_102125	P38238
YBR062C	OG6_153256	P38239
YBR063C	OG6_114772	P38083
YBR065C	OG6_102614	P38241
YBR066C	OG6_222545	P38082
YBR067C	OG6_109825	P27654
YBR068C	OG6_142238	P38084
YBR069C	OG6_142238	P38085
YBR070C	OG6_102531	P38242
YBR071W	OG6_500785	P38243
YBR072C-A	OG6_500253	Q3E794
YBR072W	OG6_100183	P15992
YBR073W	OG6_105504	P38086
YBR074W	OG6_116543	P38244
YBR076W	OG6_500336	P38246
YBR077C	OG6_500185	P38247
YBR078W	OG6_117007	P38248
YBR079C	OG6_102668	P38249
YBR080C	OG6_101440	P18759
YBR081C	OG6_112471	P35177
YBR082C	OG6_100671	P15731
YBR083W	OG6_127159	P18412
YBR084C-A	OG6_100773	P0CX82
YBR084W	OG6_100216	P09440
YBR085C-A	OG6_500098	O43137
YBR085W	OG6_100505	P18238
YBR086C	OG6_100943	P38250
YBR087W	OG6_102480	P38251
YBR088C	OG6_100882	P15873
YBR089C-A	OG6_100324	P11633
YBR090C	OG6_500696	P38253
YBR091C	OG6_500836	P32830
YBR092C	OG6_101372	P24031
YBR093C	OG6_101372	P00635
YBR094W	OG6_111397	P38254
YBR095C	OG6_500066	P38255
YBR096W	OG6_116641	P38256
YBR097W	OG6_102384	P22219
YBR098W	OG6_105221	P38257
YBR101C	OG6_103411	P38260
YBR102C	OG6_104892	P38261
YBR103W	OG6_102387	P38262
YBR104W	OG6_101471	P38087
YBR105C	OG6_104071	P38263
YBR106W	OG6_106805	P38264
YBR107C	OG6_500694	P38265
YBR108W	OG6_500593	P38266
YBR109C	OG6_100851	P06787
YBR110W	OG6_102371	P16661
YBR111C	OG6_101523	Q01976
YBR111W-A	OG6_103619	Q6WNK7
YBR112C	OG6_101645	P14922
YBR114W	OG6_105241	P31244
YBR115C	OG6_100454	P07702
YBR117C	OG6_100329	P33315
YBR118W	OG6_100227	P02994
YBR119W	OG6_100753	P32605
YBR120C	OG6_107653	P07253
YBR121C	OG6_100673	P38088
YBR122C	OG6_119806	P36531
YBR123C	OG6_103019	P32367
YBR125C	OG6_499951	P38089
YBR126C	OG6_100616	Q00764
YBR126W-A	OG6_500584	Q8TGU7
YBR127C	OG6_100544	P16140
YBR128C	OG6_499992	P38270
YBR129C	OG6_500710	P38271
YBR130C	OG6_500127	P38272
YBR131W	OG6_500065	P38273
YBR132C	OG6_129674	P38090
YBR133C	OG6_101720	P38274
YBR135W	OG6_100899	P20486
YBR136W	OG6_102609	P38111
YBR137W	OG6_121320	P38276
YBR138C	OG6_500621	P38277
YBR139W	OG6_100109	P38109
YBR140C	OG6_103500	P18963
YBR141C	OG6_109956	P38278
YBR142W	OG6_102605	P38112
YBR143C	OG6_100994	P12385
YBR145W	OG6_100245	P38113
YBR146W	OG6_101155	P38120
YBR147W	OG6_102512	P38279
YBR148W	OG6_500930	P38280
YBR149W	OG6_100072	P38115
YBR150C	OG6_222546	P38114
YBR151W	OG6_105567	P38281
YBR152W	OG6_111911	P38282
YBR153W	OG6_101319	P33312
YBR154C	OG6_101049	P20434
YBR155W	OG6_102484	P33313
YBR156C	OG6_109783	P38283
YBR157C	OG6_500849	P38284
YBR158W	OG6_110409	P38285
YBR159W	OG6_100431	P38286
YBR160W	OG6_100334	P00546
YBR161W	OG6_108518	P38287
YBR162C	OG6_114872	P38288
YBR162W-A	OG6_133599	P38374
YBR163W	OG6_106506	P38289
YBR164C	OG6_103249	P38116
YBR165W	OG6_500368	P38290
YBR166C	OG6_106957	P20049
YBR167C	OG6_152915	P38291
YBR168W	OG6_181303	P38292
YBR169C	OG6_100680	P32590
YBR170C	OG6_101880	P33755
YBR171W	OG6_114113	P33754
YBR172C	OG6_500543	P32909
YBR173C	OG6_102572	P38293
YBR175W	OG6_101464	P38123
YBR176W	OG6_102860	P38122
YBR177C	OG6_100540	P38295
YBR179C	OG6_112063	P38297
YBR180W	OG6_104355	P38125
YBR181C	OG6_100737	P0CX38
YBR182C	OG6_103662	P38128
YBR182C-A	OG6_500350	Q8TGU6
YBR183W	OG6_104603	P38298
YBR184W	OG6_499849	P38299
YBR185C	OG6_500900	P38300
YBR186W	OG6_103946	P38126
YBR187W	OG6_101338	P38301
YBR188C	OG6_499972	P38302
YBR189W	OG6_100955	P05755
YBR191W	OG6_100663	Q02753
YBR192W	OG6_103444	P38127
YBR193C	OG6_122984	P38304
YBR194W	OG6_499965	P38305
YBR195C	OG6_101102	P13712
YBR196C	OG6_100716	P12709
YBR196C-A	OG6_500281	Q3E820
YBR196C-B	OG6_500541	Q3E778
YBR197C	OG6_222547	P38306
YBR198C	OG6_102926	P38129
YBR199W	OG6_129979	P38131
YBR200W	OG6_114264	P29366
YBR200W-A	OG6_500641	Q3E755
YBR201C-A	OG6_499887	Q2V2Q3
YBR201W	OG6_101672	P38307
YBR202W	OG6_102101	P38132
YBR203W	OG6_500405	P38308
YBR204C	OG6_112275	P38139
YBR205W	OG6_104259	P38130
YBR207W	OG6_107140	P38310
YBR208C	OG6_108968	P32528
YBR210W	OG6_101313	P38312
YBR211C	OG6_500389	P38313
YBR212W	OG6_102296	P32831
YBR213W	OG6_106954	P15807
YBR214W	OG6_106150	P38314
YBR215W	OG6_500101	Q01448
YBR216C	OG6_222548	P38315
YBR217W	OG6_103577	P38316
YBR218C	OG6_101725	P32327
YBR219C	OG6_500171	P38317
YBR220C	OG6_101700	P38318
YBR221C	OG6_101309	P32473
YBR221W-A	OG6_499941	Q3E781
YBR222C	OG6_100107	P38137
YBR223C	OG6_101894	P38319
YBR225W	OG6_125232	P38321
YBR227C	OG6_101643	P38323
YBR228W	OG6_103129	P38324
YBR229C	OG6_100592	P38138
YBR230C	OG6_500975	P38325
YBR230W-A	OG6_500440	Q3E762
YBR231C	OG6_104154	P38326
YBR233W	OG6_103287	P38151
YBR233W-A	OG6_122175	P69850
YBR234C	OG6_101628	P38328
YBR235W	OG6_104998	P38329
YBR236C	OG6_102244	P32783
YBR237W	OG6_102375	P21372
YBR238C	OG6_222549	P38330
YBR239C	OG6_116987	P38140
YBR240C	OG6_500465	P38141
YBR241C	OG6_100060	P38142
YBR242W	OG6_101371	P38331
YBR243C	OG6_101483	P07286
YBR244W	OG6_100297	P38143
YBR245C	OG6_100877	P38144
YBR246W	OG6_103086	P38332
YBR247C	OG6_102261	P38333
YBR248C	OG6_101130	P33734
YBR249C	OG6_103629	P32449
YBR250W	OG6_499955	P33757
YBR251W	OG6_104516	P33759
YBR252W	OG6_101166	P33317
YBR253W	OG6_500147	P32570
YBR254C	OG6_102292	P38334
YBR255C-A	OG6_500153	Q3E776
YBR255W	OG6_500783	P38335
YBR256C	OG6_104340	P38145
YBR257W	OG6_101654	P38336
YBR258C	OG6_500021	P38337
YBR259W	OG6_500365	P38338
YBR260C	OG6_113547	P38339
YBR261C	OG6_102160	P38340
YBR262C	OG6_500443	P38341
YBR263W	OG6_100262	P37292
YBR264C	OG6_500608	P38146
YBR265W	OG6_102003	P38342
YBR267W	OG6_101830	P38344
YBR268W	OG6_104091	P36532
YBR269C	OG6_104552	P38345
YBR270C	OG6_221330	P38346
YBR271W	OG6_111528	P38347
YBR272C	OG6_500408	P38348
YBR273C	OG6_105479	P38349
YBR274W	OG6_104812	P38147
YBR275C	OG6_500376	P29539
YBR276C	OG6_120864	P38148
YBR278W	OG6_104378	P27344
YBR279W	OG6_104057	P38351
YBR280C	OG6_123854	P38352
YBR281C	OG6_100503	P38149
YBR282W	OG6_102880	P36526
YBR283C	OG6_500287	P38353
YBR284W	OG6_222550	P38150
YBR285W	OG6_500855	P38354
YBR286W	OG6_108976	P37302
YBR287W	OG6_105935	P38355
YBR288C	OG6_500162	P38153
YBR289W	OG6_103095	P18480
YBR290W	OG6_112257	P38356
YBR291C	OG6_104005	P38152
YBR293W	OG6_143704	P38358
YBR294W	OG6_100144	P38359
YBR295W	OG6_129394	P38360
YBR296C	OG6_100354	P38361
YBR296C-A	OG6_500702	Q8TGU5
YBR297W	OG6_123060	P38157
YBR298C	OG6_113013	P38156
YBR298C-A	OG6_500758	Q8TGK4
YBR299W	OG6_100402	P38158
YBR301W	OG6_109825	P38155
YBR302C	OG6_111794	P0CX12
YCL001W	OG6_101272	P25560
YCL001W-A	OG6_500528	P87012
YCL001W-B	OG6_500973	Q96VH2
YCL002C	OG6_500732	P25565
YCL004W	OG6_102888	P25578
YCL005W	OG6_500434	P25587
YCL005W-A	OG6_102348	Q3E7B6
YCL008C	OG6_102944	P25604
YCL009C	OG6_104341	P25605
YCL010C	OG6_122832	P25554
YCL011C	OG6_103495	P25555
YCL012C	OG6_115065	Q8J0M4
YCL014W	OG6_500262	P25558
YCL016C	OG6_103866	P25559
YCL017C	OG6_100745	P25374
YCL018W	OG6_103350	P04173
YCL019W	OG6_100069	P25384
YCL020W	OG6_100069	P25383
YCL021W-A	OG6_500041	Q96VH3
YCL024W	OG6_100252	P25389
YCL025C	OG6_142238	P25376
YCL026C-A	OG6_110917	P37261
YCL026C-B	OG6_110917	Q96VH4
YCL027W	OG6_500039	P11710
YCL028W	OG6_500670	P25367
YCL029C	OG6_137870	P11709
YCL030C	OG6_103269	P00815
YCL031C	OG6_103832	P25368
YCL032W	OG6_113385	P25344
YCL033C	OG6_100783	P25566
YCL034W	OG6_118310	P25369
YCL035C	OG6_100315	P25373
YCL036W	OG6_117004	P25370
YCL037C	OG6_103868	P25567
YCL038C	OG6_105093	P25568
YCL039W	OG6_102395	P25569
YCL040W	OG6_100418	P17709
YCL042W	OG6_500955	P25572
YCL043C	OG6_100478	P17967
YCL044C	OG6_499879	P25573
YCL045C	OG6_102462	P25574
YCL047C	OG6_118130	P25576
YCL048W	OG6_117007	P25380
YCL048W-A	OG6_500603	Q2V2Q2
YCL049C	OG6_500161	P25577
YCL050C	OG6_108841	P16550
YCL051W	OG6_222551	P25579
YCL052C	OG6_121253	P25580
YCL054W	OG6_101655	P25582
YCL054W-A	OG6_500006	A0A0B7P221
YCL055W	OG6_104881	P25583
YCL056C	OG6_499857	P25584
YCL057C-A	OG6_103551	Q96VH5
YCL057W	OG6_100561	P25375
YCL058C	OG6_500525	P25585
YCL058W-A	OG6_500596	Q2V2Q1
YCL059C	OG6_102159	P25586
YCL061C	OG6_500789	P25588
YCL063W	OG6_500078	P25591
YCL064C	OG6_105174	P25379
YCL066W	OG6_222552	P0CY07
YCL067C	OG6_176789	P0CY09
YCL068C	OG6_222553	P25593
YCL069W	OG6_100558	P25594
YCL073C	OG6_105688	P25596
YCR002C	OG6_104031	P25342
YCR003W	OG6_105363	P25348
YCR004C	OG6_101948	P25349
YCR005C	OG6_101425	P08679
YCR007C	OG6_111794	P25354
YCR008W	OG6_110015	P25333
YCR009C	OG6_105748	P25343
YCR010C	OG6_103278	P25613
YCR011C	OG6_100076	P25371
YCR012W	OG6_100440	P00560
YCR014C	OG6_101198	P25615
YCR015C	OG6_106503	P25616
YCR016W	OG6_105869	P25617
YCR017C	OG6_105956	P25618
YCR018C	OG6_500566	P09007
YCR019W	OG6_115007	P23060
YCR020C	OG6_144034	P25362
YCR020C-A	OG6_105331	P23059
YCR020W-B	OG6_499925	Q9URQ5
YCR021C	OG6_108032	P25619
YCR023C	OG6_101689	P25351
YCR024C	OG6_101288	P25345
YCR024C-A	OG6_222554	P32903
YCR024C-B	OG6_500155	Q3E7Z8
YCR026C	OG6_100651	P25353
YCR027C	OG6_104157	P25378
YCR028C	OG6_124156	P25621
YCR028C-A	OG6_101436	P32445
YCR030C	OG6_124880	P25623
YCR031C	OG6_100266	P06367
YCR032W	OG6_102608	P25356
YCR033W	OG6_115537	P25357
YCR034W	OG6_100254	P25358
YCR035C	OG6_100420	P25359
YCR036W	OG6_100800	P25332
YCR037C	OG6_191423	P25360
YCR038C	OG6_222553	P25300
YCR039C	OG6_176789	P0CY08
YCR040W	OG6_222552	P0CY06
YCR041W	OG6_500176	P37265
YCR042C	OG6_102824	P23255
YCR043C	OG6_500225	P25361
YCR044C	OG6_104144	P25625
YCR045C	OG6_105356	P25381
YCR046C	OG6_101282	P25626
YCR047C	OG6_102190	P25627
YCR048W	OG6_101524	P25628
YCR050C	OG6_500403	P25630
YCR051W	OG6_109900	P25631
YCR052W	OG6_100964	P25632
YCR053W	OG6_102837	P16120
YCR054C	OG6_104233	P25355
YCR057C	OG6_102497	P25635
YCR059C	OG6_103276	P25637
YCR060W	OG6_177806	P25638
YCR061W	OG6_118311	P25639
YCR063W	OG6_102341	P25337
YCR065W	OG6_109619	P25364
YCR066W	OG6_105794	P10862
YCR067C	OG6_137497	P25365
YCR068W	OG6_111526	P25641
YCR069W	OG6_222555	P25334
YCR071C	OG6_104265	P25642
YCR072C	OG6_101916	P25382
YCR073C	OG6_104404	P25390
YCR073W-A	OG6_101429	P37262
YCR075C	OG6_102383	P17261
YCR075W-A	OG6_500316	Q3E830
YCR076C	OG6_500659	P25659
YCR077C	OG6_111832	P25644
YCR079W	OG6_105965	P25646
YCR081W	OG6_116612	P25648
YCR082W	OG6_500354	P25649
YCR083W	OG6_100096	P25372
YCR084C	OG6_108387	P16649
YCR086W	OG6_129966	P25651
YCR087C-A	OG6_201405	P37263
YCR088W	OG6_104762	P15891
YCR089W	OG6_500656	P25653
YCR090C	OG6_102587	P25654
YCR091W	OG6_105018	P25341
YCR092C	OG6_105075	P25336
YCR093W	OG6_101511	P25655
YCR094W	OG6_100927	P25656
YCR095C	OG6_499847	P25366
YCR095W-A	OG6_500068	Q3E787
YCR096C	OG6_176789	P0CY13
YCR097W	OG6_151230	P0CY11
YCR098C	OG6_112813	P25346
YCR099C	OG6_500918	P25657
YCR100C	OG6_181775	P25606
YCR101C	OG6_181775	P25607
YCR102C	OG6_115538	P25608
YCR104W	OG6_109825	P25610
YCR105W	OG6_100245	P25377
YCR106W	OG6_222539	P25611
YCR107W	OG6_100564	P25612
YCR108C	OG6_500909	Q3E819
YDL001W	OG6_101806	Q03441
YDL002C	OG6_113304	Q03435
YDL003W	OG6_103388	Q12158
YDL004W	OG6_101225	Q12165
YDL005C	OG6_500116	Q12124
YDL006W	OG6_107202	P35182
YDL007C-A	OG6_500929	Q2V2Q0
YDL007W	OG6_101477	P40327
YDL008W	OG6_103498	Q12157
YDL009C	OG6_500922	Q12210
YDL010W	OG6_100315	Q12438
YDL015C	OG6_102127	Q99190
YDL012C	OG6_500204	Q12489
YDL013W	OG6_500142	P32828
YDL014W	OG6_100868	P15646
YDL017W	OG6_103228	P06243
YDL018C	OG6_103696	Q12403
YDL019C	OG6_101373	Q12451
YDL020C	OG6_500449	Q03465
YDL021W	OG6_222556	Q12008
YDL022C-A	OG6_500816	P0C5L6
YDL022W	OG6_100385	Q00055
YDL024C	OG6_101372	P52290
YDL025C	OG6_113602	Q12100
YDL027C	OG6_500790	Q07349
YDL028C	OG6_103440	P54199
YDL029W	OG6_102757	P32381
YDL030W	OG6_102364	P19736
YDL031W	OG6_101760	Q12389
YDL033C	OG6_101163	Q12093
YDL035C	OG6_499948	Q12361
YDL036C	OG6_100211	Q12069
YDL037C	OG6_500685	Q12140
YDL039C	OG6_174172	Q12459
YDL040C	OG6_101670	P12945
YDL042C	OG6_103854	P06700
YDL043C	OG6_102158	Q07350
YDL044C	OG6_500034	P10849
YDL045C	OG6_102300	P38913
YDL045W-A	OG6_110914	O75012
YDL046W	OG6_104576	Q12408
YDL047W	OG6_103044	P20604
YDL048C	OG6_222557	Q07351
YDL049C	OG6_137739	P50112
YDL051W	OG6_102594	P33399
YDL052C	OG6_100535	P33333
YDL053C	OG6_500761	Q07362
YDL054C	OG6_103711	Q07376
YDL055C	OG6_100460	P41940
YDL056W	OG6_111252	P39678
YDL057W	OG6_106560	Q07379
YDL058W	OG6_103848	P25386
YDL059C	OG6_500099	Q12223
YDL060W	OG6_102221	Q07381
YDL061C	OG6_101365	P41058
YDL063C	OG6_105619	Q07395
YDL064W	OG6_101514	P50623
YDL065C	OG6_103566	Q07418
YDL066W	OG6_100639	P21954
YDL067C	OG6_115943	P07255
YDL069C	OG6_500312	P14066
YDL070W	OG6_100249	Q07442
YDL072C	OG6_102592	Q07451
YDL073W	OG6_500358	Q07454
YDL074C	OG6_113897	Q07457
YDL075W	OG6_100706	P0C2H8
YDL076C	OG6_108030	Q07458
YDL077C	OG6_102524	Q07468
YDL078C	OG6_100601	P32419
YDL079C	OG6_100482	P50873
YDL080C	OG6_104452	Q07471
YDL081C	OG6_101037	P05318
YDL082W	OG6_100961	Q12690
YDL083C	OG6_100841	P0CX52
YDL084W	OG6_101150	Q07478
YDL085C-A	OG6_103660	Q3E7B7
YDL085W	OG6_100512	Q07500
YDL086W	OG6_118030	Q07505
YDL087C	OG6_103514	Q07508
YDL088C	OG6_209971	Q05166
YDL089W	OG6_500177	Q12066
YDL090C	OG6_101706	P22007
YDL091C	OG6_102329	Q12229
YDL092W	OG6_103910	P38985
YDL093W	OG6_101353	P52867
YDL095W	OG6_101353	P33775
YDL097C	OG6_101896	Q12377
YDL098C	OG6_103136	Q12368
YDL099W	OG6_500867	Q12191
YDL100C	OG6_100709	Q12154
YDL101C	OG6_101842	P39009
YDL102W	OG6_101046	P15436
YDL103C	OG6_101381	P43123
YDL104C	OG6_100288	P43122
YDL105W	OG6_102377	P43124
YDL106C	OG6_127343	P07269
YDL107W	OG6_500768	P40990
YDL108W	OG6_103547	P06242
YDL109C	OG6_124580	Q12103
YDL110C	OG6_116900	Q12513
YDL111C	OG6_129058	Q12277
YDL112W	OG6_102883	Q07527
YDL113C	OG6_111249	Q07528
YDL114W	OG6_100599	Q07530
YDL115C	OG6_106713	Q07532
YDL116W	OG6_103478	P52891
YDL117W	OG6_129980	Q07533
YDL119C	OG6_104304	Q07534
YDL120W	OG6_102217	Q07540
YDL121C	OG6_500903	Q07541
YDL122W	OG6_104100	P25037
YDL123W	OG6_102636	Q07549
YDL124W	OG6_118235	Q07551
