Entry	Entry Name	Protein names	Gene Names
P0CY27	CARP1_CANAL	Secreted aspartic protease 1 (ACP 1) (Aspartate protease 1) (EC 3.4.23.24) (Candidapepsin-1) (Pepsinogen-1) (Pepsinogen-10)	SAP1 PEP1 PEP10 PRA10 CAALFM_C603490CA CaO19.13137 CaO19.5714
P0CY29	CARP3_CANAL	Secreted aspartic protease 3 (ACP 3) (Aspartate protease 3) (EC 3.4.23.24) (Candidapepsin-3)	SAP3 CAALFM_C305230WA CaO19.13422 CaO19.6001
P0CY31	SEC4_CANAL	Ras-related protein SEC4	SEC4 CAALFM_CR01750CA Ca49C4.03c CaO19.10103 CaO19.2571
P0CY33	CDC42_CANAL	Cell division control protein 42 homolog	CDC42 CAALFM_C108450CA CaO19.390 CaO19.8020
P0CY34	TUP1_CANAL	Transcriptional repressor TUP1	TUP1 CHP1 CAALFM_C100060WA CaO19.13528 CaO19.6109
P0DJ06	CARP2_CANAL	Secreted aspartic protease 2 (ACP 2) (Aspartate protease 2) (EC 3.4.23.24) (Candidapepsin-2) (Pepsinogen-11)	SAP2 PEP11 PRA11 CAALFM_CR07800WA CaO19.11193 CaO19.3708
P10613	CP51_CANAL	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthesis protein 11) (Sterol 14-alpha demethylase)	ERG11 CYP51 ERG16 CAALFM_C500660CA CaO19.922
P22011	PPIA_CANAL	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (Rotamase)	CYP1 CAALFM_C702380CA CaJ7.0279 CaO19.13826 CaO19.6472
P25997	EF3_CANAL	Elongation factor 3 (EF-3) (EC 3.6.4.-)	CEF3 TEF3 CAALFM_C501580CA CaO19.11629 CaO19.4152
P29717	EXG1_CANAL	Glucan 1,3-beta-glucosidase (EC 2.4.1.-) (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	XOG1 EXG EXG1 XOG CAALFM_C102990CA Ca49C10.05 CaO19.10507 CaO19.2990
P30418	NMT_CANAL	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	NMT1 CAALFM_C401440WA CaO19.12111 CaO19.4641
P30575	ENO1_CANAL	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	ENO1 CAALFM_C108500CA CaO19.395 CaO19.8025
P34948	MPI_CANAL	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	PMI1 MANA CAALFM_C209640WA CaO19.1390
P39827	CDC10_CANAL	Cell division control protein 10	CDC10 CAALFM_CR04570CA CaO19.548 CaO19.8183
P40953	CHI2_CANAL	Chitinase 2 (EC 3.2.1.14)	CHT2 CAALFM_C504130CA CaO19.11376 CaO19.3895
P40954	CHI3_CANAL	Chitinase 3 (EC 3.2.1.14)	CHT3 CAALFM_CR10110WA CaO19.7586
P41797	HSP71_CANAL	Heat shock protein HSP70 (SSA subfamily protein 1)	HSP70 HS71 SSA1 SSA4 CAALFM_C113480WA CaO19.12447 CaO19.4980
P43063	CDK1_CANAL	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 2)	CDC28 CDK1 CAALFM_CR06050WA CaO19.11337 CaO19.3856
P43072	TF3B_CANAL	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	TDS4 BRF BRF1 CAALFM_CR05650WA CaO19.13970 CaO19.6649
P43076	PHR1_CANAL	pH-responsive protein 1 (pH-regulated protein 1)	PHR1 CAALFM_C404530CA CaO19.11310 CaO19.3829
P43079	CPH1_CANAL	Transcription factor CPH1	CPH1 ACPR CAALFM_C107370CA CaO19.11912 CaO19.4433
P43094	CARP5_CANAL	Secreted aspartic protease 5 (ACP 5) (Aspartate protease 5) (EC 3.4.23.24) (Candidapepsin-5)	SAP5 CAALFM_C603030WA CaO19.13032 CaO19.5585
P46273	PGK_CANAL	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 CAALFM_C600750CA CaO19.11135 CaO19.3651
P46587	HSP72_CANAL	Heat shock protein SSA2 (SSA subfamily protein 2)	SSA2 SSA1 CAALFM_C104300CA CaO19.1065 CaO19.8667
P46592	MNT2_CANAL	Glycolipid 2-alpha-mannosyltransferase 2 (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase 2)	MNT2 CAALFM_C301830CA CaO19.1663 CaO19.9232
P46593	HWP1_CANAL	Hyphal wall protein 1 (Cell elongation protein 2)	HWP1 ECE2 CAALFM_C403570WA CaO19.1321 CaO19.8901
P46598	HSP90_CANAL	Heat shock protein 90 homolog	HSP90 CAALFM_C702030WA CaJ7.0234 CaO19.13868 CaO19.6515
P46614	KPYK_CANAL	Pyruvate kinase (PK) (EC 2.7.1.40)	CDC19 PYK1 CAALFM_C205460WA CaO19.11059 CaO19.3575
P52496	DNLI4_CANAL	DNA ligase 4 (CaLIG4) (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	LIG4 CDC9 CAALFM_C203030WA CaO19.13220 CaO19.5798
P53704	GFA1_CANAL	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	GFA1 CAALFM_C302280CA CaO19.1618
P53705	BUD4_CANAL	Bud site selection protein BUD4 (Alpha-INT1) (Integrin alpha chain-like protein)	BUD4 INT1 CAALFM_C502470WA CaO19.11733 CaO19.4257
P82610	METE_CANAL	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	MET6 CAALFM_CR01620CA CaO19.10083 CaO19.2551
P82612	PMGY_CANAL	Phosphoglycerate mutase (PGAM) (EC 5.4.2.11) (BPG-dependent PGAM) (MPGM) (Phosphoglyceromutase)	GPM1 CAALFM_C203270WA CaO19.8522 CaO19.903
P83774	GBLP_CANAL	Small ribosomal subunit protein RACK1 (40S ribosomal protein ASC1) (Absence of growth suppressor of Cyp1 protein 1) (Cytoplasmic antigenic protein 1) (Guanine nucleotide-binding protein subunit beta-like protein)	ASC1 CAALFM_C701250WA CaJ7.0140 CaO19.6906
P83776	HXKB_CANAL	Hexokinase-2 (EC 2.7.1.1) (Cytoplasmic antigenic protein 3) (Hexokinase PII) (Hexokinase-B)	HXK2 CAALFM_CR04510WA CaO19.542 CaO19.8176
P83782	QCR2_CANAL	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	QCR2 CAALFM_C503350WA CaO19.10167 CaO19.2644
P86029	HQD2_CANAL	Catechol 1,2-dioxygenase (EC 1.13.11.1)	HQD2 CAALFM_C402230CA CaO19.12036 CaO19.4567
P87020	PRA1_CANAL	pH-regulated antigen PRA1 (58 kDa fibrinogen-binding mannoprotein)	PRA1 FBP1 CAALFM_C406980WA CaO19.10623 CaO19.3111
Q00310	MNT1_CANAL	Glycolipid 2-alpha-mannosyltransferase 1 (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase 1)	MNT1 KRE2 KTR1 CAALFM_C301810CA CaO19.1665 CaO19.9234
Q07730	CECE1_CANAL	Extent of cell elongation protein 1 [Cleaved into: ECE1-I; ECE1-II; Candidalysin ECE1-III; ECE1-IV; ECE1-V; ECE1-VI; ECE1-VII; ECE1-VIII]	ECE1 CAALFM_C403470CA CaO19.10882 CaO19.3374
Q3MNT0	SPT6_CANAL	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)	SPT6 CAALFM_C704300WA CaJ7.0509 CaO19.7136
Q59KI0	UGP1_CANAL	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	UGP1 CAALFM_CR04660CA CaO19.1738 CaO19.9305
Q59KI4	INO80_CANAL	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)	INO80 CAALFM_CR04720CA CaO19.1734 CaO19.9302
Q59KM8	DBF2_CANAL	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	DBF2 CAALFM_C206670CA CaO19.1223 CaO19.8809
Q59KY8	SIT4_CANAL	Serine/threonine-protein phosphatase SIT4 (EC 3.1.3.16)	SIT4 CAALFM_C104380WA CaO19.12667 CaO19.5200
Q59KZ1	APE2_CANAL	Aminopeptidase 2 (EC 3.4.11.-)	APE2 CAALFM_C104400CA CaO19.12664 CaO19.5197
Q59L12	ALS3_CANAL	Agglutinin-like protein 3 (3D9 antigen) (Adhesin 3)	ALS3 ALS10 ALS8 CAALFM_CR07070CA CaO19.1816 CaO19.2355 CaO19.9379 CaO19.9891
Q59LF3	RV167_CANAL	Regulator of cytoskeleton and endocytosis RVS167	RVS167 CAALFM_C604040CA CaO19.1220 CaO19.8807
Q59LK7	Q59LK7_CANAL	Serine/threonine protein kinase	KIC1 CAALFM_C204760WA orf19.7821
Q59LY1	BRG1_CANAL	Biofilm regulator 1	BRG1 GAT2 CAALFM_C105140WA CaO19.11538 CaO19.4056
Q59M56	SRR1_CANAL	Stress response regulator protein 1	SRR1 CAALFM_CR05610CA CaO19.13265 CaO19.5843
Q59MD2	UME6_CANAL	Transcriptional regulatory protein UME6	UME6 CAALFM_C106280CA CaO19.1822 CaO19.9381
Q59MJ1	MRR2_CANAL	multidrug resistance regulator 2	MRR2 ZCF34 CAALFM_C307860CA CaO19.6182
Q59MN0	VAC8_CANAL	Vacuolar protein 8	VAC8 CAALFM_C405150WA CaO19.745 CaO19.8364
Q59MQ0	MYO5_CANAL	Myosin-5 (Class I unconventional myosin MYO5) (Type I myosin MYO5)	MYO5 CAALFM_C405100CA CaO19.738 CaO19.8357
Q59MV9	FHP_CANAL	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)	YHB1 CAALFM_CR07790CA CaO19.11192 CaO19.3707
Q59N42	Q59N42_CANAL	Serine/threonine-protein phosphatase (EC 3.1.3.16)	GLC7 CAALFM_CR07650WA orf19.13664
Q59NG2	Q59NG2_CANAL	DNA repair and recombination protein RAD52	RAD52 CAALFM_C600510CA orf19.11684
Q59NH8	CDC14_CANAL	Tyrosine-protein phosphatase CDC14 (EC 3.1.3.48)	CDC14 CAALFM_C600670WA CaO19.11669 CaO19.4192
Q59NP5	SUN41_CANAL	Secreted beta-glucosidase SUN41 (EC 3.2.1.-)	SUN41 SUN4 CAALFM_C600820WA CaO19.11124 CaO19.3642
Q59NX5	FGR27_CANAL	Filamentous growth regulator 27	FGR27 CAALFM_C503680WA CaO19.6680
Q59P39	EFH1_CANAL	Transcriptional regulator EFH1 (EFG1 homolog 1)	EFH1 PHD1 CAALFM_C206340WA CaO19.12953 CaO19.5498
Q59PR9	HMO1_CANAL	Transcriptional regulator HMO1 (High mobility group protein 1)	HMO1 CAALFM_CR05670CA CaO19.13966 CaO19.6645
Q59Q46	IMDH_CANAL	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IMH3 IMD3 CAALFM_C206390CA CaO19.18 CaO19.7689
Q59QC7	UPC2_CANAL	Sterol uptake control protein 2	UPC2 ECM22 CAALFM_C108460CA CaO19.391 CaO19.8021
Q59QW5	FLO8_CANAL	Transcriptional regulator of filamentous growth FLO8	FLO8 CAALFM_C604350CA CaO19.1093 CaO19.8695
Q59RA2	PIS_CANAL	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	PIS1 orf19.6860 CAALFM_C405210WA
Q59RL7	CPH2_CANAL	Transcription factor CPH2 (Candida pseudohyphal regulator 2)	CPH2 CAALFM_C600280WA CaO19.1187 CaO19.8778
Q59RQ0	PIF1_CANAL	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 CAALFM_CR07360WA CaO19.13552 CaO19.6133
Q59RQ2	KDSR_CANAL	3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase)	KSR1 TSC10 CAALFM_CR07380CA CaO19.13550 CaO19.6131
Q59RR0	ACE2_CANAL	Cell wall transcription factor ACE2	ACE2 CAALFM_CR07440WA CaO19.13543 CaO19.6124
Q59RW5	HXK1_CANAL	N-acetylglucosamine kinase 1 (GlcNAc kinase 1) (EC 2.7.1.59) (Hexokinase 1) (EC 2.7.1.1)	HXK1 NAG5 CAALFM_C604580WA CaO19.2154 CaO19.9701
Q59S64	Q59S64_CANAL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	HRR25 CAALFM_C602340WA orf19.10980
Q59S78	SAR1_CANAL	Small COPII coat GTPase SAR1 (EC 3.6.5.-)	SAR1 CAALFM_C602220WA CaO19.10966 CaO19.3462
Q59SF7	PIR1_CANAL	Cell wall mannoprotein PIR1 (Protein with internal repeats 1)	PIR1 PIR2 CAALFM_C208870CA CaO19.220 CaO19.7851
Q59SN6	CRZ2_CANAL	Transcriptional regulator CRZ2 (Calcineurin-responsive zinc finger protein 2)	CRZ2 CAALFM_CR07060CA CaO19.2356 CaO19.9892
Q59SU1	CARP9_CANAL	Secreted aspartic protease 9 (ACP 9) (Aspartate protease 9) (EC 3.4.23.24) (Candidapepsin-9)	SAP9 YPS1 CAALFM_C303870CA CaO19.14190 CaO19.6928
Q59TB2	SUV3_CANAL	ATP-dependent RNA helicase SUV3, mitochondrial (EC 3.6.4.13)	SUV3 CAALFM_C204350CA CaO19.11994 CaO19.4519
Q59TP1	RBT1_CANAL	Cell wall protein RBT1 (Repressed by TUP1 protein 1)	RBT1 RBT99 CAALFM_C403520CA CaO19.1327 CaO19.8907
Q59U10	BCR1_CANAL	Biofilm and cell wall regulator 1	BCR1 USV1 CAALFM_CR06440CA CaO19.723 CaO19.8342
Q59UP6	PGA10_CANAL	GPI-anchored hemophore PGA10 (GPI-anchored protein 10) (Repressed by TUP1 protein 51) (Repressed by TUP1 protein 8)	PGA10 CRW2 RBT51 RBT8 CAALFM_C400450CA CaO19.13119 CaO19.5674
Q59UT4	RBT5_CANAL	GPI-anchored hemophore RBT5 (Repressed by TUP1 protein 5)	RBT5 CAALFM_C400130WA CaO19.13081 CaO19.5636
Q59UT5	PGA7_CANAL	GPI-anchored hemophore PGA7 (Predicted GPI-anchored protein 7) (Repressed by TUP1 protein 6)	PGA7 CRW3 RBT6 CAALFM_C400120WA CaO19.13080 CaO19.5635
Q59UY7	SEF1_CANAL	Transcriptional regulatory protein SEF1	SEF1 CAALFM_CR02190CA CaO19.11237 CaO19.3753
Q59UY8	Q59UY8_CANAL	DNA repair protein RAD51 homolog	RAD51 CAALFM_CR02200CA orf19.11236
Q59VF4	HAT1_CANAL	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	HAT1 CAALFM_C104670WA CaO19.779 CaO19.8401
Q59VG6	ERG3_CANAL	Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 sterol desaturase ERG3) (Ergosterol Delta(5,6) desaturase erg3) (Ergosterol biosynthesis protein 3) (Sterol-C5-desaturase ERG3)	ERG3 orf19.767 CAALFM_C104770CA
Q59VH7	CARP7_CANAL	Secreted aspartic protease 7 (ACP 7) (Aspartate protease 7) (EC 3.4.23.24) (Candidapepsin-7)	SAP7 CAALFM_C104870WA CaO19.756 CaO19.8376
Q59VQ3	MAD2_CANAL	Spindle assembly checkpoint component MAD2	MAD2 CAALFM_C104080WA CaO19.1040 CaO19.8642
Q59VQ8	WAR1_CANAL	Transcriptional regulator WAR1 (Weak acid resistance protein 1)	WAR1 CAALFM_C103740WA CaO19.1035 CaO19.8637
Q59VR1	SKO1_CANAL	Transcriptional regulator SKO1	SKO1 CAALFM_C103770WA CaO19.1032 CaO19.8634
