Entry	Entry Name	Protein names	Gene Names
A0A2H0ZEH3	A0A2H0ZEH3_CANAR	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	B9J08_005128
A0A2H0ZEH4	A0A2H0ZEH4_CANAR	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1 B9J08_005141
A0A2H0ZF26	A0A2H0ZF26_CANAR	Histone-lysine N-methyltransferase, H3 lysine-4 specific (EC 2.1.1.354)	B9J08_005356
A0A2H0ZF31	A0A2H0ZF31_CANAR	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	NAT10 B9J08_005488 CA7LBN_003336
A0A2H0ZF39	A0A2H0ZF39_CANAR	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	ADK1 B9J08_005499
A0A2H0ZFC0	A0A2H0ZFC0_CANAR	Guanine nucleotide-binding protein subunit beta-like protein	B9J08_005458
A0A2H0ZFG6	A0A2H0ZFG6_CANAR	DNA polymerase (EC 2.7.7.7)	B9J08_005515 CA7LBN_003313
A0A2H0ZFP9	A0A2H0ZFP9_CANAR	Ribosomal RNA-processing protein 8 (EC 2.1.1.-)	B9J08_005069 CA7LBN_003694
A0A2H0ZFR6	A0A2H0ZFR6_CANAR	Tubulin alpha chain	B9J08_004499
A0A2H0ZFS7	A0A2H0ZFS7_CANAR	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	B9J08_004540
A0A2H0ZFT9	A0A2H0ZFT9_CANAR	CAAX prenyl protease (EC 3.4.24.84)	B9J08_004553 CA7LBN_003936
A0A2H0ZFV9	A0A2H0ZFV9_CANAR	Serine hydroxymethyltransferase (EC 2.1.2.1)	B9J08_005225
A0A2H0ZG92	A0A2H0ZG92_CANAR	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	B9J08_004682
A0A2H0ZGC5	A0A2H0ZGC5_CANAR	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	NCP1 B9J08_004709
A0A2H0ZGC7	A0A2H0ZGC7_CANAR	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5)	TRM5 B9J08_004715
A0A2H0ZGH0	A0A2H0ZGH0_CANAR	DNA replication licensing factor MCM2 (EC 3.6.4.12)	B9J08_005476
A0A2H0ZGH7	A0A2H0ZGH7_CANAR	U6 snRNA-associated Sm-like protein LSm2	B9J08_005486
A0A2H0ZGI8	A0A2H0ZGI8_CANAR	Phospholipid-transporting ATPase (EC 7.6.2.1)	B9J08_004766 CA7LBN_004026
A0A2H0ZGJ6	A0A2H0ZGJ6_CANAR	Alkaline phosphatase (EC 3.1.3.1)	B9J08_004776 CA7LBN_004016
A0A2H0ZGS0	A0A2H0ZGS0_CANAR	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	UTR4 B9J08_004857 CA7LBN_004203
A0A2H0ZGS7	A0A2H0ZGS7_CANAR	Chromatin modification-related protein	B9J08_004862
A0A2H0ZGU5	A0A2H0ZGU5_CANAR	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	B9J08_004596
A0A2H0ZHC3	A0A2H0ZHC3_CANAR	PH domain-containing protein	B9J08_004718 CA7LBN_004063
A0A2H0ZI09	A0A2H0ZI09_CANAR	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	COQ2 B9J08_004122 CA7LBN_004258
A0A2H0ZI66	A0A2H0ZI66_CANAR	Rad50/SbcC-type AAA domain-containing protein	B9J08_004166 CA7LBN_004293
A0A2H0ZI83	A0A2H0ZI83_CANAR	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	B9J08_004153
A0A2H0ZIE9	A0A2H0ZIE9_CANAR	Transcription and mRNA export factor SUS1	SUS1 B9J08_004752
A0A2H0ZIF2	A0A2H0ZIF2_CANAR	Chromatin structure-remodeling complex subunit SFH1 (RSC complex subunit SFH1) (SNF5 homolog 1)	B9J08_004234
A0A2H0ZIN5	A0A2H0ZIN5_CANAR	ATP-dependent RNA helicase (EC 3.6.4.13)	B9J08_004322
A0A2H0ZIT9	A0A2H0ZIT9_CANAR	Phospholipid-transporting ATPase (EC 7.6.2.1)	B9J08_004344 CA7LBN_004439
A0A2H0ZIZ6	A0A2H0ZIZ6_CANAR	EKC/KEOPS complex subunit BUD32 (EC 2.7.11.1) (Atypical Serine/threonine protein kinase BUD32) (EKC/KEOPS complex subunit bud32)	B9J08_004406
A0A2H0ZJ17	A0A2H0ZJ17_CANAR	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	B9J08_004116
A0A2H0ZJ36	A0A2H0ZJ36_CANAR	DNA 3'-5' helicase (EC 5.6.2.4)	B9J08_004463 CA7LBN_004550
A0A2H0ZJ92	A0A2H0ZJ92_CANAR	ATP-dependent RNA helicase DBP2 (EC 3.6.4.13) (ATP-dependent RNA helicase dbp2)	B9J08_004170
A0A2H0ZJA8	PTRA_CANAR	Peptide transporter PTR_A	PTR_A B9J08_004188
A0A2H0ZJD2	A0A2H0ZJD2_CANAR	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	B9J08_004225
A0A2H0ZJR1	A0A2H0ZJR1_CANAR	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	HER2 B9J08_004298 CA7LBN_004400
A0A2H0ZJY8	A0A2H0ZJY8_CANAR	ribonuclease T2 (EC 4.6.1.19)	B9J08_004351
A0A2H0ZK23	A0A2H0ZK23_CANAR	Phosphomannomutase (EC 5.4.2.8)	B9J08_002600
A0A2H0ZK39	A0A2H0ZK39_CANAR	Protein transport protein BOS1	B9J08_002597
A0A2H0ZK94	A0A2H0ZK94_CANAR	Lon protease homolog 2, peroxisomal (EC 3.4.21.-)	B9J08_002618 CA7LBN_001238
A0A2H0ZKB1	A0A2H0ZKB1_CANAR	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase listerin)	B9J08_002673 CA7LBN_001195
A0A2H0ZKD2	A0A2H0ZKD2_CANAR	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)	B9J08_002689
A0A2H0ZKF2	A0A2H0ZKF2_CANAR	Sterol 3-beta-glucosyltransferase (EC 2.4.1.173) (Autophagy-related protein 26)	B9J08_002707 CA7LBN_001172
A0A2H0ZKG7	A0A2H0ZKG7_CANAR	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase)	B9J08_002721
A0A2H0ZKH4	A0A2H0ZKH4_CANAR	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	B9J08_002688
A0A2H0ZL04	A0A2H0ZL04_CANAR	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	B9J08_002888 CA7LBN_001030
A0A2H0ZL19	A0A2H0ZL19_CANAR	ATP-dependent RNA helicase (EC 3.6.4.13)	B9J08_002903 CA7LBN_001020
A0A2H0ZL34	A0A2H0ZL34_CANAR	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	B9J08_002923
A0A2H0ZL78	A0A2H0ZL78_CANAR	Autophagy-related protein 2	B9J08_002953
A0A2H0ZLG1	A0A2H0ZLG1_CANAR	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	BNA7 B9J08_003054
A0A2H0ZLI2	A0A2H0ZLI2_CANAR	Ubiquitin fusion degradation protein	B9J08_003077
A0A2H0ZLU3	A0A2H0ZLU3_CANAR	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	B9J08_003180 CA7LBN_000807
A0A2H0ZLU7	A0A2H0ZLU7_CANAR	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	B9J08_003205 CA7LBN_000781
A0A2H0ZLV7	A0A2H0ZLV7_CANAR	NADH-cytochrome b5 reductase (EC 1.6.2.2)	B9J08_003215 CA7LBN_000771
A0A2H0ZLW1	A0A2H0ZLW1_CANAR	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTG1 B9J08_002890
A0A2H0ZLW4	A0A2H0ZLW4_CANAR	Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	B9J08_003232
A0A2H0ZLX0	A0A2H0ZLX0_CANAR	alpha-1,2-Mannosidase (EC 3.2.1.-)	B9J08_003228 CA7LBN_000761
A0A2H0ZM31	A0A2H0ZM31_CANAR	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 93 kDa subunit homolog) (eIF3 p93) (Translation initiation factor eIF3, p93 subunit homolog)	NIP1 B9J08_003294
A0A2H0ZM52	A0A2H0ZM52_CANAR	Cysteine proteinase 1, mitochondrial (EC 3.4.22.40)	B9J08_002962
A0A2H0ZM78	A0A2H0ZM78_CANAR	DNA 3'-5' helicase (EC 5.6.2.4)	B9J08_003013 CA7LBN_000937
A0A2H0ZMA9	A0A2H0ZMA9_CANAR	Isocitrate lyase	B9J08_003374 CA7LBN_000631
A0A2H0ZMF3	A0A2H0ZMF3_CANAR	Clathrin heavy chain	B9J08_003069
A0A2H0ZMH9	A0A2H0ZMH9_CANAR	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	B9J08_003440
A0A2H0ZMK1	A0A2H0ZMK1_CANAR	DNA replication licensing factor MCM4 (EC 3.6.4.12)	B9J08_003467 CA7LBN_000548
A0A2H0ZMK5	A0A2H0ZMK5_CANAR	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	B9J08_003463 CA7LBN_000552
A0A2H0ZMM7	A0A2H0ZMM7_CANAR	Cysteine protease (EC 3.4.22.-)	B9J08_003496 CA7LBN_000529
A0A2H0ZMV9	A0A2H0ZMV9_CANAR	DNA 3'-5' helicase (EC 5.6.2.4)	B9J08_003586 CA7LBN_000453
A0A2H0ZMW0	A0A2H0ZMW0_CANAR	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1 B9J08_003240
A0A2H0ZN06	A0A2H0ZN06_CANAR	Transketolase (EC 2.2.1.1)	B9J08_003615
A0A2H0ZN10	A0A2H0ZN10_CANAR	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)	COQ5 B9J08_003631 CA7LBN_000411
A0A2H0ZN17	A0A2H0ZN17_CANAR	tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (EC 1.3.1.89) (tRNA-dihydrouridine synthase 3)	B9J08_003641 CA7LBN_000401
A0A2H0ZN20	A0A2H0ZN20_CANAR	aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	B9J08_003646
A0A2H0ZN30	A0A2H0ZN30_CANAR	Glycine cleavage system P protein (EC 1.4.4.2)	B9J08_003609
A0A2H0ZN52	A0A2H0ZN52_CANAR	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	B9J08_003665 CA7LBN_000381
A0A2H0ZN68	A0A2H0ZN68_CANAR	ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)	B9J08_003682
A0A2H0ZNE0	A0A2H0ZNE0_CANAR	Methionine aminopeptidase (EC 3.4.11.18)	B9J08_003768 CA7LBN_000293
A0A2H0ZNE3	A0A2H0ZNE3_CANAR	Phosphatidylinositol 3-kinase VPS34 (EC 2.7.1.137)	B9J08_003765 CA7LBN_000295
A0A2H0ZNJ6	PTRB_CANAR	Peptide transporter PTR_B	PTR_B B9J08_003830
A0A2H0ZNK0	A0A2H0ZNK0_CANAR	Histone acetyltransferase (EC 2.3.1.48)	B9J08_003814
A0A2H0ZNK4	A0A2H0ZNK4_CANAR	Glutathione reductase (EC 1.8.1.7)	B9J08_003819 CA7LBN_000246
A0A2H0ZNL0	A0A2H0ZNL0_CANAR	Nuclear distribution protein PAC1 (Lissencephaly-1 homolog) (LIS-1) (nudF homolog)	PAC1 LIS1 B9J08_003824 CA7LBN_000241
A0A2H0ZNL2	A0A2H0ZNL2_CANAR	Serine hydroxymethyltransferase (EC 2.1.2.1)	B9J08_003791 CA7LBN_000272
A0A2H0ZNL4	A0A2H0ZNL4_CANAR	Serine/threonine-protein kinase RAD53 (EC 2.7.12.1)	B9J08_003829 CA7LBN_000237
A0A2H0ZNT0	A0A2H0ZNT0_CANAR	Pre-mRNA-processing factor 19 (EC 2.3.2.27)	B9J08_003574 CA7LBN_000465
A0A2H0ZNX3	A0A2H0ZNX3_CANAR	DNA-directed RNA polymerases I, II, and III subunit RPABC1	B9J08_003940
A0A2H0ZP26	A0A2H0ZP26_CANAR	Heat shock protein 60, mitochondrial	B9J08_003991
A0A2H0ZP64	A0A2H0ZP64_CANAR	Multifunctional tryptophan biosynthesis protein (EC 4.1.1.48) (EC 4.1.3.27)	B9J08_004045 CA7LBN_000171
A0A2H0ZP72	A0A2H0ZP72_CANAR	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)	B9J08_003714 CA7LBN_000340
A0A2H0ZP84	A0A2H0ZP84_CANAR	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	B9J08_003724
A0A2H0ZPA8	A0A2H0ZPA8_CANAR	Uncharacterized protein	B9J08_004073
A0A2H0ZPL1	A0A2H0ZPL1_CANAR	Deacetylase sirtuin-type domain-containing protein	B9J08_002059 CA7LBN_003168
A0A2H0ZPQ6	A0A2H0ZPQ6_CANAR	3'-5' exonuclease domain-containing protein	B9J08_003876 CA7LBN_000201
A0A2H0ZPW7	A0A2H0ZPW7_CANAR	DNA replication ATP-dependent helicase/nuclease (EC 3.1.-.-) (EC 3.6.4.12)	B9J08_001675 CA7LBN_001525
A0A2H0ZQC1	A0A2H0ZQC1_CANAR	Kinesin-like protein	B9J08_003988
A0A2H0ZQF2	A0A2H0ZQF2_CANAR	Elongator complex protein 3 (EC 2.3.1.-)	B9J08_001912
A0A2H0ZQG1	A0A2H0ZQG1_CANAR	Phosphatidylinositol transfer protein SFH5 (PITP SFH5)	B9J08_004048 CA7LBN_000174
A0A2H0ZQI1	A0A2H0ZQI1_CANAR	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	B9J08_001887 CA7LBN_001347
A0A2H0ZQQ6	A0A2H0ZQQ6_CANAR	NAD-dependent protein deacylase (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)	B9J08_002594
A0A2H0ZQR7	A0A2H0ZQR7_CANAR	Acetolactate synthase (EC 2.2.1.6)	B9J08_002629 CA7LBN_001230
A0A2H0ZR36	A0A2H0ZR36_CANAR	Golgi to ER traffic protein 2	GET2 B9J08_002744
A0A2H0ZR75	A0A2H0ZR75_CANAR	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase)	DQD1 B9J08_002783
A0A2H0ZRD1	A0A2H0ZRD1_CANAR	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1 B9J08_002822
A0A2H0ZS57	A0A2H0ZS57_CANAR	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	B9J08_003101
A0A2H0ZS62	A0A2H0ZS62_CANAR	Thiamine thiazole synthase (Thiazole biosynthetic enzyme) (EC 2.4.2.60)	THI4 B9J08_003099
A0A2H0ZSK2	A0A2H0ZSK2_CANAR	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	NCS6 CTU1 B9J08_003293 CA7LBN_000701
A0A2H0ZSM8	A0A2H0ZSM8_CANAR	Phosphodiesterase (EC 3.1.4.-)	B9J08_003265 CA7LBN_000729
A0A2H0ZSN3	A0A2H0ZSN3_CANAR	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)	TAH18 B9J08_003329 CA7LBN_000667
A0A2H0ZSP4	A0A2H0ZSP4_CANAR	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	B9J08_002769
A0A2H0ZSR6	A0A2H0ZSR6_CANAR	cAMP-dependent protein kinase regulatory subunit	B9J08_002818
A0A2H0ZSW5	A0A2H0ZSW5_CANAR	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1) (Serine/threonine-protein kinase atg1)	B9J08_003355 CA7LBN_000647
A0A2H0ZSW7	A0A2H0ZSW7_CANAR	DNA topoisomerase I (EC 5.6.2.1) (DNA topoisomerase 1)	B9J08_003421 CA7LBN_000588
A0A2H0ZSX7	A0A2H0ZSX7_CANAR	GPI mannosyltransferase 2 (EC 2.4.1.-)	B9J08_003366 CA7LBN_000639
A0A2H0ZTZ6	A0A2H0ZTZ6_CANAR	RuvB-like helicase (EC 3.6.4.12)	B9J08_003774
A0A2H0ZUN3	A0A2H0ZUN3_CANAR	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 110 kDa subunit homolog) (eIF3 p110) (Translation initiation factor eIF3, p110 subunit homolog)	TIF32 B9J08_003944
A0A2H0ZUN5	A0A2H0ZUN5_CANAR	Ribokinase (RK) (EC 2.7.1.15)	RBK1 B9J08_003943 CA7LBN_000086
A0A2H0ZUX4	A0A2H0ZUX4_CANAR	3-oxoacyl-[acyl-carrier-protein] synthase	B9J08_002264
A0A2H0ZV03	A0A2H0ZV03_CANAR	Pre-mRNA-splicing factor CWC2	B9J08_002294 CA7LBN_004840
A0A2H0ZV36	A0A2H0ZV36_CANAR	ATP-dependent RNA helicase DHH1 (ATP-dependent RNA helicase dhh1)	B9J08_002289 CA7LBN_004844
A0A2H0ZV41	A0A2H0ZV41_CANAR	Decapping nuclease (EC 3.6.1.-)	B9J08_002299
A0A2H0ZV43	A0A2H0ZV43_CANAR	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27)	B9J08_002313 CA7LBN_004823
