Recommended name	Participants
Endoplasmic_Reticulum_Membrane_Complex	OG6_102462 OG6_102473 OG6_152871 OG6_102350 OG6_102320 OG6_103722
Glutathione_hydrolase_complex	OG6_100503 OG6_106702
VPS4_complex	OG6_100670
CLB1-CDC28_kinase_complex	OG6_100334 OG6_100199
CLB3-CDC28_kinase_complex	OG6_100334 OG6_100199
CLB4-CDC28_kinase_complex	OG6_100334 OG6_100199
CLB6-CDC28_kinase_complex	OG6_100334 OG6_152316
CLN2-CDC28_kinase_complex	OG6_100334 OG6_222615 OG6_100899
ATG2-ATG18_complex	OG6_103112 OG6_102791
CBP3-CBP6_complex	OG6_107653 OG6_103736
CFD1-NBP35_Fe-S_cluster_assembly_complex	CHEBI:49883 OG6_100169 OG6_100169
TAH18-DRE2_complex	CHEBI:49601 CHEBI:49883 CHEBI:57692 CHEBI:58210 OG6_102453 OG6_100390
Phosphopantothenoylcysteine_decarboxylase_complex	OG6_100772 OG6_100772 OG6_100772
Coenzyme_A-synthesizing_protein_complex	OG6_100772 OG6_102247 OG6_101466 OG6_101308
Atg17-Atg31-Atg29_complex	OG6_143697 OG6_500501 OG6_500794
Glutamyl-tRNA(Gln)_amidotransferase_complex	OG6_101213 OG6_500798 OG6_101205
Glucosidase_II_complex	OG6_100592 OG6_102618
MTQ2-TRM112_eRF1_methyltransferase_complex	OG6_102098 OG6_101563
ELG1-RFC_complex_	OG6_102480 OG6_100321 OG6_100321 OG6_101335 OG6_129948
Elongation_Factor_eEF1_complex,_variant_TEF4	OG6_100227 OG6_101695 OG6_101050
PAN1_actin_cytoskeleton-regulatory_complex	OG6_113577 OG6_113608 OG6_123057
Eukaryotic_translation_initiation_factor_2_complex	OG6_101265 OG6_101220 OG6_101121
Eukaryotic_translation_initiation_factor_2B_complex	OG6_102755 OG6_101847 OG6_102141 OG6_101778 OG6_102470
Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4631	OG6_100627 OG6_101294 OG6_111107
Eukaryotic_translation_initiation_factor_4F_complex,_variant_TIF4632	OG6_100627 OG6_101294 OG6_111107
ERF1-ERF3_translation_release_factor_complex	CHEBI:37565 OG6_101550 OG6_100994
DOM34-HBS1_ribosome_dissociation_complex	CHEBI:15996 OG6_103149 OG6_101450
TOM40_mitochondrial_outer_membrane_translocase_core_complex	OG6_101593 OG6_500948 OG6_111918 OG6_105640 OG6_500668
TOM40_mitochondrial_outer_membrane_translocase_holocomplex	OG6_104251 OG6_101593 OG6_500948 OG6_104980 OG6_111918 OG6_105640 OG6_500668
Adaptor_complex_AP-1	OG6_100926 OG6_100684 OG6_101263 OG6_101228
Adaptor_complex_AP-1R	OG6_100926 OG6_100684 OG6_499970 OG6_101228
Adapter_complex_AP-2	OG6_100684 OG6_101447 OG6_102766 OG6_102976
Adapter_complex_AP-3	OG6_500162 OG6_101595 OG6_102376 OG6_102126
cAMP-dependent_protein_kinase_complex_variant_1	OG6_100326 OG6_100449
cAMP-dependent_protein_kinase_complex_variant_2	OG6_100326 OG6_100449
PCNA_homotrimer	OG6_100882
DNA_replication_factor_C_complex	OG6_102480 OG6_100321 OG6_101059 OG6_100321 OG6_101335
NDC80_complex	OG6_103846 OG6_500618 OG6_103226 OG6_116989
6-phosphofructokinase_complex	OG6_100319 OG6_100319
Mitochondrial_isocitrate_dehydrogenase_complex_(NAD+)	CHEBI:60240 OG6_100541 OG6_101342
Mitochondrial_respiratory_chain_complex_II	CHEBI:16238 CHEBI:21137 CHEBI:30413 CHEBI:49601 CHEBI:49883 OG6_100664 OG6_103173 OG6_103841 OG6_100447
Mitochondrial_respiratory_chain_complex_III	CHEBI:30413 CHEBI:49601 OG6_102683 OG6_103572 OG6_102198 OG6_102032 OG6_109499 OG6_103720 OG6_101749 OG6_105128 OG6_104587 OG6_115933
Chromatin_assembly_factor_1_complex	OG6_101102 OG6_102357 OG6_166483
cAMP-dependent_protein_kinase_complex_variant_3	OG6_100326 OG6_100449
cAMP-dependent_protein_kinase_complex_variant_4	OG6_100326 OG6_100326 OG6_100449
cAMP-dependent_protein_kinase_complex_variant_5	OG6_100326 OG6_100326 OG6_100449
cAMP-dependent_protein_kinase_complex_variant_6	OG6_100326 OG6_100326 OG6_100449
Ste12/Dig1/Dig2_transcription_regulation_complex	OG6_110016 OG6_500447 OG6_500585
Tec1/Ste12/Dig1_transcription_regulation_complex	OG6_110016 OG6_127159 OG6_500447
Carbamoyl-phosphate_synthase_arginine-specific	OG6_100435 OG6_103680
mRNA_capping_enzyme_complex	OG6_111222 OG6_101990
Casein_kinase_II_complex,_CKA1-CKA2_variant	OG6_100821 OG6_100821 OG6_100687 OG6_100687
Trehalose-6-phosphate_synthase/phosphatase_complex,_tps3_variant	OG6_100616 OG6_118050 OG6_100616
Trehalose-6-phosphate_synthase/phosphatase_complex,_tsl1_variant	OG6_100616 OG6_118050 OG6_100616
Calcineurin_complex_variant_1	CHEBI:29034 CHEBI:29105 OG6_100566 OG6_101614
Calcineurin_complex_variant_2	CHEBI:29034 CHEBI:29105 OG6_100566 OG6_101614
Nuclear/nucleolar_exosome_complex,_DIS3-RRP6_variant	CHEBI:18420 OG6_100420 OG6_101400 OG6_101074 OG6_102545 OG6_103234 OG6_101821 OG6_100420 OG6_101226 OG6_102463 OG6_101473 OG6_129058
Cytoplasmic_exosome_complex,_DIS3_variant	CHEBI:18420 OG6_100420 OG6_101400 OG6_101074 OG6_102545 OG6_103234 OG6_101821 OG6_100420 OG6_101226 OG6_102463 OG6_129058
Actin-related_protein_2/3_complex	OG6_102757 OG6_102934 OG6_101628 OG6_102485 OG6_102024 OG6_102851 OG6_102731
Signal_recognition_particle	OG6_100507 OG6_101284 OG6_499891 OG6_102026 OG6_102219 OG6_103910 URS00001CAAE9_559292
ISW1b_chromatin_remodeling_complex	OG6_100877 OG6_500773 OG6_500429
ISW1a_chromatin_remodeling_complex	OG6_100877 OG6_222577
SAGA_complex	OG6_105306 OG6_122832 OG6_104616 OG6_102222 OG6_112471 OG6_102926 OG6_101815 OG6_114268 OG6_102914 OG6_500210 OG6_103103 OG6_120122 OG6_100940 OG6_104688 OG6_101489 OG6_103171 OG6_101921 OG6_103784 OG6_119711 OG6_103619
Mating-type_MATalpha2-MATa1_complex	OG6_176789 OG6_151230
Mating-type_MATalpha2-MCM1_complex_	OG6_176789 OG6_103066
Mating-type_MATalpha1-MCM1_complex_	OG6_222552 OG6_103066
Adenylyl_cyclase_complex	OG6_102913 OG6_101374
ISW2_chromatin_remodeling_complex	OG6_499844 OG6_108356 OG6_103217 OG6_100877
Box_C/D_snoRNP_complex	CHEBI:133335 CHEBI:67040 OG6_100868 OG6_101116 OG6_101480 OG6_101575
ISW2_chromatin_remodeling_complex_variant_2	OG6_108356 OG6_100877
Box_H/ACA_ribonucleoprotein_complex	CHEBI:133336 OG6_102146 OG6_102271 OG6_100327 OG6_102021
Anaphase-Promoting_core_complex_	OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
Anaphase-Promoting_Complex,_CDC20_variant	OG6_102501 OG6_500270 OG6_102790 OG6_101791 OG6_101939 OG6_500570 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
Anaphase-Promoting_Complex,_CDH1_variant	OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_102604 OG6_101383 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
Anaphase-Promoting_complex_AMA1_variant	OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_133424 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
Nuclear_origin_recognition_complex	OG6_102887 OG6_500607 OG6_103513 OG6_100406 OG6_104370 OG6_103029
Casein_kinase_II_complex,_CKA1_variant	OG6_100821 OG6_100687 OG6_100687
Casein_kinase_II_complex,_CKA2_variant	OG6_100821 OG6_100687 OG6_100687
UTP-C_complex_variant_2	OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
UTP-C_complex_variant_1	OG6_100821 OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
UTP-C_complex_variant_3	OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
CURI_complex_variant_1	OG6_100821 OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
CURI_complex_variant_2	OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
CURI_complex_variant_3	OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
SAS_acetyltransferase_complex	OG6_143738 OG6_499856 OG6_500820
TRM11-TRM112_tRNA_(m2G10)_methyltransferase_complex	OG6_102098 OG6_102168
Elongator_holoenzyme_complex	OG6_137837 OG6_103229 OG6_103712 OG6_100741 OG6_500014 OG6_102646
Signal_recognition_particle_receptor_complex	CHEBI:15996 OG6_100631 OG6_103000
NatC_N-alpha-acetyltransferase_complex	OG6_105331 OG6_103368 OG6_101962
NatB_N-alpha-acetyltransferase_complex	OG6_102129 OG6_102465
NatA_N-alpha-acetyltransferase_complex	OG6_100590 OG6_101670 OG6_102120
Palmitoyltransferase_ERF2/SHR5_complex	OG6_500327 OG6_100625
RTG_transcription_factor_complex	OG6_500902 OG6_500054
INO80_chromatin_remodeling_complex	OG6_104604 OG6_123100 OG6_500213 OG6_500499 OG6_123088 OG6_103743 OG6_104278 OG6_100127 OG6_102754 OG6_113304 OG6_101792 OG6_500961 OG6_500415 OG6_104893 OG6_101635
DBF4-dependent_CDC7_kinase_complex	OG6_103228 OG6_115956
FET3-FTR1_high_affinity_iron_permease_complex	CHEBI:23378 OG6_100257 OG6_107140
FET5-FTH1_high_affinity_iron_exporter_complex	CHEBI:23378 OG6_107140 OG6_100257
ESCRT-I_complex	OG6_102944 OG6_500318 OG6_103220 OG6_104152
SBF_transcription_complex	OG6_115793 OG6_500375
MBP_transcription_complex	OG6_115793 OG6_111252
GET_complex	CHEBI:29105 OG6_198766 OG6_105089 OG6_100709
Mitotic_spindle_assembly_checkpoint,_MAD1-MAD2_complex	OG6_103958 OG6_103574
Mitotic_checkpoint_complex,_CDC20-MAD2_subcomplex	OG6_101791 OG6_103574
Mitotic_checkpoint_complex,_MAD2-MAD3-BUB3-CDC20	OG6_101791 OG6_102928 OG6_103574 OG6_154723
GTPase-Activating_Protein_BFA1-BUB2_complex	OG6_109517 OG6_500290
CDC24-FAR1-Gbetagamma_complex	OG6_112509 OG6_101247 OG6_110251 OG6_500219
KEOPS_tRNA_N6-adenosine_threonylcarbamoyltransferase_complex	CHEBI:60240 OG6_100288 OG6_500766 OG6_101388 OG6_103892 OG6_104774
MET4-MET28-MET31_sulfur_metabolism_transcription_factor_complex	OG6_500671 OG6_127326 OG6_119813
MET4-MET28-MET32_sulfur_metabolism_transcription_factor_complex_	OG6_500671 OG6_127326 OG6_119813
CBF1-MET4-MET28_sulfur_metabolism_transcription_factor_complex_	OG6_118300 OG6_500671 OG6_127326
DRS2-CDC50_P4-ATPase_complex	OG6_100927 OG6_100089
DNF1-LEM3_P4-ATPase_complex	OG6_100089 OG6_138269
DNF2-LEM3_P4-ATPase_complex	OG6_138269 OG6_100089
DNF3-CRF1_P4-ATPase_complex	OG6_100927 OG6_102565
NEO1-MON2-ARL1-DOP1_membrane_remodeling_complex	OG6_103249 OG6_101160 OG6_102916 OG6_102162
DNA_mismatch_repair_MutSbeta_complex	OG6_105075 OG6_102031
DNA_mismatch_repair_MutSalpha_complex	OG6_102031 OG6_100652
PIP2-OAF1_transcription_factor_complex	OG6_222538 OG6_222538
COMPASS_complex	OG6_102214 OG6_101464 OG6_500021 OG6_101262 OG6_103359 OG6_102272 OG6_119798 OG6_103538
SKI_complex	OG6_103307 OG6_100340 OG6_103719
DASH_complex	OG6_500852 OG6_500767 OG6_120232 OG6_499963 OG6_117018 OG6_122175 OG6_120624 OG6_500912 OG6_119785 OG6_113505
GAL3-GAL80_transcription_regulation_complex	CHEBI:28061 CHEBI:30617 OG6_124758 OG6_102769
GAL1-GAL80_transcription_regulation_complex	CHEBI:28061 CHEBI:30617 OG6_102769 OG6_124758
GAL4-GAL80_transcription_repressor_complex	CHEBI:15846 OG6_133406 OG6_124758
ERV41-ERV46_retrograde_receptor_complex	OG6_101674 OG6_105529
BUD23-TRM112_methyltransferase_complex	OG6_102190 OG6_102098
TRM9-TRM112_methyltransferase_complex	OG6_100549 OG6_102098
Cleavage_and_polyadenylation_specificity_factor_complex	CHEBI:18420 CHEBI:29035 CHEBI:29105 OG6_100691 OG6_100222 OG6_102091 OG6_102214 OG6_499950 OG6_500453 OG6_102397 OG6_103053 OG6_103165 OG6_137869 OG6_103251 OG6_101260 OG6_103351 OG6_500583 OG6_103283
Importin_complex,_KAP60-KAP95	OG6_100442 OG6_101642
RecQ_helicase-Topo_III_complex	OG6_101027 OG6_100352 OG6_104074
RNA_polymerase_I_upstream_activating_factor_complex	OG6_100120 OG6_500873 OG6_500366 OG6_100119 OG6_500018 OG6_104393
Ribonucleoside-diphosphate_reductase_variant_1	CHEBI:24875 OG6_100537 OG6_100448 OG6_100537
Ribonucleoside-diphosphate_reductase_variant_2	CHEBI:24875 OG6_100537 OG6_100448 OG6_100448 OG6_100537
BUG1-GRH1_complex	OG6_102404 OG6_500867
HICS_complex	OG6_114267 OG6_198998 OG6_103923 OG6_129980
MOT1-TBP_transcription_regulation_complex	OG6_100597 OG6_101665
MEX67-MTR2_mRNA_nuclear_export_factor_complex	OG6_500004 OG6_102057
General_transcription_factor_TFIIIB_complex	OG6_100597 OG6_101494 OG6_105326
General_transcription_factor_TFIIF_complex	OG6_123100 OG6_115055 OG6_102568
SWI/SNF_chromatin_remodelling_complex	OG6_108795 OG6_103095 OG6_500755 OG6_101122 OG6_100909 OG6_123100 OG6_500279 OG6_500913 OG6_103225 OG6_100964 OG6_137766 OG6_500546
N-acetylglutamate_synthase_NAGS/NAGK_complex	OG6_115934 Q01217-PRO_0000002073
ARGR-MCM1_transcription_regulation_complex	OG6_186968 OG6_500390 OG6_113316 OG6_103066
BLOC-1_complex	OG6_500548 OG6_500604 OG6_106624 OG6_136431 OG6_500587 OG6_499989
CoQ_biosynthetic_complex	CHEBI:24875 CHEBI:57692 OG6_103250 OG6_102172 OG6_104460 OG6_101003 OG6_102655 OG6_104041
Central_kinetochore_CTF19_complex	CPX-1187 OG6_500694 OG6_143758 OG6_121243 OG6_500242 OG6_500221 OG6_500830 OG6_499861 OG6_500602
CUL8-MMS1-MMS22-ESC4_E3_ubiquitin_ligase_complex	OG6_119473 OG6_500709 OG6_500197 OG6_500362 OG6_102466
Fatty-acyl-CoA_synthase	OG6_101866 OG6_101866
CUL8-MMS1-MMS22-CTF4_E3_ubiquitin_ligase_complex	OG6_500709 OG6_102719 OG6_500197 OG6_500362 OG6_102466
CUL8-MMS1-ESC2_E3_ubiquitin_ligase_complex	OG6_500709 OG6_500362 OG6_499845 OG6_102466
CUL8-MMS1-ORC5_E3_ubiquitin_ligase_complex	OG6_500709 OG6_103513 OG6_500362 OG6_102466
Cytoplasmic_dynein_complex	OG6_100025 OG6_101571 OG6_101264 OG6_500302
DCS1_decapping_scavenger_complex	OG6_104575
DCS1-DCS2_regulator_of_decapping_scavenger_complex	OG6_104575 OG6_104575
Kinetochore_MIS12_complex	OG6_121243 OG6_499880 OG6_107147 OG6_124902
COMA_complex	OG6_500389 OG6_500462 OG6_500280 OG6_500273
DPB11-SLD3-SLD2_DNA_replication_complex	OG6_500056 OG6_102493 OG6_500639
RAD26-DEF1_stalled_RNAPII_response_complex	OG6_500974 OG6_103189
TUL1_E3_ubiquitin_ligase_complex	OG6_105468 OG6_104409 OG6_112869 OG6_102329
Global_genome_repair_CUL3-RAD7-RAD16-ELC1_ubiquitin_ligase_complex	OG6_109058 OG6_105241 OG6_102066 OG6_102390
FAR_complex	OG6_499919 OG6_108484 OG6_103643 OG6_193892 OG6_499921 OG6_193892
Gamma_tubulin_small_complex	CHEBI:15996 OG6_101900 OG6_101897 OG6_101925
RAP1-GCR1_transcription_activation_complex	OG6_500047 OG6_499994
RAP1-GCR1-GCR2_transcription_activation_complex	OG6_500047 OG6_499994 OG6_500703
BNI4-GLC7_phosphatase_complex	CHEBI:29035 OG6_100222 OG6_500653
GAC1-GLC7_phosphatase_complex	CHEBI:29035 OG6_220708 OG6_100222
SDS22-GLC7_phosphatase_complex	CHEBI:29035 OG6_100222 OG6_102267
SDS22-GLC7-YPI1_phosphatase_complex	CHEBI:29035 OG6_100222 OG6_102267 OG6_104011
REG1-GLC7_phosphatase_complex	CHEBI:29035 OG6_100222 OG6_500869
REG2-GLC7_phosphatase_complex	CHEBI:29035 OG6_100222 OG6_499841
Glycine_decarboxylase_multienzyme_complex_	CHEBI:57692 OG6_100523 OG6_100619 OG6_101103 OG6_101195
Glycosylphosphatidylinositol-mannosyltransferase_II_complex	OG6_103140 OG6_500920
Glycosylphosphatidylinositol-mannosyltransferase_I_complex	OG6_121253 OG6_102429
Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase_complex	OG6_100580 OG6_103319 OG6_103823 OG6_105076 OG6_499996 OG6_102977
GPI-anchor_transamidase_complex	OG6_103068 OG6_104164 OG6_103076 OG6_101767 OG6_103860
HMC_complex	OG6_100204 OG6_125220 OG6_100083 OG6_100083 OG6_100204 OG6_100614 OG6_103868
INO2-INO4_transcription_activation_complex_	OG6_127184 OG6_500539
LMA1_complex,_TRX1_variant	OG6_110554 OG6_100096
LMA1_complex,_TRX2_variant	OG6_110554 OG6_100096
Luminal_surveillance_complex	OG6_100083 OG6_101047 OG6_104081
HTM1-PDI1_exomannosidase_complex	CHEBI:29108 OG6_100478 OG6_101442
MPS2-BBP1_spindle_pole_body_anchor_complex	OG6_500720 OG6_499969
MEI5-SAE3_recombination_assembly_factor_complex	OG6_500588 OG6_107974
REC102-REC104_meiotic_recombination_initiation_complex_	OG6_500438 OG6_500927
Mitochondrial_2-oxoglutarate_dehydrogenase_complex	CHEBI:57692 CHEBI:58937 CHEBI:83088 OG6_100523 OG6_101182 OG6_117765 OG6_100311
Mitochondrial_ribonuclease_P_complex	OG6_500040 URS00007E9EB6_559292
MKT1-PBP1_translation_regulation_complex	OG6_109072 OG6_111536
OPY2-MSB2_osmosensory_complex	OG6_500024 OG6_143747
MST27-MST28_vesicle_formation_complex	OG6_111794 OG6_111794
MYO2-VAC17-VAC8_transport_complex	OG6_100101 OG6_500078 OG6_108710
Nascent_polypeptide-associated_complex,_EGD1-EGD2_variant	OG6_101216 OG6_101091
Nascent_polypeptide-associated_complex,_BTT1-EGD2_variant	OG6_101216 OG6_101091
bI4_intron_splicing_factor_complex	EBI-16420196 OG6_102198 OG6_101393
Nonsense-mediated_decay_complex	OG6_101981 OG6_103377 OG6_104140
NRD1_snoRNA_termination_complex	OG6_499984 OG6_129981 OG6_101455
WHI2-PSR1_phosphatase_complex	OG6_114265 OG6_100959
WHI2-PSR2_phosphatase_complex	OG6_114265 OG6_100959
PSTB_lipid_transfer_acceptor_membrane_complex	OG6_107063 OG6_102382
Peptide:N-glycanase-Rad23_complex	CHEBI:29105 OG6_101279 OG6_103952
RAD53-ASF1_complex	OG6_101842 OG6_101293
CDC48-RAD23-UFD2_complex	OG6_100525 OG6_101279 OG6_101833
bI3_intron_splicing_factor_complex	EBI-16423101 OG6_129971 OG6_205594
RAT1-RAI1_RNA_polymerase_II_termination_complex	OG6_104243 OG6_100417
RTT109-VPS75_histone_acetyltransferase_complex	OG6_132519 OG6_113601
RVS161-RVS167_amphiphysin_complex	OG6_105748 OG6_109735
Separase-Securin_complex	OG6_499889 OG6_103054
SEC23-LST1_COPII_cargo_recruitment_complex	CHEBI:29105 OG6_100992 OG6_101536
SET3C_histone_deacetylase_complex	CHEBI:15846 CHEBI:29105 OG6_100528 OG6_115537 OG6_118281 OG6_102387 OG6_100104 OG6_100248 OG6_103854
SLAC_complex	OG6_113608 OG6_104030
RTT107-SLX4-SLX1_complex	OG6_103129 OG6_119473 OG6_500568
SLX4-RAD1-RAD10_endonuclease_complex	OG6_101959 OG6_102832 OG6_500568
SAW1-RAD1-RAD10_endonuclease_complex	OG6_101959 OG6_102832 OG6_500947
SMC5-SMC6_SUMO_ligase_complex	OG6_103911 OG6_500124 OG6_102377 OG6_500971 OG6_114002 OG6_103559 OG6_102083 OG6_102062
SNO1-SNZ1_pyridoxal_5'-phosphate_synthase_complex	OG6_103407 OG6_102840
SNO2-SNZ1_pyridoxal_5'-phosphate_synthase_complex	OG6_103407 OG6_102840
SNT2C_histone_deacetylase_complex	OG6_100248 OG6_113007 OG6_130274
SNX4-ATG20_sorting_nexin_complex	OG6_106436 OG6_111249
SNX4-SNX41_sorting_nexin_complex	OG6_106436 OG6_111249
Mitochondrial_succinyl-CoA_synthetase_complex	CHEBI:18420 OG6_100409 OG6_100834
TAP42-RRD2-PPH21_phosphatase_complex	CHEBI:29035 OG6_100547 OG6_102570 OG6_101438
NVJ1-VAC8_nucleus-vacuole_junction_complex	OG6_500292 OG6_108710
TAP42-RRD2-PPH22_phosphatase_complex	CHEBI:29035 OG6_100547 OG6_102570 OG6_101438
TRAPPIII_protein_complex	OG6_102403 OG6_102292 OG6_102833 OG6_102532 OG6_102947 OG6_102399 OG6_102793
SUM1-RFM1-HST1_histone_deacetylase_complex	CHEBI:29105 OG6_500383 OG6_103854 OG6_500343
Synapsis_initiation_complex	OG6_500421 OG6_133389 OG6_500339 OG6_106595
Synaptonemal_complex	OG6_500865 OG6_103312 OG6_133709 OG6_500764 OG6_499933
ECM11-GMC2_synaptonemal_assembly_activation_factor_complex	OG6_500764 OG6_499933
Nuclear_meiotic_cohesin_complex	OG6_101499 OG6_500309 OG6_101525 OG6_500114
UTP-A_complex	OG6_500468 OG6_102005 OG6_500457 OG6_102924 OG6_102917 OG6_102263 OG6_102666
UTP-B_complex	OG6_102497 OG6_102672 OG6_102475 OG6_102171 OG6_102184 OG6_102330
UBP3-BRE5_ubiquitin_hydrolase_complex	OG6_102794 OG6_103260
VPS55-VPS68_sorting_complex	OG6_103010 OG6_102597
UBA3-ULA1_E1_enzyme	OG6_101722 OG6_101845
IME1-UME6_transcription_activation_complex	OG6_500966 OG6_500969
BBP-MUD2_branchpoint-binding_complex_	OG6_101356 OG6_102013
Spliceosomal_commitment_complex	CPX-1417 CPX-23 EBI-16716764 OG6_102375
Spindle_pole_body_central_plaque_complex	OG6_100851 OG6_130139 OG6_500315 OG6_500642
Spindle_pole_body_intermediate_layer_2_complex	OG6_500642 OG6_500393
NOP8_60s_ribosome_pre-assembly_complex	OG6_104307 OG6_500487 OG6_103754 OG6_116846 OG6_500385
TEL2-TTI1-TTI2_complex	OG6_104423 OG6_115935 OG6_103878
COX1_pre-assembly_complex	OG6_100423 OG6_114133 OG6_500119 OG6_116114
Tubulin_alpha-beta_heterodimeric_complex,_TUB1_variant	CHEBI:15996 OG6_100137 OG6_100108
Tubulin_alpha-beta_heterodimeric_complex,_TUB3_variant	CHEBI:15996 OG6_100137 OG6_100108
Myosin_class_II_complex	OG6_100110 OG6_113025 OG6_114734
