,filtered_Participants
36,OG6_107653 OG6_103736
37,OG6_100169 OG6_100169
38,OG6_102453 OG6_100390
39,OG6_100772 OG6_100772 OG6_100772
40,OG6_100772 OG6_102247 OG6_101466 OG6_101308
41,OG6_143697 OG6_500501 OG6_500794
42,OG6_101213 OG6_500798 OG6_101205
43,OG6_100592 OG6_102618
44,OG6_102098 OG6_101563
45,OG6_102480 OG6_100321 OG6_100321 OG6_101335 OG6_129948
46,OG6_100227 OG6_101695 OG6_101050
47,OG6_113577 OG6_113608 OG6_123057
48,OG6_101265 OG6_101220 OG6_101121
49,OG6_102755 OG6_101847 OG6_102141 OG6_101778 OG6_102470
50,OG6_100627 OG6_101294 OG6_111107
51,OG6_100627 OG6_101294 OG6_111107
52,OG6_101550 OG6_100994
53,OG6_103149 OG6_101450
54,OG6_101593 OG6_500948 OG6_111918 OG6_105640 OG6_500668
55,OG6_104251 OG6_101593 OG6_500948 OG6_104980 OG6_111918 OG6_105640 OG6_500668
56,OG6_100926 OG6_100684 OG6_101263 OG6_101228
57,OG6_100926 OG6_100684 OG6_499970 OG6_101228
58,OG6_100684 OG6_101447 OG6_102766 OG6_102976
59,OG6_500162 OG6_101595 OG6_102376 OG6_102126
60,OG6_100326 OG6_100449
61,OG6_100326 OG6_100449
62,OG6_100882
63,OG6_102480 OG6_100321 OG6_101059 OG6_100321 OG6_101335
64,OG6_103846 OG6_500618 OG6_103226 OG6_116989
65,OG6_100319 OG6_100319
66,OG6_100541 OG6_101342
67,OG6_100664 OG6_103173 OG6_103841 OG6_100447
68,OG6_102683 OG6_103572 OG6_102198 OG6_102032 OG6_109499 OG6_103720 OG6_101749 OG6_105128 OG6_104587 OG6_102132
69,OG6_101102 OG6_102357 OG6_166483
70,OG6_100326 OG6_100449
71,OG6_100326 OG6_100326 OG6_100449
72,OG6_100326 OG6_100326 OG6_100449
73,OG6_100326 OG6_100326 OG6_100449
74,OG6_110016 OG6_500447 OG6_500585
75,OG6_110016 OG6_127159 OG6_500447
76,OG6_100435 OG6_103680
77,OG6_111222 OG6_101990
78,OG6_100821 OG6_100821 OG6_100687 OG6_100687
79,OG6_100616 OG6_118050 OG6_100616
80,OG6_100616 OG6_118050 OG6_100616
81,OG6_100566 OG6_101614
82,OG6_100566 OG6_101614
83,OG6_100420 OG6_101400 OG6_101074 OG6_102545 OG6_103234 OG6_101821 OG6_100420 OG6_101226 OG6_102463 OG6_101473 OG6_129058
84,OG6_100420 OG6_101400 OG6_101074 OG6_102545 OG6_103234 OG6_101821 OG6_100420 OG6_101226 OG6_102463 OG6_129058
85,OG6_102757 OG6_102934 OG6_101628 OG6_102485 OG6_102024 OG6_102851 OG6_102731
86,OG6_100507 OG6_101284 OG6_499891 OG6_102026 OG6_102219 OG6_103910
87,OG6_100877 OG6_500773 OG6_500429
88,OG6_100877 OG6_222577
89,OG6_105306 OG6_122832 OG6_104616 OG6_102222 OG6_112471 OG6_102926 OG6_101815 OG6_114268 OG6_102914 OG6_500210 OG6_103103 OG6_120122 OG6_100940 OG6_104688 OG6_101489 OG6_103171 OG6_101921 OG6_103784 OG6_119711 OG6_103619
90,OG6_176789 OG6_151230
91,OG6_176789 OG6_103066
92,OG6_222552 OG6_103066
93,OG6_102913 OG6_101374
94,OG6_499844 OG6_108356 OG6_103217 OG6_100877
95,OG6_100868 OG6_101116 OG6_101480 OG6_101575
96,OG6_108356 OG6_100877
97,OG6_102146 OG6_102271 OG6_100327 OG6_101245
98,OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
99,OG6_102501 OG6_500270 OG6_102790 OG6_101791 OG6_101939 OG6_500570 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
100,OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_102604 OG6_101383 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
101,OG6_102501 OG6_500270 OG6_102790 OG6_101939 OG6_500570 OG6_133424 OG6_102604 OG6_102115 OG6_500444 OG6_104954 OG6_500575 OG6_103498 OG6_500143 OG6_103028
102,OG6_102887 OG6_500607 OG6_103513 OG6_100406 OG6_104370 OG6_103029
103,OG6_100821 OG6_100687 OG6_100687
104,OG6_100821 OG6_100687 OG6_100687
105,OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
106,OG6_100821 OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
107,OG6_100821 OG6_103832 OG6_100687 OG6_100687 OG6_102389
108,OG6_100821 OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
109,OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
110,OG6_100821 OG6_103832 OG6_100687 OG6_500964 OG6_100687 OG6_102389
111,OG6_143738 OG6_499856 OG6_500820
112,OG6_102098 OG6_102168
113,OG6_137837 OG6_103229 OG6_103712 OG6_100741 OG6_500014 OG6_102646
114,OG6_100631 OG6_103000
115,OG6_144034 OG6_103368 OG6_101962
116,OG6_102129 OG6_102465
117,OG6_100590 OG6_101670 OG6_102120
118,OG6_500327 OG6_100625
119,OG6_500902 OG6_500054
120,OG6_104604 OG6_123100 OG6_500213 OG6_500499 OG6_123088 OG6_103743 OG6_104278 OG6_100127 OG6_102754 OG6_113304 OG6_101792 OG6_500961 OG6_500415 OG6_104893 OG6_101635
121,OG6_103228 OG6_115956
122,OG6_100257 OG6_107140
123,OG6_107140 OG6_100257
124,OG6_102944 OG6_500318 OG6_103220 OG6_104152
125,OG6_115793 OG6_500375
126,OG6_115793 OG6_111252
127,OG6_198766 OG6_105089 OG6_100709
128,OG6_103958 OG6_103574
129,OG6_101791 OG6_103574
130,OG6_101791 OG6_102928 OG6_103574 OG6_154723
131,OG6_109517 OG6_500290
132,OG6_112509 OG6_101247 OG6_110251 OG6_500219
133,OG6_100288 OG6_500766 OG6_101388 OG6_103892 OG6_103190
134,OG6_500671 OG6_127326 OG6_119813
135,OG6_500671 OG6_127326 OG6_119813
136,OG6_118300 OG6_500671 OG6_127326
137,OG6_100927 OG6_100089
138,OG6_100089 OG6_138269
139,OG6_138269 OG6_100089
140,OG6_100927 OG6_102565
141,OG6_103249 OG6_101160 OG6_102916 OG6_102162
142,OG6_105075 OG6_102031
143,OG6_102031 OG6_100652
144,OG6_222538 OG6_222538
145,OG6_102214 OG6_101464 OG6_500021 OG6_101262 OG6_103359 OG6_102272 OG6_119798 OG6_103538
146,OG6_103307 OG6_100340 OG6_103719
147,OG6_500852 OG6_500767 OG6_120232 OG6_499963 OG6_117018 OG6_103287 OG6_112450 OG6_114551 OG6_119785 OG6_113505
148,OG6_124758 OG6_102769
149,OG6_102769 OG6_124758
150,OG6_133406 OG6_124758
151,OG6_101674 OG6_105529
152,OG6_102190 OG6_102098
153,OG6_100549 OG6_102098
154,OG6_100691 OG6_100222 OG6_102091 OG6_102214 OG6_499950 OG6_500453 OG6_102397 OG6_103053 OG6_103165 OG6_137869 OG6_103251 OG6_101260 OG6_103351 OG6_500583 OG6_103283
155,OG6_100442 OG6_101642
156,OG6_101027 OG6_100352 OG6_104074
157,OG6_100120 OG6_500873 OG6_500366 OG6_100119 OG6_500018 OG6_104393
158,OG6_100537 OG6_100448 OG6_100537
159,OG6_100537 OG6_100448 OG6_100448 OG6_100537
160,OG6_102404 OG6_500867
161,OG6_114267 OG6_198998 OG6_103923 OG6_129980
162,OG6_100597 OG6_101665
163,OG6_500004 OG6_102057
164,OG6_100597 OG6_101494 OG6_105326
165,OG6_123100 OG6_115055 OG6_102568
166,OG6_108795 OG6_103095 OG6_500755 OG6_101122 OG6_100909 OG6_123100 OG6_500279 OG6_500913 OG6_103225 OG6_100964 OG6_137766 OG6_500546
167,OG6_115934
168,OG6_186968 OG6_500390 OG6_113316 OG6_103066
169,OG6_500548 OG6_500604 OG6_106624 OG6_136431 OG6_500587 OG6_499989
170,OG6_103250 OG6_102172 OG6_104460 OG6_101003 OG6_102655 OG6_104041
171,OG6_500694 OG6_143758 OG6_121243 OG6_500242 OG6_500221 OG6_500830 OG6_499861 OG6_500602
172,OG6_119473 OG6_500709 OG6_500197 OG6_500362 OG6_102466
173,OG6_101866 OG6_101866
174,OG6_500709 OG6_102719 OG6_500197 OG6_500362 OG6_102466
175,OG6_500709 OG6_500362 OG6_499845 OG6_102466
176,OG6_500709 OG6_103513 OG6_500362 OG6_102466
177,OG6_100025 OG6_101571 OG6_101264 OG6_500302
178,OG6_104575
179,OG6_104575 OG6_104575
180,OG6_121243 OG6_499880 OG6_107147 OG6_124902
181,OG6_500389 OG6_500462 OG6_500280 OG6_500273
182,OG6_500056 OG6_102493 OG6_500639
183,OG6_500974 OG6_103189
184,OG6_105468 OG6_104409 OG6_112869 OG6_102329
185,OG6_109058 OG6_105241 OG6_102066 OG6_102390
186,OG6_499919 OG6_108484 OG6_103643 OG6_193892 OG6_499921 OG6_193892
187,OG6_101900 OG6_101897 OG6_101925
188,OG6_500047 OG6_499994
189,OG6_500047 OG6_499994 OG6_500703
190,OG6_100222 OG6_500653
191,OG6_220708 OG6_100222
192,OG6_100222 OG6_102267
193,OG6_100222 OG6_102267 OG6_104011
194,OG6_100222 OG6_500869
195,OG6_100222 OG6_499841
196,OG6_100523 OG6_100619 OG6_101103 OG6_101195
197,OG6_103140 OG6_500920
198,OG6_121253 OG6_102429
199,OG6_100580 OG6_103319 OG6_103823 OG6_105076 OG6_499996 OG6_102977
200,OG6_103068 OG6_104164 OG6_103076 OG6_101767 OG6_103860
201,OG6_100204 OG6_125220 OG6_100083 OG6_100083 OG6_100204 OG6_100614 OG6_103868
202,OG6_127184 OG6_500539
203,OG6_110554 OG6_100096
204,OG6_110554 OG6_100096
205,OG6_100083 OG6_101047 OG6_104081
206,OG6_100478 OG6_101442
207,OG6_500720 OG6_499969
208,OG6_500588 OG6_102150
209,OG6_500438 OG6_500927
210,OG6_100523 OG6_101182 OG6_117765 OG6_100311
211,OG6_500040
212,OG6_109072 OG6_111536
213,OG6_500024 OG6_143747
214,OG6_111794 OG6_111794
215,OG6_100101 OG6_500078 OG6_108710
216,OG6_101216 OG6_101091
217,OG6_101216 OG6_101091
218,OG6_102198 OG6_101393
219,OG6_101981 OG6_103377 OG6_104140
220,OG6_499984 OG6_129981 OG6_101455
221,OG6_114265 OG6_100959
222,OG6_114265 OG6_100959
223,OG6_107063 OG6_102382
224,OG6_101279 OG6_103952
225,OG6_101842 OG6_101293
226,OG6_100525 OG6_101279 OG6_101833
227,OG6_129971 OG6_205594
228,OG6_104243 OG6_100417
229,OG6_132519 OG6_113601
230,OG6_105748 OG6_109735
231,OG6_499889 OG6_103054
232,OG6_100992 OG6_101536
233,OG6_100528 OG6_115537 OG6_118281 OG6_102387 OG6_100104 OG6_100248 OG6_103854
234,OG6_113608 OG6_104030
235,OG6_103129 OG6_119473 OG6_500568
236,OG6_101959 OG6_102832 OG6_500568
237,OG6_101959 OG6_102832 OG6_500947
238,OG6_103911 OG6_500124 OG6_102377 OG6_500971 OG6_114002 OG6_103559 OG6_102083 OG6_102062
239,OG6_103407 OG6_102840
240,OG6_103407 OG6_102840
241,OG6_100248 OG6_113007 OG6_130274
242,OG6_106436 OG6_111249
243,OG6_106436 OG6_111249
244,OG6_100409 OG6_100834
245,OG6_100547 OG6_102570 OG6_101438
246,OG6_500292 OG6_108710
247,OG6_100547 OG6_102570 OG6_101438
248,OG6_102403 OG6_102292 OG6_102833 OG6_102532 OG6_102947 OG6_102399 OG6_102793
249,OG6_500383 OG6_103854 OG6_500343
250,OG6_500421 OG6_133389 OG6_500339 OG6_106595
251,OG6_500865 OG6_103312 OG6_133709 OG6_500764 OG6_499933
252,OG6_500764 OG6_499933
253,OG6_101499 OG6_500309 OG6_101525 OG6_500114
254,OG6_500468 OG6_102005 OG6_500457 OG6_102924 OG6_102917 OG6_102263 OG6_102666
255,OG6_102497 OG6_102672 OG6_102475 OG6_102171 OG6_102184 OG6_102330
256,OG6_102794 OG6_103260
257,OG6_103010 OG6_102597
258,OG6_101722 OG6_101845
259,OG6_500966 OG6_500969
260,OG6_101356 OG6_102013
261,OG6_102375
262,OG6_100851 OG6_130139 OG6_500315 OG6_500642
263,OG6_500642 OG6_500393
264,OG6_104307 OG6_500487 OG6_103754 OG6_116846 OG6_500385
265,OG6_104423 OG6_115935 OG6_103878
266,OG6_100423 OG6_114133 OG6_500119 OG6_104308
267,OG6_100137 OG6_100108
268,OG6_100137 OG6_100108
269,OG6_100110 OG6_113025 OG6_114734
270,OG6_100851 OG6_100187
271,OG6_100851 OG6_100187
272,OG6_100851 OG6_100101 OG6_113025
273,
274,OG6_100514 OG6_100971 OG6_101107 OG6_100429 OG6_100920 OG6_101640 OG6_100367 OG6_101261 OG6_100373
275,OG6_100748 OG6_101109 OG6_100781 OG6_500859 OG6_100932 OG6_100665 OG6_100789 OG6_100702 OG6_100701 OG6_101624
276,OG6_102773 OG6_101181 OG6_114551 OG6_127201 OG6_105720 OG6_100929 OG6_116994 OG6_123089 OG6_105363 OG6_101282 OG6_104265 OG6_100949 OG6_105622 OG6_115525 OG6_100234 OG6_103727 OG6_100370 OG6_105063 OG6_104174 OG6_100325 OG6_100988 OG6_124821 OG6_117012 OG6_103501 OG6_102880 OG6_117002 OG6_103062 OG6_119806 OG6_104091 OG6_103648 OG6_143261 OG6_101573 OG6_101040 OG6_101056 OG6_100766 OG6_500509 OG6_100842 OG6_101227 OG6_104476 OG6_500949 OG6_102992 OG6_100942 OG6_103158 OG6_500647 OG6_111451 OG6_101118
277,OG6_110914 OG6_500400 OG6_115955 OG6_102116 OG6_500716 OG6_500655 OG6_101240 OG6_112859 OG6_104065 OG6_102025 OG6_500945 OG6_101759 OG6_104516 OG6_101155 OG6_106076 OG6_111592 OG6_101408 OG6_115945 OG6_119305 OG6_115955 OG6_102117 OG6_119810 OG6_109870 OG6_101451 OG6_100373 OG6_100333 OG6_104079 OG6_101089 OG6_143686 OG6_100367 OG6_100208 OG6_500469 OG6_100322 OG6_112794
278,OG6_102522 OG6_102112
279,OG6_100082 OG6_100120 OG6_100077 OG6_100119
280,OG6_100082 OG6_100120 OG6_100077 OG6_100119
281,OG6_100082 OG6_100120 OG6_100077 OG6_100119
282,OG6_100082 OG6_100120 OG6_100119 OG6_101774
283,OG6_100082 OG6_100120 OG6_100119 OG6_101774
284,OG6_103026 OG6_101144
285,OG6_500434 OG6_500595
286,OG6_103624 OG6_103124
287,OG6_112509 OG6_114264 OG6_100484
288,OG6_113025 OG6_103923 OG6_101564
289,OG6_500472 OG6_500435
290,OG6_102609 OG6_500211
291,OG6_104162 OG6_100934 OG6_222560 OG6_102466 OG6_101330
292,OG6_102783 OG6_500308 OG6_139042 OG6_500518 OG6_103333 OG6_500886 OG6_116656 OG6_102040 OG6_113586 OG6_500874 OG6_102040 OG6_101883 OG6_113479 OG6_103190 OG6_108801 OG6_143877 OG6_103030 OG6_111140 OG6_499940 OG6_137446 OG6_103478 OG6_103638 OG6_121211 OG6_103190 OG6_101756 OG6_101756 OG6_101264 OG6_209971 OG6_101941 OG6_209971 OG6_103111 OG6_499928
293,OG6_129583 OG6_132885 OG6_119656 OG6_106964 OG6_133176
294,OG6_103033 OG6_110729
295,OG6_103180 OG6_102615 OG6_102942
296,OG6_103236 OG6_102450 OG6_100985 OG6_102807
297,OG6_102537 OG6_101460 OG6_102656 OG6_103391 OG6_102133 OG6_102524
298,OG6_102537 OG6_101460 OG6_173107 OG6_102656 OG6_102677 OG6_102133
299,OG6_115930 OG6_100934 OG6_500644
300,OG6_102623 OG6_500118
301,OG6_103037 OG6_500836 OG6_113593 OG6_100285 OG6_103841 OG6_102845
302,OG6_100777 OG6_102381
303,OG6_102534 OG6_100880
304,OG6_103715 OG6_100919
305,OG6_107535 OG6_103706
306,OG6_101706 OG6_102620
307,OG6_103705 OG6_102620
308,OG6_102449 OG6_103227 OG6_102100
309,OG6_103032 OG6_102492
310,OG6_103031 OG6_100521 OG6_102688 OG6_103289 OG6_103527 OG6_143354 OG6_500188 OG6_499953
311,OG6_103031 OG6_100521 OG6_102688 OG6_103289 OG6_101708 OG6_103527 OG6_500188 OG6_499953
312,OG6_102113 OG6_101279
313,OG6_102798 OG6_102987 OG6_102982 OG6_103148
314,OG6_103773 OG6_100597 OG6_102824 OG6_123100 OG6_102926 OG6_102499 OG6_105779 OG6_103103 OG6_104008 OG6_103171 OG6_103964 OG6_102177 OG6_101921 OG6_103784 OG6_133395
315,OG6_102531 OG6_102820
316,OG6_103073 OG6_103529
317,OG6_101247 OG6_110251
318,OG6_100285 OG6_101247 OG6_110251
319,OG6_101374 OG6_101702 OG6_102282 OG6_102496 OG6_102593 OG6_102421
320,OG6_102364 OG6_102246 OG6_102158
321,OG6_102431 OG6_103002 OG6_102703
322,OG6_102364 OG6_102669 OG6_100085 OG6_102341 OG6_102543 OG6_102870 OG6_102145 OG6_102246 OG6_100305 OG6_101765 OG6_134872 OG6_102614 OG6_499972 OG6_101868 OG6_102431 OG6_100753 OG6_102256 OG6_102085 OG6_103002 OG6_101702 OG6_500632 OG6_103856 OG6_101743 OG6_102529 OG6_103842 OG6_102196 OG6_102452 OG6_163400 OG6_102282 OG6_102804 OG6_101940 OG6_102153 OG6_102607 OG6_102825 OG6_102092 OG6_102496 OG6_500092 OG6_102323 OG6_102158 OG6_102567 OG6_106961 OG6_101977 OG6_101928
323,OG6_101348 OG6_102500 OG6_100064 OG6_101404 OG6_101729 OG6_101375 OG6_101600
324,OG6_118299 OG6_101945 OG6_101343 OG6_101403 OG6_102065
325,OG6_100384 OG6_100384
326,OG6_499879 OG6_101196 OG6_222606
327,OG6_103019 OG6_103511 OG6_198028 OG6_105212 OG6_500394 OG6_102745
328,OG6_103433 OG6_102337
329,OG6_104238 OG6_103945
330,OG6_103547 OG6_101742 OG6_103656 OG6_102792 OG6_100822 OG6_101881 OG6_103797 OG6_102284 OG6_143879 OG6_103072 OG6_104325
331,OG6_103547 OG6_102792 OG6_103797
332,OG6_101219 OG6_102281
333,OG6_103329 OG6_103431
334,OG6_101645 OG6_108387
335,OG6_102180 OG6_101773 OG6_101049 OG6_101231 OG6_102056 OG6_102249 OG6_101548 OG6_102491 OG6_103317 OG6_500734 OG6_103646 OG6_500269 OG6_499896 OG6_103939
336,OG6_500737 OG6_103257
337,OG6_101943 OG6_101011
338,OG6_101011 OG6_500622
339,OG6_101011 OG6_105268
340,OG6_103854 OG6_500407 OG6_100917
341,OG6_105221 OG6_103117
342,OG6_102034 OG6_103090 OG6_102595 OG6_102523 OG6_102908 OG6_101532
343,OG6_113480 OG6_132885
344,OG6_102693 OG6_104368
345,OG6_500065 OG6_102023
346,OG6_104031 OG6_104146 OG6_108525 OG6_108099 OG6_500540
347,OG6_101938 OG6_143697 OG6_500925 OG6_500501 OG6_500794
348,OG6_102384 OG6_101850 OG6_102610 OG6_499959
349,OG6_105655 OG6_101192 OG6_100340 OG6_101092
350,OG6_101192 OG6_100340 OG6_101092 OG6_105655
351,OG6_105655 OG6_100340 OG6_101092
352,OG6_129966 OG6_100396 OG6_500178 OG6_500586
353,OG6_101102 OG6_102175 OG6_500103
354,OG6_111464 OG6_101569
355,OG6_112320 OG6_100850
356,OG6_104394 OG6_500439
357,OG6_132492 OG6_121412
358,OG6_100334 OG6_101636
359,OG6_100334 OG6_101636
360,OG6_100334 OG6_101636
361,OG6_100334 OG6_222581
362,OG6_100334 OG6_222581
363,OG6_100334 OG6_137777
364,OG6_100334 OG6_112495
365,OG6_100334 OG6_112495
366,OG6_100334 OG6_137450
367,OG6_100334 OG6_112495
368,OG6_101558 OG6_103696 OG6_101611 OG6_102210
369,OG6_100334 OG6_222615 OG6_100899
370,OG6_100334 OG6_500965 OG6_100899
371,OG6_100334 OG6_100199
372,OG6_100334 OG6_100199
373,OG6_101926 OG6_101763
374,OG6_103909 OG6_102961
375,OG6_116980 OG6_100222
376,OG6_118086 OG6_118086 OG6_500227
377,OG6_102008 OG6_101472
378,OG6_101959 OG6_102832 OG6_104388
379,OG6_109058 OG6_500828 OG6_105241
380,OG6_101562 OG6_500866 OG6_101677
381,OG6_105039 OG6_499990 OG6_103008
382,OG6_100833 OG6_104031 OG6_104146 OG6_108525 OG6_108099 OG6_500676 OG6_500540 OG6_100252
383,OG6_100794 OG6_101923 OG6_102432 OG6_500693
384,OG6_100794 OG6_101923 OG6_102432 OG6_500693
385,OG6_100794 OG6_103652 OG6_102432 OG6_221330 OG6_116833 OG6_114145
386,OG6_103074 OG6_101848 OG6_102035 OG6_102785
387,OG6_222599 OG6_222599 OG6_110308 OG6_110308 OG6_112515
388,OG6_100555 OG6_500209 OG6_500760
389,OG6_102770 OG6_104028 OG6_119538 OG6_102345
390,OG6_102770 OG6_104028 OG6_119538 OG6_102345
391,OG6_104057 OG6_104699 OG6_103917 OG6_102191 OG6_102858
392,OG6_100236 OG6_100236
393,OG6_103866 OG6_102480 OG6_100321 OG6_142748 OG6_100321 OG6_101335 OG6_102931
394,OG6_102426 OG6_102536
395,OG6_102068 OG6_102698
396,OG6_102068 OG6_102758
397,OG6_102386 OG6_103518
398,OG6_101233 OG6_100669
399,OG6_108518 OG6_500344
400,OG6_500344 OG6_108518
401,OG6_100423
402,OG6_100779 OG6_103273
403,OG6_102149 OG6_115931
404,OG6_500464 OG6_103286 OG6_102372
405,OG6_500191 OG6_499964 OG6_500224
406,OG6_115039 OG6_105071
407,OG6_500880 OG6_500554 OG6_500597 OG6_102850 OG6_103233 OG6_101150 OG6_101458
408,OG6_100609 OG6_103471 OG6_500894
409,OG6_101898 OG6_500019 OG6_103713 OG6_104533
410,OG6_105078 OG6_101619 OG6_101479 OG6_101604
411,OG6_105078 OG6_101619 OG6_101479 OG6_101604
412,OG6_111464 OG6_101569
413,OG6_103098 OG6_101684 OG6_101479 OG6_102289
414,OG6_103098 OG6_101479 OG6_102289 OG6_103752
415,OG6_103098 OG6_102289 OG6_101684 OG6_101479
416,OG6_102289 OG6_101684 OG6_101619 OG6_101479
417,OG6_105078 OG6_102289 OG6_101619 OG6_101479
418,OG6_105078 OG6_103098 OG6_102289 OG6_101479
419,OG6_500421 OG6_500339
420,OG6_500421 OG6_133389 OG6_500339
421,OG6_103098 OG6_102289 OG6_105078 OG6_101479
422,OG6_102289 OG6_105078 OG6_101619 OG6_101479
423,OG6_105078 OG6_100497 OG6_112276
424,OG6_100497 OG6_105078 OG6_112276
425,OG6_105078 OG6_100497 OG6_112276
426,OG6_105078 OG6_100497 OG6_112276
427,OG6_100497 OG6_105078 OG6_112276
428,OG6_105078 OG6_100497 OG6_112276
429,OG6_100497 OG6_112276 OG6_103752
430,OG6_101639 OG6_101346 OG6_101511 OG6_101771 OG6_102042 OG6_101138 OG6_500871 OG6_102178 OG6_101346
431,OG6_104816 OG6_103885 OG6_499966 OG6_500307 OG6_500154
432,OG6_103936 OG6_500475 OG6_500547
433,OG6_103195 OG6_102480 OG6_100321 OG6_100321 OG6_101335
434,OG6_102176 OG6_100624
435,OG6_500151 OG6_105162 OG6_500205
436,OG6_103737 OG6_123100 OG6_102943 OG6_500968 OG6_102102
437,OG6_103854 OG6_222612 OG6_500781
438,OG6_101682 OG6_101172
439,OG6_101682 OG6_101172
440,OG6_177806 OG6_105060 OG6_101792 OG6_101635
441,OG6_102649 OG6_101935 OG6_104555 OG6_102279 OG6_105143
442,OG6_100423 OG6_102649 OG6_110913 OG6_100642 OG6_101935 OG6_102816 OG6_102237 OG6_102279 OG6_101286
443,OG6_102402 OG6_101084 OG6_500364 OG6_101766
444,OG6_101924 OG6_101999 OG6_102668 OG6_101932 OG6_102687
445,OG6_103858 OG6_102602 OG6_113531 OG6_137696
446,OG6_100672 OG6_101625 OG6_103007
447,OG6_101625 OG6_500287 OG6_103007
448,OG6_100807 OG6_103297 OG6_103476 OG6_102447
449,OG6_500861 OG6_118120 OG6_500786
450,OG6_102066 OG6_136807 OG6_102390 OG6_102466
451,OG6_499898 OG6_500915
452,OG6_103055 OG6_500660 OG6_500111 OG6_500817 OG6_142601 OG6_102906 OG6_189230 OG6_102876
453,OG6_101963 OG6_500615 OG6_101106
454,OG6_103577 OG6_103775
455,OG6_103577 OG6_500333 OG6_103775
456,OG6_102508 OG6_103198
