Gene Names	Accession
CXQ85_000084	OG6r20_101500
CXQ85_000085	OG6_112026
CXQ85_000086	OG6_100380
CXQ85_000087	OG6_100380
CXQ85_000088	OG6_100293
CXQ85_000089	OG6_100534
CXQ85_000090	OG6_124252
CXQ85_000091	OG6_102084
CXQ85_000092	OG6_112506
CXQ85_000093	OG6_113582
CXQ85_000094	OG6_100570
CXQ85_000095	OG6_112501
CXQ85_000096	OG6_101761
CXQ85_000097	OG6_102948
CXQ85_000098	OG6_115057
CXQ85_000099	OG6_100925
CXQ85_000100	OG6r20_101802
CXQ85_000101	OG6_102165
CXQ85_000102	OG6_104409
CXQ85_000103	OG6_100803
CXQ85_000104	OG6_100904
CXQ85_000105	OG6_100025
CXQ85_000106	OG6_100689
CXQ85_000107	OG6_104299
CXQ85_000108	OG6_101943
CXQ85_000109	OG6_173339
CXQ85_000110	OG6_102486
CXQ85_000111	OG6_100743
CXQ85_000112	OG6_107015
CXQ85_000113	OG6_100623
CXQ85_000114	OG6_107934
CXQ85_000115	OG6_100083
CXQ85_000116	OG6_101547
CXQ85_000117	OG6r20_103967
CXQ85_000118	OG6_102623
CXQ85_000119	OG6_108820
CXQ85_000120	OG6_100367
CXQ85_000121	OG6_101170
CXQ85_000122	OG6_100340
CXQ85_000123	OG6r20_103084
CXQ85_000124	OG6_104982
CXQ85_000125	OG6_103566
CXQ85_000126	OG6_101514
CXQ85_000127	OG6_100250
CXQ85_000128	OG6_222600
CXQ85_000129	OG6r20_110735
CXQ85_000130	OG6r20_101107
CXQ85_000131	OG6_105619
CXQ85_000132	OG6_102221
CXQ85_000133	OG6_101830
CXQ85_000134	OG6_100614
CXQ85_000135	OG6_102134
CXQ85_000136	OG6r20_101519
CXQ85_000139	OG6_101920
CXQ85_000140	OG6_100474
CXQ85_000141	OG6_104453
CXQ85_000142	OG6r20_102487
CXQ85_000143	OG6_106319
CXQ85_000144	OG6_110137
CXQ85_000145	OG6_129583
CXQ85_000146	OG6_101492
CXQ85_000147	OG6_114274
CXQ85_000148	OG6_101624
CXQ85_000149	OG6_102568
CXQ85_000150	OG6_103364
CXQ85_000151	OG6_133175
CXQ85_000152	OG6_102857
CXQ85_000153	OG6_100728
CXQ85_000154	OG6_100814
CXQ85_000155	OG6_102678
CXQ85_000156	OG6_143663
CXQ85_000157	OG6_113608
CXQ85_000158	OG6_103808
CXQ85_000159	OG6_105676
CXQ85_000160	OG6_100521
CXQ85_000161	OG6_127173
CXQ85_000162	OG6_103173
CXQ85_000163	OG6_102723
CXQ85_000164	OG6r20_101643
CXQ85_000165	OG6_104789
CXQ85_000166	OG6_116989
CXQ85_000167	OG6_114551
CXQ85_000168	OG6_129937
CXQ85_000169	OG6r20_106955
CXQ85_000170	OG6r20_140413
CXQ85_000171	OG6_100282
CXQ85_000172	OG6_104156
CXQ85_000173	OG6_100151
CXQ85_000174	OG6_101977
CXQ85_000176	OG6_114877
CXQ85_000177	OG6_105315
CXQ85_000178	OG6_107140
CXQ85_000179	OG6_101677
CXQ85_000180	OG6_102726
CXQ85_000181	OG6_102032
CXQ85_000182	OG6_100353
CXQ85_000183	OG6_100143
CXQ85_000184	OG6_500111
CXQ85_000185	OG6_106042
CXQ85_000186	OG6_106080
CXQ85_000187	OG6_500295
CXQ85_000188	OG6_102900
CXQ85_000189	OG6_102307
CXQ85_000190	OG6_122937
CXQ85_000191	OG6_113935
CXQ85_000192	OG6_101127
CXQ85_000193	OG6_101105
CXQ85_000194	OG6_103717
CXQ85_000195	OG6_100085
CXQ85_000196	OG6_101512
CXQ85_000198	OG6_115046
CXQ85_000199	OG6_102249
CXQ85_000200	OG6_101563
CXQ85_000201	OG6_102013
CXQ85_000202	OG6r20_109170
CXQ85_000203	OG6r20_139769
CXQ85_000204	OG6_100282
CXQ85_000205	OG6_103719
CXQ85_000206	OG6_100417
CXQ85_000207	OG6r20_103498
CXQ85_000208	OG6_101393
CXQ85_000209	OG6_101395
CXQ85_000210	OG6_102093
CXQ85_000211	OG6_100992
CXQ85_000212	OG6_500936
CXQ85_000213	OG6_101864
CXQ85_000214	OG6_101037
CXQ85_000215	OG6r20_115389
CXQ85_000216	OG6r20_110710
CXQ85_000218	OG6_114251
CXQ85_000219	OG6_102924
CXQ85_000220	OG6_104171
CXQ85_000221	OG6_101181
CXQ85_000224	OG6r20_109171
CXQ85_000225	OG6_102888
CXQ85_000226	OG6_100571
CXQ85_000227	OG6_122832
CXQ85_000228	OG6_103495
CXQ85_000229	OG6_115065
CXQ85_000230	OG6_500262
CXQ85_000231	OG6_103350
CXQ85_000232	OG6_100745
CXQ85_000233	OG6_102662
CXQ85_000234	OG6_499906
CXQ85_000235	OG6_102578
CXQ85_000236	OG6_102432
CXQ85_000237	OG6_100302
CXQ85_000238	OG6_102319
CXQ85_000239	OG6_100377
CXQ85_000240	OG6_103301
CXQ85_000241	OG6r20_127072
CXQ85_000242	OG6_105212
CXQ85_000243	OG6_100543
CXQ85_000244	OG6_102210
CXQ85_000245	OG6_104348
CXQ85_000246	OG6_103088
CXQ85_000247	OG6_118122
CXQ85_000248	OG6_118284
CXQ85_000249	OG6_101068
CXQ85_000250	OG6r20_140412
CXQ85_000251	OG6_126505
CXQ85_000252	OG6_102047
CXQ85_000253	OG6_121415
CXQ85_000254	OG6_108388
CXQ85_000255	OG6_100832
CXQ85_000256	OG6_100940
CXQ85_000257	OG6_129700
CXQ85_000258	OG6_102475
CXQ85_000259	OG6_127591
CXQ85_000260	OG6_109522
CXQ85_000261	OG6_101778
CXQ85_000262	OG6_103798
CXQ85_000263	OG6_103671
CXQ85_000264	OG6_112495
CXQ85_000265	OG6_101890
CXQ85_000266	OG6r20_127071
CXQ85_000267	OG6_121206
CXQ85_000268	OG6_107571
CXQ85_000269	OG6_104239
CXQ85_000270	OG6_104797
CXQ85_000271	OG6_222562
CXQ85_000272	OG6_117015
CXQ85_000273	OG6_102376
CXQ85_000274	OG6_103826
CXQ85_000275	OG6_100260
CXQ85_000276	OG6_102143
CXQ85_000277	OG6_100423
CXQ85_000278	OG6_127245
CXQ85_000280	OG6r20_101992
CXQ85_000281	OG6_101436
CXQ85_000282	OG6_103356
CXQ85_000283	OG6_102040
CXQ85_000284	OG6_222558
CXQ85_000285	OG6_101114
CXQ85_000286	OG6_102877
CXQ85_000287	OG6_113599
CXQ85_000288	OG6_101213
CXQ85_000289	OG6r20_309491
CXQ85_000290	OG6_100707
CXQ85_000291	OG6r20_112592
CXQ85_000293	OG6_103627
CXQ85_000294	OG6_103535
CXQ85_000295	OG6r20_115449
CXQ85_000296	OG6_102845
CXQ85_000297	OG6_222574
CXQ85_000298	OG6_102009
CXQ85_000299	OG6_101750
CXQ85_000300	OG6_100256
CXQ85_000301	OG6_500256
CXQ85_000302	OG6_102474
CXQ85_000303	OG6r20_101629
CXQ85_000304	OG6_104182
CXQ85_000305	OG6r20_112607
CXQ85_000306	OG6r20_103494
CXQ85_000307	OG6_114877
CXQ85_000308	OG6r20_110727
CXQ85_000309	OG6_101248
CXQ85_000310	OG6_100720
CXQ85_000311	OG6r20_101651
CXQ85_000312	OG6_104574
CXQ85_000313	OG6_100275
CXQ85_000314	OG6_106531
CXQ85_000315	OG6_101010
CXQ85_000316	OG6_101525
CXQ85_000317	OG6_107913
CXQ85_000318	OG6_136431
CXQ85_000319	OG6_102126
CXQ85_000320	OG6_105123
CXQ85_000322	OG6_103187
CXQ85_000323	OG6_108401
CXQ85_000324	OG6_102458
CXQ85_000325	OG6_500547
CXQ85_000326	OG6_115929
CXQ85_000327	OG6_100646
CXQ85_000328	OG6_101298
CXQ85_000329	OG6_101176
CXQ85_000330	OG6r20_102014
CXQ85_000331	OG6_103436
CXQ85_000332	OG6_100336
CXQ85_000333	OG6_101883
CXQ85_000334	OG6r20_109173
CXQ85_000335	OG6_124935
CXQ85_000336	OG6r20_112610
CXQ85_000337	OG6_103036
CXQ85_000338	OG6_500385
CXQ85_000339	OG6_114704
CXQ85_000340	OG6_103414
CXQ85_000341	OG6_102191
CXQ85_000342	OG6_102982
CXQ85_000343	OG6_102160
CXQ85_000344	OG6_104712
CXQ85_000345	OG6_111074
CXQ85_000346	OG6_100703
CXQ85_000347	OG6_108070
CXQ85_000348	OG6_500752
CXQ85_000351	OG6_101172
CXQ85_000352	OG6_107446
CXQ85_000353	OG6_500126
CXQ85_000354	OG6_103138
CXQ85_000355	OG6_102508
CXQ85_000356	OG6r20_106997
CXQ85_000357	OG6_100991
CXQ85_000358	OG6_100282
CXQ85_000359	OG6r20_101368
CXQ85_000360	OG6_123097
CXQ85_000361	OG6_103728
CXQ85_000362	OG6_101791
CXQ85_000363	OG6_102660
CXQ85_000364	OG6_100272
CXQ85_000365	OG6_129693
CXQ85_000366	OG6_102540
CXQ85_000367	OG6_152871
CXQ85_000368	OG6_104380
CXQ85_000369	OG6_100995
CXQ85_000370	OG6_103602
CXQ85_000371	OG6r20_110712
CXQ85_000372	OG6_103098
CXQ85_000373	OG6_103010
CXQ85_000374	OG6_499937
CXQ85_000375	OG6r20_109172
CXQ85_000376	OG6_101161
CXQ85_000377	OG6_102083
CXQ85_000378	OG6_113025
CXQ85_000379	OG6_118280
CXQ85_000380	OG6_101450
CXQ85_000381	OG6_102135
CXQ85_000382	OG6_100893
CXQ85_000383	OG6_101004
CXQ85_000384	OG6_127189
CXQ85_000385	OG6_116987
CXQ85_000386	OG6_100060
CXQ85_000387	OG6_100748
CXQ85_000388	OG6_101371
CXQ85_000389	OG6_101299
CXQ85_000390	OG6_101660
CXQ85_000391	OG6_100011
CXQ85_000392	OG6_101471
CXQ85_000393	OG6_155145
CXQ85_000394	OG6_105688
CXQ85_000395	OG6_104974
CXQ85_000396	OG6_103849
CXQ85_000397	OG6_102748
CXQ85_000398	OG6_114113
CXQ85_000399	OG6r20_106950
CXQ85_000400	OG6_103510
CXQ85_000401	OG6_112318
CXQ85_000402	OG6_102388
CXQ85_000403	OG6_103478
CXQ85_000404	OG6_101896
CXQ85_000405	OG6_100787
CXQ85_000406	OG6_116900
CXQ85_000407	OG6_101033
CXQ85_000408	OG6_100753
CXQ85_000409	OG6_101704
CXQ85_000410	OG6_222544
CXQ85_000411	OG6_101566
CXQ85_000412	OG6_101410
CXQ85_000413	OG6_100096
CXQ85_000414	OG6_106767
CXQ85_000415	OG6_100629
CXQ85_000416	OG6_102588
CXQ85_000418	OG6_100344
CXQ85_000419	OG6_106468
CXQ85_000420	OG6_111249
CXQ85_000421	OG6_123058
CXQ85_000422	OG6_102883
CXQ85_000423	OG6_129058
CXQ85_000424	OG6_209971
CXQ85_000425	OG6_114974
CXQ85_000426	OG6r20_110711
CXQ85_000427	OG6_104767
CXQ85_000428	OG6_101706
CXQ85_000431	OG6_102329
CXQ85_000432	OG6_103910
CXQ85_000433	OG6_103711
CXQ85_000434	OG6_112063
CXQ85_000435	OG6_121421
CXQ85_000436	OG6_137799
CXQ85_000437	OG6_101663
CXQ85_000438	OG6r20_106115
CXQ85_000439	OG6_102943
CXQ85_000440	OG6_117002
CXQ85_000441	OG6_126629
CXQ85_000442	OG6_100157
CXQ85_000443	OG6_104395
CXQ85_000444	OG6_102972
CXQ85_000445	OG6_396614
CXQ85_000446	OG6_102698
CXQ85_000447	OG6_100153
CXQ85_000448	OG6_116858
CXQ85_000449	OG6_101441
CXQ85_000450	OG6_119798
CXQ85_000451	OG6_101102
CXQ85_000452	OG6_103010
CXQ85_000453	OG6_102320
CXQ85_000454	OG6_102910
CXQ85_000455	OG6r20_112426
CXQ85_000456	OG6_101299
CXQ85_000457	OG6_110251
CXQ85_000458	OG6_102989
CXQ85_000459	OG6_116884
CXQ85_000460	OG6_100973
CXQ85_000461	OG6_181780
CXQ85_000462	OG6_100789
CXQ85_000463	OG6_104944
CXQ85_000464	OG6_105385
CXQ85_000465	OG6_112869
CXQ85_000466	OG6_101369
CXQ85_000467	OG6r20_102246
CXQ85_000468	OG6_100574
CXQ85_000469	OG6_102068
CXQ85_000470	OG6_113584
CXQ85_000471	OG6_103040
CXQ85_000472	OG6_100476
CXQ85_000473	OG6_100190
CXQ85_000475	OG6_100448
CXQ85_000476	OG6_101881
CXQ85_000477	OG6_100774
CXQ85_000478	OG6_101006
CXQ85_000479	OG6_102828
CXQ85_000480	OG6_121410
CXQ85_000481	OG6r20_140424
CXQ85_000482	OG6_101494
CXQ85_000483	OG6_102265
CXQ85_000484	OG6_143619
CXQ85_000485	OG6_101327
CXQ85_000486	OG6_100216
CXQ85_000487	OG6_100318
CXQ85_000488	OG6_100801
CXQ85_000489	OG6_103080
CXQ85_000490	OG6_102531
CXQ85_000491	OG6_100409
CXQ85_000492	OG6r20_169538
CXQ85_000493	OG6_101621
CXQ85_000494	OG6_101900
CXQ85_000495	OG6_102679
CXQ85_000496	OG6_101748
CXQ85_000497	OG6_101489
CXQ85_000498	OG6_101429
CXQ85_000499	OG6_188633
CXQ85_000500	OG6_103574
CXQ85_000501	OG6_101562
CXQ85_000502	OG6_101484
CXQ85_000503	OG6_132750
CXQ85_000504	OG6_104650
CXQ85_000505	OG6_102525
CXQ85_000506	OG6_102431
CXQ85_000507	OG6_108921
CXQ85_000508	OG6_100077
CXQ85_000509	OG6_100082
CXQ85_000510	OG6_111877
CXQ85_000511	OG6r20_105301
CXQ85_000512	OG6_133379
CXQ85_000513	OG6_100234
CXQ85_000514	OG6r20_112593
CXQ85_000515	OG6_101259
CXQ85_000516	OG6_102512
CXQ85_000517	OG6_186970
CXQ85_000518	OG6_100925
CXQ85_000519	OG6_115935
CXQ85_000520	OG6_103921
CXQ85_000521	OG6r20_309463
CXQ85_000522	OG6_111849
CXQ85_000523	OG6_100460
CXQ85_000524	OG6r20_309471
CXQ85_000525	OG6_103711
CXQ85_000526	OG6_101108
CXQ85_000527	OG6_102184
CXQ85_000528	OG6_100672
CXQ85_000529	OG6_100722
CXQ85_000530	OG6_216801
CXQ85_000531	OG6_136883
CXQ85_000532	OG6_100558
CXQ85_000533	OG6_102152
CXQ85_000534	OG6_100150
CXQ85_000535	OG6_104355
CXQ85_000536	OG6_500731
CXQ85_000537	OG6_101728
CXQ85_000538	OG6_107653
CXQ85_000539	OG6_100250
CXQ85_000540	OG6_100640
CXQ85_000541	OG6_115656
CXQ85_000542	OG6r20_309467
CXQ85_000543	OG6r20_140775
CXQ85_000544	OG6r20_309479
CXQ85_000546	OG6r20_309499
CXQ85_000547	OG6r20_169539
CXQ85_000548	OG6_101882
CXQ85_000549	OG6r20_112594
CXQ85_000550	OG6_100397
CXQ85_000551	OG6_108976
CXQ85_000552	OG6_101911
CXQ85_000553	OG6_101513
CXQ85_000554	OG6_120114
CXQ85_000555	OG6_111107
CXQ85_000556	OG6r20_109198
CXQ85_000557	OG6_102902
CXQ85_000558	OG6_123067
CXQ85_000559	OG6_105445
CXQ85_000560	OG6r20_101649
CXQ85_000561	OG6r20_120177
CXQ85_000562	OG6_108634
CXQ85_000563	OG6_105801
CXQ85_000564	OG6_115878
CXQ85_000565	OG6_155990
CXQ85_000566	OG6_101725
CXQ85_000567	OG6_118288
CXQ85_000568	OG6_103162
CXQ85_000569	OG6_105238
CXQ85_000570	OG6_140267
CXQ85_000571	OG6_102325
CXQ85_000572	OG6_101309
CXQ85_000573	OG6_101700
CXQ85_000574	OG6_110133
CXQ85_000575	OG6r20_309511
CXQ85_000576	OG6r20_140776
CXQ85_000577	OG6_101916
CXQ85_000578	OG6_130445
CXQ85_000579	OG6r20_101656
CXQ85_000580	OG6_104404
CXQ85_000581	OG6_104265
CXQ85_000582	OG6_111832
CXQ85_000583	OG6_106370
CXQ85_000584	OG6_103848
CXQ85_000585	OG6_100301
CXQ85_000586	OG6r20_309497
CXQ85_000587	OG6_104954
CXQ85_000588	OG6_102569
CXQ85_000589	OG6_100262
CXQ85_000590	OG6_100418
CXQ85_000591	OG6_110919
CXQ85_000592	OG6_101088
CXQ85_000593	OG6_101208
CXQ85_000594	OG6_102540
CXQ85_000595	OG6_103680
CXQ85_000596	OG6_160270
CXQ85_000597	OG6_102091
CXQ85_000598	OG6r20_309460
CXQ85_000599	OG6r20_105302
CXQ85_000600	OG6_102570
CXQ85_000601	OG6_103706
CXQ85_000602	OG6_100324
CXQ85_000603	OG6_111397
CXQ85_000604	OG6_500836
CXQ85_000605	OG6_102020
CXQ85_000606	OG6_101962
CXQ85_000607	OG6_500066
CXQ85_000608	OG6_100882
CXQ85_000609	OG6r20_104601
CXQ85_000610	OG6_101263
CXQ85_000611	OG6_122891
CXQ85_000612	OG6_102014
CXQ85_000613	OG6_103082
CXQ85_000614	OG6_100252
CXQ85_000615	OG6_102792
CXQ85_000616	OG6_101493
CXQ85_000617	OG6_500211
CXQ85_000619	OG6_137859
CXQ85_000620	OG6_102483
CXQ85_000621	OG6_102902
CXQ85_000622	OG6_117010
CXQ85_000623	OG6_100654
CXQ85_000624	OG6_104927
CXQ85_000625	OG6_100228
CXQ85_000626	OG6r20_103953
CXQ85_000627	OG6r20_107970
CXQ85_000628	OG6_100650
CXQ85_000629	OG6_454102
CXQ85_000630	OG6_142779
CXQ85_000631	OG6r20_103086
CXQ85_000632	OG6_500644
CXQ85_000633	OG6_100422
CXQ85_000634	OG6_101522
CXQ85_000635	OG6_153190
CXQ85_000636	OG6_101230
CXQ85_000637	OG6_101035
CXQ85_000638	OG6_104805
CXQ85_000640	OG6r20_100630
CXQ85_000641	OG6_100175
CXQ85_000642	OG6_100445
CXQ85_000643	OG6_102116
CXQ85_000644	OG6_100556
CXQ85_000645	OG6_102804
CXQ85_000646	OG6_101228
CXQ85_000647	OG6_100903
CXQ85_000648	OG6_114713
CXQ85_000649	OG6_101992
CXQ85_000651	OG6_114704
CXQ85_000652	OG6_102225
CXQ85_000653	OG6_103579
CXQ85_000655	OG6r20_112595
CXQ85_000656	OG6r20_107992
CXQ85_000657	OG6_222584
CXQ85_000658	OG6_106277
CXQ85_000659	OG6r20_101798
CXQ85_000660	OG6_102279
CXQ85_000661	OG6r20_140423
CXQ85_000662	OG6_153158
CXQ85_000663	OG6_111633
CXQ85_000664	OG6_132866
CXQ85_000665	OG6_102397
CXQ85_000666	OG6_102069
CXQ85_000667	OG6_102034
CXQ85_000668	OG6_103031
CXQ85_000669	OG6_102802
CXQ85_000670	OG6_102356
CXQ85_000671	OG6_104458
CXQ85_000672	OG6_133359
CXQ85_000674	OG6_104603
CXQ85_000675	OG6_102031
CXQ85_000676	OG6r20_110713
CXQ85_000677	OG6r20_107993
CXQ85_000678	OG6_104065
CXQ85_000679	OG6_110014
CXQ85_000680	OG6r20_140411
CXQ85_000681	OG6_102231
CXQ85_000682	OG6_130545
CXQ85_000683	OG6r20_115446
CXQ85_000684	OG6r20_115446
CXQ85_000686	OG6_222582
CXQ85_000687	OG6_102039
CXQ85_000689	OG6_100907
CXQ85_000690	OG6_103823
CXQ85_000691	OG6_111049
CXQ85_000692	OG6_111049
CXQ85_000693	OG6_100806
CXQ85_000694	OG6_123088
CXQ85_000695	OG6r20_101645
CXQ85_000696	OG6_102114
CXQ85_000697	OG6_100491
CXQ85_000698	OG6_118216
CXQ85_000699	OG6_100581
CXQ85_000700	OG6_104832
CXQ85_000701	OG6_102304
CXQ85_000702	OG6_113385
CXQ85_000703	OG6_114704
CXQ85_000704	OG6_100843
CXQ85_000705	OG6_103494
CXQ85_000706	OG6_102666
CXQ85_000707	OG6_121272
CXQ85_000708	OG6_104760
CXQ85_000709	OG6_103650
CXQ85_000711	OG6_103368
CXQ85_000712	OG6_500043
CXQ85_000713	OG6_102588
CXQ85_000714	OG6_143671
CXQ85_000715	OG6_101939
CXQ85_000716	OG6_500271
CXQ85_000717	OG6_100847
CXQ85_000718	OG6_105956
CXQ85_000719	OG6_107381
CXQ85_000720	OG6_500607
CXQ85_000721	OG6_103517
CXQ85_000722	OG6_101262
CXQ85_000723	OG6_100652
CXQ85_000724	OG6_104062
CXQ85_000725	OG6_130006
CXQ85_000726	OG6_103579
CXQ85_000727	OG6_105343
CXQ85_000728	OG6_112859
CXQ85_000729	OG6_101620
CXQ85_000730	OG6_102534
CXQ85_000731	OG6_100487
CXQ85_000732	OG6_104278
CXQ85_000733	OG6_101374
CXQ85_000734	OG6_100614
CXQ85_000735	OG6_102172
CXQ85_000736	OG6_100282
CXQ85_000737	OG6_102661
CXQ85_000738	OG6_100380
CXQ85_000739	OG6_102730
CXQ85_000741	OG6_137497
CXQ85_000742	OG6_102185
CXQ85_000743	OG6_111526
CXQ85_000744	OG6_133379
CXQ85_000745	OG6_222603
CXQ85_000746	OG6_100702
CXQ85_000747	OG6_115052
CXQ85_000748	OG6_179534
CXQ85_000749	OG6_105219
CXQ85_000750	OG6_100628
CXQ85_000751	OG6_127246
CXQ85_000752	OG6r20_101515
CXQ85_000753	OG6_123104
CXQ85_000754	OG6_104329
CXQ85_000755	OG6_107303
CXQ85_000756	OG6r20_103085
CXQ85_000757	OG6_102268
CXQ85_000758	OG6_102384
CXQ85_000759	OG6_103072
CXQ85_000760	OG6_164863
CXQ85_000761	OG6_138956
CXQ85_000762	OG6_102387
CXQ85_000763	OG6_104892
CXQ85_000764	OG6_104355
CXQ85_000765	OG6_102498
CXQ85_000766	OG6_143735
CXQ85_000767	OG6_101815
CXQ85_000768	OG6r20_126673
CXQ85_000769	OG6_106813
CXQ85_000770	OG6_101580
CXQ85_000771	OG6_103202
CXQ85_000772	OG6_102875
CXQ85_000773	OG6_101854
CXQ85_000774	OG6_102717
CXQ85_000775	OG6_101726
CXQ85_000776	OG6_100228
CXQ85_000777	OG6_105405
CXQ85_000778	OG6_153040
CXQ85_000779	OG6_114265
CXQ85_000780	OG6_101335
CXQ85_000781	OG6r20_102015
CXQ85_000782	OG6r20_109199
CXQ85_000783	OG6_114704
CXQ85_000784	OG6_120864
CXQ85_000785	OG6_137869
CXQ85_000786	OG6_115045
CXQ85_000787	OG6_102672
CXQ85_000788	OG6_103085
CXQ85_000789	OG6_100154
CXQ85_000790	OG6_222545
CXQ85_000791	OG6_100076
CXQ85_000792	OG6_127524
CXQ85_000793	OG6_101462
CXQ85_000794	OG6_110868
CXQ85_000795	OG6_104307
CXQ85_000796	OG6_102586
CXQ85_000797	OG6_101367
CXQ85_000798	OG6_152930
CXQ85_000799	OG6r20_101624
CXQ85_000800	OG6_101090
CXQ85_000801	OG6_100144
CXQ85_000802	OG6_101102
CXQ85_000803	OG6_106784
CXQ85_000804	OG6_500464
CXQ85_000805	OG6_101835
CXQ85_000806	OG6_102295
CXQ85_000807	OG6_100967
CXQ85_000809	OG6_121049
CXQ85_000810	OG6_105036
CXQ85_000811	OG6_109322
CXQ85_000812	OG6_100700
CXQ85_000813	OG6_110858
CXQ85_000814	OG6_101021
CXQ85_000815	OG6_102141
CXQ85_000816	OG6_111150
CXQ85_000817	OG6_101640
CXQ85_000818	OG6_105184
CXQ85_000819	OG6_100496
CXQ85_000820	OG6_500086
CXQ85_000821	OG6_103148
CXQ85_000822	OG6_112022
CXQ85_000823	OG6_103335
CXQ85_000824	OG6_136683
CXQ85_000826	OG6_102473
CXQ85_000827	OG6_101544
CXQ85_000828	OG6_109994
CXQ85_000829	OG6r20_101365
CXQ85_000830	OG6_109181
CXQ85_000831	OG6_101018
CXQ85_000832	OG6_101336
CXQ85_000834	OG6_103861
CXQ85_000835	OG6_100411
CXQ85_000836	OG6_500873
CXQ85_000837	OG6_101428
CXQ85_000838	OG6_102274
CXQ85_000839	OG6_101084
CXQ85_000840	OG6_103267
CXQ85_000841	OG6_500879
CXQ85_000842	OG6_500752
CXQ85_000843	OG6_101162
CXQ85_000844	OG6_103047
CXQ85_000845	OG6r20_102020
CXQ85_000846	OG6_103247
CXQ85_000847	OG6_104355
CXQ85_000848	OG6_451084
CXQ85_000849	OG6_102352
CXQ85_000851	OG6_106275
CXQ85_000852	OG6_100205
CXQ85_000853	OG6_121206
CXQ85_000854	OG6_100712
CXQ85_000855	OG6_112326
CXQ85_000856	OG6_110235
CXQ85_000857	OG6_499958
CXQ85_000858	OG6r20_105304
CXQ85_000859	OG6r20_100774
CXQ85_000860	OG6_106392
CXQ85_000861	OG6_101749
CXQ85_000862	OG6_101192
CXQ85_000863	OG6r20_104600
CXQ85_000864	OG6_143877
CXQ85_000865	OG6_100711
CXQ85_000866	OG6_101116
CXQ85_000867	OG6_162515
CXQ85_000868	OG6_100336
CXQ85_000869	OG6_121258
CXQ85_000870	OG6_102289
CXQ85_000871	OG6_102343
CXQ85_000872	OG6_102248
CXQ85_000873	OG6_103095
CXQ85_000874	OG6_112885
CXQ85_000875	OG6_106276
CXQ85_000876	OG6_100323
CXQ85_000877	OG6_100346
CXQ85_000878	OG6_137446
CXQ85_000879	OG6_101972
CXQ85_000880	OG6_101070
CXQ85_000881	OG6_100862
CXQ85_000882	OG6_102659
CXQ85_000883	OG6_500589
CXQ85_000884	OG6_102620
CXQ85_000888	OG6_105688
CXQ85_000889	OG6_105688
CXQ85_000890	OG6_127329
CXQ85_000891	OG6_105259
CXQ85_000892	OG6_102820
CXQ85_000893	OG6_103773
CXQ85_000894	OG6_102767
