Accession	Gene Names
OG6_100120	C104240CA
OG6r21_139955	C104250CA
OG6_100119	C104260WA
OG6_123058	C104270CA
OG6_103140	C104280CA
OG6_100430	C104290CA
OG6_100083	C104300CA
OG6_111207	C104310CA
OG6_101500	C104320WA
OG6_158762	C104330WA
OG6_103454	C104340CA
OG6r21_115509	C104350CA
OG6_138465	C104360CA
OG6_101408	C104370CA
OG6_103044	C104380WA
OG6_102701	C104390CA
OG6_100948	C104400CA
OG6_100390	C104410CA
OG6_100591	C104420CA
OG6_108186	C104430CA
OG6r21_139956	C104440WA
OG6_108186	C104450CA
OG6_151171	C104460CA
OG6r21_115510	C104470CA
OG6_114193	C104480CA
OG6_103724	C104490WA
OG6_104865	C104500WA
OG6r21_106198	C104510WA
OG6_100334	C104520CA
OG6_105442	C104530CA
OG6_102133	C104540CA
OG6_102390	C104550WA
OG6_102297	C104560WA
OG6_143758	C104570CA
OG6_106358	C104580CA
OG6r21_115273	C104590WA
OG6r21_102256	C104600CA
OG6_100771	C104610WA
OG6r21_103122	C104620WA
OG6_101160	C104630CA
OG6_112275	C104640WA
OG6_105980	C104650WA
OG6_108968	C104660WA
OG6_102175	C104670WA
OG6_112026	C104680WA
OG6r21_110810	C104690CA
OG6_100685	C104700CA
OG6_116846	C104710CA
OG6r21_126901	C104720WA
OG6_101528	C104730CA
OG6_101126	C104740WA
OG6_100349	C104750WA
OG6_100965	C104760CA
OG6_102250	C104770CA
OG6_102086	C104780CA
OG6_102337	C104790WA
OG6_101180	C104800CA
OG6r21_101813	C104810WA
OG6_102773	C104820CA
OG6_101348	C104830WA
OG6_108284	C104840CA
OG6r21_167612	C104850CA
OG6_112954	C104860WA
OG6_114704	C104870WA
OG6_104091	C104880CA
OG6_100571	C104890WA
OG6_105463	C104900WA
OG6_108809	C104910CA
OG6_101340	C104930CA
OG6_108986	C104940CA
OG6r21_107059	C104950CA
OG6_500743	C104960CA
OG6_102505	C104970WA
OG6_103293	C104980CA
OG6_101418	C104990CA
OG6_588367	C105000WA
OG6_100486	C105010CA
OG6_115934	C105020CA
OG6_102798	C105030CA
OG6_101473	C105050CA
OG6_101830	C105060WA
OG6_104308	C105070CA
OG6_103247	C105080WA
OG6_101418	C105090WA
OG6_109344	C105100WA
OG6_103629	C105110CA
OG6_102552	C105120WA
OG6r21_139957	C105130WA
OG6_130544	C105140WA
OG6r21_167613	C105150CA
OG6_102253	C105160CA
OG6_500684	C105170CA
OG6_103294	C105180CA
OG6_103294	C105190CA
OG6_166270	C105200CA
OG6_499902	C105210CA
OG6_103065	C105220CA
OG6_101831	C105230WA
OG6_101899	C105240CA
OG6_275813	C105250WA
OG6_100447	C105260CA
OG6_500647	C105270CA
OG6_103122	C105280WA
OG6_100673	C105290WA
OG6_100561	C105300CA
OG6_152865	C105320CA
OG6_137734	C105330CA
OG6_133412	C105340CA
OG6_100743	C105350WA
OG6_101092	C105360CA
OG6_108604	C105370CA
OG6r21_104665	C105380CA
OG6r21_102026	C105390CA
OG6_102939	C105400CA
OG6_101112	C105410CA
OG6_500118	C105420WA
OG6r21_126902	C105430WA
OG6r21_126903	C105440CA
OG6r21_139958	C105450WA
OG6_101923	C105460WA
OG6_101405	C105470WA
OG6r21_104643	C105480CA
OG6_115066	C105490CA
OG6_103043	C105500WA
OG6_100584	C105510CA
OG6r21_109248	C105520WA
OG6_500287	C105530CA
OG6r21_102027	C105540CA
OG6_102705	C105560WA
OG6_101172	C105600WA
OG6_101213	C105610WA
OG6_113599	C105620CA
OG6_102877	C105630CA
OG6_101114	C105640CA
OG6_222558	C105650WA
OG6_102040	C105660CA
OG6_103356	C105670WA
OG6_101436	C105680CA
OG6r21_110812	C105690CA
OG6_100707	C105700WA
OG6_103247	C105710CA
OG6_100755	C105720WA
OG6_100282	C105740CA
OG6_130274	C105750CA
OG6r21_101132	C105760CA
OG6_100109	C105770CA
OG6_112445	C105780WA
OG6r21_104644	C105790WA
OG6_102106	C105800CA
OG6_101532	C105810WA
OG6_102832	C105820CA
OG6_101540	C105830WA
OG6_101243	C105840WA
OG6r21_104033	C105850WA
OG6_101243	C105860WA
OG6_101243	C105870WA
OG6_101243	C105880WA
OG6r21_100711	C105890WA
OG6_230682	C105900WA
OG6_115574	C105910WA
OG6r21_101814	C105920WA
OG6_100503	C105930CA
OG6_105067	C105940WA
OG6r21_102028	C105950CA
OG6r21_101815	C105960WA
OG6r21_139959	C105970WA
OG6_101496	C105980WA
OG6_102045	C105990CA
OG6_120944	C106000WA
OG6_113009	C106010WA
OG6_113547	C106020WA
OG6_152881	C106030CA
OG6_101788	C106040WA
OG6_115933	C106050CA
OG6_100820	C106060CA
OG6_101451	C106070WA
OG6_102851	C106080CA
OG6_100556	C106090CA
OG6_100680	C106100CA
OG6_101880	C106110CA
OG6r21_110814	C106120CA
OG6_153335	C106130CA
OG6r21_139960	C106140CA
OG6r21_139961	C106150WA
OG6_102107	C106160WA
OG6_115022	C106180WA
OG6r21_139962	C106190CA
OG6_113166	C106200WA
OG6_102185	C106210WA
OG6r21_126904	C106220CA
OG6_111233	C106230CA
OG6r21_139963	C106250WA
OG6r21_139964	C106260WA
OG6_100323	C106270WA
OG6_106185	C106280CA
OG6r21_139965	C106290CA
OG6_114264	C106320WA
OG6r21_167614	C106330WA
OG6_116096	C106340WA
OG6r21_126905	C106350WA
OG6_101790	C106360WA
OG6r21_115511	C106370CA
OG6r21_108054	C106380CA
OG6_101218	C106390WA
OG6_101802	C106400CA
OG6r21_101816	C106410WA
OG6_111244	C106420CA
OG6_137822	C106430CA
OG6r21_110815	C106440CA
OG6_100266	C106450CA
OG6_100322	C106460CA
OG6_101109	C106470WA
OG6_102188	C106480CA
OG6_102814	C106500WA
OG6_100246	C106510CA
OG6_102608	C106520CA
OG6_100913	C106530CA
OG6_100420	C106540CA
OG6_100905	C106550WA
OG6_110860	C106560WA
OG6_107199	C106570WA
OG6_100935	C106580WA
OG6_103048	C106590CA
OG6_102881	C106600WA
OG6_101320	C106610CA
OG6r21_115512	C106620CA
OG6_102719	C106630WA
OG6_500668	C106640CA
OG6_102129	C106650WA
OG6_103218	C106660WA
OG6_102745	C106670WA
OG6_101850	C106680WA
OG6_124891	C106690WA
OG6_129980	C106700WA
OG6_103547	C106710WA
OG6_101318	C106720CA
OG6_100633	C106730WA
OG6_108498	C106740CA
OG6r21_126906	C106750WA
OG6r21_294843	C106760CA
OG6_136665	C106770WA
OG6_113602	C106780WA
OG6_100842	C106790CA
OG6_104243	C106800WA
OG6_100495	C106810WA
OG6_152916	C106820WA
OG6_106323	C106840CA
OG6_101636	C106850WA
OG6_112506	C106860WA
OG6r21_108055	C106870CA
OG6_133389	C106880CA
OG6_100855	C106890CA
OG6_100612	C106900CA
OG6_500871	C106910CA
OG6_119599	C106920CA
OG6_101250	C106930WA
OG6_103857	C106940CA
OG6_101220	C106960WA
OG6_131521	C106970CA
OG6_100246	C106980CA
OG6_103657	C107000WA
OG6_122947	C107010WA
OG6_152930	C107020CA
OG6_101367	C107030CA
OG6_101367	C107040CA
OG6_102586	C107050CA
OG6_112154	C107060CA
OG6_101887	C107070CA
OG6r21_102257	C107080WA
OG6_106731	C107090CA
OG6r21_109249	C107100CA
OG6_102499	C107110WA
OG6_103579	C107120WA
OG6r21_101517	C107130CA
OG6_102502	C107140CA
OG6_117193	C107150WA
OG6r21_105352	C107160CA
OG6_116987	C107170CA
OG6_105544	C107180WA
OG6_124178	C107190WA
OG6_101471	C107200WA
OG6_100186	C107210CA
OG6r21_101377	C107220WA
OG6_100677	C107230WA
OG6_111253	C107240WA
OG6_103457	C107250CA
OG6_137778	C107260CA
OG6_103055	C107270WA
OG6_104325	C107280CA
OG6r21_294840	C107290WA
OG6r21_139966	C107330WA
OG6_100877	C107340WA
OG6_100297	C107350CA
OG6_132987	C107360WA
OG6_110016	C107370CA
OG6_137086	C107380CA
OG6_103779	C107390WA
OG6r21_101378	C107400CA
OG6_100934	C107410CA
OG6_103586	C107420CA
OG6_104039	C107430WA
OG6_101929	C107440WA
OG6_101767	C107460CA
OG6_107570	C107470CA
OG6_107570	C107480CA
OG6_102459	C107490CA
OG6_102594	C107500CA
OG6_101083	C107510WA
OG6_100943	C107520CA
OG6r21_139967	C107530WA
OG6_148106	C107540CA
OG6_102214	C107550WA
OG6r21_101659	C107560WA
OG6_100211	C107570CA
OG6_101367	C107580CA
OG6_101447	C107590CA
OG6_102981	C107600WA
OG6r21_115513	C107610CA
OG6_127524	C107620CA
OG6_101462	C107630WA
OG6_110868	C107640CA
OG6r21_139968	C107650WA
OG6_104307	C107660WA
OG6_531937	C107670WA
OG6_102402	C107680WA
OG6_101888	C107690CA
OG6_105424	C107700CA
OG6_101156	C107710CA
OG6r21_294844	C107770WA
OG6r21_102258	C107780WA
OG6_104839	C107790CA
OG6_101730	C107800WA
OG6r21_112709	C107810CA
OG6_500559	C107820WA
OG6_102667	C107830CA
OG6_101905	C107840WA
OG6_102604	C107850CA
OG6r21_126907	C107860WA
OG6_123097	C107870CA
OG6_102076	C107880CA
OG6_100441	C107890CA
OG6r21_110816	C107900WA
OG6_105063	C107910CA
OG6r21_112710	C107920WA
OG6_107767	C107930CA
OG6_137856	C107950CA
OG6_103626	C107960WA
OG6_102150	C107970CA
OG6_107974	C107980CA
OG6_100344	C107990CA
OG6_109251	C108000WA
OG6_100818	C108010WA
OG6_101769	C108020WA
OG6_101239	C108030WA
OG6r21_119619	C108040WA
OG6r21_101518	C108050WA
OG6_110555	C108060WA
OG6_100151	C108070WA
OG6_103668	C108080CA
OG6_101241	C108090CA
OG6_102018	C108100WA
OG6_101397	C108110WA
OG6_111245	C108120WA
OG6_104485	C108130CA
OG6_103273	C108140WA
OG6_129756	C108150CA
OG6_126916	C108160WA
OG6_160270	C108170CA
OG6_101373	C108180CA
OG6_500355	C108190CA
OG6_100563	C108200WA
OG6_100026	C108210CA
OG6_101771	C108220WA
OG6_108039	C108230CA
OG6_104655	C108240CA
OG6_101411	C108260CA
OG6r21_115514	C108270CA
OG6_102330	C108290CA
OG6_101346	C108300WA
OG6_143747	C108310WA
OG6_100329	C108320WA
OG6_100245	C108330CA
OG6_103563	C108340CA
OG6r21_126908	C108350CA
OG6_100468	C108360CA
OG6_106150	C108370WA
OG6_100227	C108380WA
OG6_102242	C108390CA
OG6_101195	C108400CA
OG6_102920	C108410CA
OG6_103433	C108420WA
OG6_105473	C108430WA
OG6r21_115515	C108440CA
OG6_104797	C108450CA
OG6_222562	C108460CA
OG6_117015	C108470WA
OG6_102376	C108480CA
OG6_103826	C108490WA
OG6_100260	C108500CA
OG6_102943	C108510WA
OG6_117002	C108520CA
OG6r21_102820	C108530WA
OG6_100157	C108540CA
OG6_107571	C108550CA
OG6_101890	C108560WA
OG6_112495	C108570CA
OG6_103671	C108580CA
OG6_103798	C108590CA
OG6_101778	C108600CA
OG6_109522	C108610CA
OG6_102787	C108620WA
OG6r21_104034	C108630WA
OG6_500902	C108640WA
OG6_102300	C108650CA
OG6_102158	C108660CA
OG6_115793	C108670WA
OG6_100764	C108680CA
OG6_102226	C108690WA
OG6_100012	C108700WA
OG6_500430	C108710WA
OG6_142601	C108730WA
OG6_101023	C108740CA
OG6_101471	C108750WA
OG6r21_102518	C108760WA
OG6_102950	C108770WA
OG6_100381	C108780WA
OG6_114945	C108790WA
OG6_103990	C108800WA
OG6_105578	C108810CA
OG6_102507	C108820CA
OG6r21_139969	C108830CA
OG6_109735	C108840WA
OG6_130211	C108850CA
OG6_101828	C108860CA
OG6_102834	C108870CA
OG6_101704	C108880WA
OG6_100753	C108890CA
OG6_116824	C108900WA
OG6r21_102259	C108910CA
OG6_115945	C108920WA
OG6_109045	C108930CA
OG6_143771	C108940CA
OG6_116779	C108950WA
OG6_100726	C108980CA
OG6_100362	C108990CA
OG6_118298	C109000WA
OG6_101268	C109010WA
OG6_100887	C109020WA
OG6_103849	C109030CA
OG6r21_294830	C109040CA
OG6_103854	C109050WA
OG6_499957	C109060CA
OG6_102772	C109070WA
OG6_500526	C109080CA
OG6_186968	C109090CA
OG6_454940	C109100WA
OG6r21_139970	C109110WA
OG6_170053	C109120WA
OG6_133175	C109130WA
OG6_114267	C109140CA
OG6_103139	C109150WA
OG6_103139	C109160WA
OG6_161761	C109170WA
OG6_500510	C109180WA
OG6_102658	C109190CA
OG6_500510	C109200WA
OG6_100558	C109210CA
OG6_133054	C109220WA
OG6_100721	C109230CA
OG6_115951	C109240CA
OG6_124191	C109250WA
OG6_107202	C109260CA
OG6r21_110817	C109270WA
OG6_233658	C109280WA
OG6_101994	C109290CA
OG6_100477	C109300CA
OG6r21_102175	C109310CA
OG6r21_101811	C109320CA
OG6_104673	C109330WA
OG6r21_101022	C109340CA
OG6_500524	C109350WA
OG6_126435	C109360CA
OG6_102607	C109370WA
OG6_102685	C109380WA
OG6_100923	C109390WA
OG6_107140	C109400CA
OG6r21_139971	C109410WA
OG6_130000	C109420WA
OG6_100323	C109430WA
OG6_100346	C109440WA
OG6_137446	C109450CA
OG6_101972	C109460WA
OG6_101070	C109470CA
OG6_101866	C109480WA
OG6_100862	C109490CA
OG6r21_106200	C109500WA
OG6_102659	C109510WA
OG6_500589	C109520CA
OG6_102620	C109530WA
OG6r21_102260	C109540WA
OG6r21_139972	C109550WA
OG6_107303	C109570WA
OG6_130000	C109580CA
OG6_130000	C109590CA
OG6_130000	C109600CA
OG6r21_101660	C109610WA
OG6_109050	C109620CA
OG6_101342	C109630WA
OG6_100659	C109640WA
OG6r21_104035	C109650WA
OG6_101801	C109660WA
OG6_103793	C109670CA
OG6_101437	C109680WA
OG6_104513	C109690WA
OG6r21_106201	C109700WA
OG6_102360	C109710CA
OG6_101797	C109720WA
OG6_117018	C109730WA
OG6r21_112711	C109740CA
OG6_198766	C109750WA
OG6_103106	C109760CA
OG6r21_103123	C109770WA
OG6_142743	C109780CA
OG6_105655	C109790CA
OG6_117003	C109800CA
OG6_105111	C109810WA
OG6r21_139973	C109820CA
OG6_103307	C109830WA
OG6_113988	C109840CA
OG6_112055	C109850CA
OG6_104238	C109860CA
OG6_109619	C109870WA
OG6_102341	C109880CA
OG6_130000	C109900WA
OG6r21_101660	C109910CA
OG6_103391	C109920WA
OG6r21_115516	C109930WA
OG6r21_139974	C109940WA
OG6_101456	C109950CA
OG6_106533	C109960WA
OG6_142402	C109970CA
OG6_100231	C109980CA
OG6_101364	C109990WA
OG6_115683	C110000CA
OG6_104974	C110010CA
OG6_119685	C110020WA
OG6_108375	C110030WA
OG6_101008	C110040WA
OG6r21_105353	C110050WA
OG6r21_102519	C110060CA
OG6_116848	C110070CA
OG6_102153	C110080WA
OG6r21_108056	C110090CA
OG6_101526	C110100CA
OG6_115817	C110110WA
OG6_103945	C110120CA
OG6_357195	C110140CA
OG6_115063	C110150WA
OG6_101022	C110160WA
OG6r21_101817	C110170WA
OG6_222544	C110180CA
OG6_101458	C110190WA
OG6_127200	C110200CA
OG6_100484	C110210CA
OG6_100326	C110220CA
OG6r21_101519	C110230CA
OG6_106335	C110240CA
OG6r21_104036	C110250CA
OG6_500269	C110260CA
OG6_110260	C110270CA
OG6_103869	C110280CA
OG6_100516	C110290WA
OG6_105463	C110300WA
OG6_101540	C110310WA
OG6_101964	C110320WA
OG6_103780	C110330CA
OG6_112284	C110340WA
OG6_104109	C110350CA
OG6_118311	C110360CA
OG6r21_167616	C110370WA
OG6_100850	C110380CA
OG6_100788	C110390CA
OG6r21_105354	C110400CA
OG6_151304	C110410WA
OG6_133449	C110420CA
OG6_100381	C110430WA
OG6_101578	C110440WA
OG6_102336	C110450WA
OG6_104486	C110460WA
OG6_104516	C110470WA
OG6_102152	C110480WA
OG6_101703	C110490WA
OG6_112856	C110500WA
OG6r21_139975	C110510WA
OG6_101852	C110520WA
OG6_104542	C110530WA
OG6r21_106202	C110540CA
OG6_100516	C110550CA
OG6_115059	C110560CA
OG6_101852	C110570CA
OG6r21_139976	C110580CA
OG6r21_139977	C110600CA
OG6_166214	C110610WA
OG6_100327	C110620WA
OG6r21_103124	C110630CA
OG6r21_112712	C110640CA
OG6_105226	C110650WA
OG6_100597	C110660WA
OG6_101773	C110670CA
OG6_100476	C110680CA
OG6_101420	C110690WA
OG6_100517	C110700CA
OG6_123029	C110710CA
OG6_116848	C110720CA
OG6_102046	C110730WA
OG6_126865	C110740CA
OG6_102348	C110750CA
OG6_102944	C110760WA
OG6_103301	C110770WA
OG6_100377	C110780CA
OG6_100525	C110790WA
OG6_103579	C110800CA
OG6_101367	C110810WA
OG6_102047	C110820CA
OG6_121415	C110830WA
OG6_108388	C110840CA
OG6_105209	C110850WA
OG6_100940	C110860CA
OG6_100832	C110870WA
OG6_102475	C110880WA
OG6_129700	C110890CA
OG6_499845	C110910CA
OG6_105212	C110920WA
OG6_100543	C110930CA
OG6_102210	C110940CA
OG6_101068	C110950CA
OG6_118284	C110960WA
OG6_103088	C110970WA
OG6r21_115517	C110980WA
OG6_126505	C110990CA
OG6_130010	C111000CA
OG6_114274	C111010CA
OG6_114877	C111020WA
OG6_101259	C111030WA
OG6_101591	C111040WA
OG6_500859	C111050WA
OG6_100234	C111060CA
OG6_111633	C111070WA
OG6_116779	C111080WA
