Entry	Gene Names	Protein names	Mass
A0A2H1A1I0	B9J08_001296 CA7LBN_002815	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	229374
A0A2H1A309	ERG11 14-alpha-demethylase B9J08_001448 B9J08_03698	sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)	59651
A0A2H1A3Z3	HAM1 B9J08_000670 B9J08_02628	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	21505
A0A2H1A567	B9J08_000524 B9J08_02482	non-specific serine/threonine protein kinase (EC 2.7.11.1)	95551
A0A2H1A5W4	CAS5 B9J08_000765	Cell wall integrity transcriptional regulator CAS5 (Caspofungin sensitivity protein 5)	73894
A0A2H1A6H9	B9J08_000984 CA7LBN_002520	Protein kinase domain-containing protein	122478
A0A2H1A706	B9J08_000103 CA7LBN_001794 CJI97_000108	non-specific serine/threonine protein kinase (EC 2.7.11.1)	48243
A0A2H1A7H0	BNA5 B9J08_000273 CA7LBN_001934	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	50297
A0A2H1A7J4	B9J08_000290 B9J08_02249	non-specific serine/threonine protein kinase (EC 2.7.11.1)	162180
A0AAW0V9G3	B9J08_05063	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	107630
A0AAW0V9P3	PSD2 B9J08_05049	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	128542
A0AAW0VBP1	B9J08_03811	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	102747
A0AAW0VCW9	PIM1 B9J08_04360	Lon protease homolog, mitochondrial (EC 3.4.21.53)	118158
A0AAW0VEE9	B9J08_03546	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	229374
A0AAW0VF98	BNA5 B9J08_02232	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	50297
A0A0L0NQ07	QG37_07569	ATP synthase subunit beta (EC 7.1.2.2)	44616
A0A0L0NS57	QG37_06753	Uncharacterized protein	26065
A0A0L0NS78	QG37_06787	U6 snRNA-associated Sm-like protein LSm2	11040
A0A0L0NSZ1	QG37_06324	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	11173
A0A0L0NWI2	THI4 QG37_05249	Thiamine thiazole synthase (Thiazole biosynthetic enzyme) (EC 2.4.2.60)	35210
A0A0L0NX31	QG37_04980	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	47864
A0A0L0NXY0	QG37_04197	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	191006
A0A0L0NY16	CJJ07_002466 QG37_04149	RNA helicase (EC 3.6.4.13)	47449
A0A0L0NZ07	QG37_03535	ATP-dependent RNA helicase DBP9 (EC 3.6.4.13) (ATP-dependent RNA helicase dbp9)	64494
A0A0L0NZB8	URM1 CJI97_005389 QG37_03643	Ubiquitin-related modifier 1	11304
A0A0L0NZE7	ADI1 QG37_03647	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	24118
A0A0L0P2H2	CJJ07_001149 QG37_02580	DNA-directed RNA polymerases I, II, and III subunit RPABC5	8535
A0A0L0P494	QG37_02087	NADH-cytochrome b5 reductase (EC 1.6.2.2)	35862
A0A0L0P5X9	QG37_01029	RuvB-like helicase (EC 3.6.4.12)	51720
A0A0L0P7K9	CJI97_001603 QG37_00468	t-SNARE coiled-coil homology domain-containing protein	41627
A0A0L0P7S8	QG37_00224	Small COPII coat GTPase SAR1	17144
A0A0L0P8N0	ALA1 QG37_00639	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	107322
A0A2H0ZC02	B9J08_005539 B9J08_04642	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	34392
A0A2H0ZC49	B9J08_004914 B9J08_03797	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	85049
A0A2H0ZC73	B9J08_004932 B9J08_03815	RuvB-like helicase (EC 3.6.4.12)	51504
A0A2H0ZCB0	TSR3 B9J08_004966 CA7LBN_003781	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157)	37359
A0A2H0ZCM6	AAH1 B9J08_005078 CA7LBN_003686 CJI97_005163	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	40370
A0A2H0ZCQ0	BNA1 B9J08_005101 B9J08_03984	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)	19422
A0A2H0ZCQ8	B9J08_005110 CA7LBN_003658 CJI97_005194 CJJ07_004210	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	129601
A0A2H0ZCS5	PTR_C B9J08_005124	Peptide transporter PTR_C	64006
A0A2H0ZCS9	B9J08_005131 CA7LBN_003640	Ubiquitin-like modifier-activating enzyme ATG7 (Autophagy-related protein 7)	69979
A0A2H0ZCW6	B9J08_005163 B9J08_04046	fructose-bisphosphatase (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	37444
A0A2H0ZD01	B9J08_005201 B9J08_04084	Pyruvate carboxylase (EC 6.4.1.1)	129676
A0A2H0ZD07	SCS3 FIT2B B9J08_005204 B9J08_04087	Acyl-coenzyme A diphosphatase SCS3 (EC 3.6.1.-) (FIT family protein SCS3)	33551
A0A2H0ZD48	B9J08_005239 B9J08_04122	Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13)	39368
A0A2H0ZD99	URM1 B9J08_005305 B9J08_04188	Ubiquitin-related modifier 1	13455
A0A2H0ZDA5	ADI1 B9J08_005302 B9J08_04185	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	21352
A0A2H0ZDB3	BNA4 B9J08_005022 CA7LBN_003735	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	61229
A0A2H0ZDB4	B9J08_005319 CA7LBN_003486	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18)	42889
A0A2H0ZDD2	B9J08_005003 CA7LBN_003752 CJI97_005086 CJJ07_005437	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	38280
A0A2H0ZDF8	COQ3 B9J08_005369 B9J08_04252	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (3-demethylubiquinol 3-O-methyltransferase) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (EC 2.1.1.114, EC 2.1.1.64)	34343
A0A2H0ZDG6	B9J08_005379 B9J08_04262	Putative lipase ATG15 (EC 3.1.1.3) (Autophagy-related protein 15) (Putative lipase atg15)	65972
A0A2H0ZDH5	B9J08_005376 B9J08_04259	Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18)	45603
A0A2H0ZDI8	B9J08_005393 CA7LBN_003422 CJI97_005476	type II protein arginine methyltransferase (EC 2.1.1.320)	69572
A0A2H0ZDK4	B9J08_005411 B9J08_04294	Double-strand break repair protein	72533
A0A2H0ZDQ5	MDM12 B9J08_005463 B9J08_04345	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	40662
A0A2H0ZDR9	LSM5 B9J08_005449 B9J08_04331	U6 snRNA-associated Sm-like protein LSm5	10333
A0A2H0ZE15	B9J08_004950 CA7LBN_003794 CJI97_005034	Serine/threonine-protein phosphatase (EC 3.1.3.16)	64186
A0A2H0ZEG3	B9J08_005373 B9J08_04256	ATP-dependent RNA helicase DBP9 (EC 3.6.4.13) (ATP-dependent RNA helicase dbp9)	64494
A0A2H0ZEH3	B9J08_005128 B9J08_04011	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	44339
A0A2H0ZEH4	ERB1 B9J08_005141 B9J08_04024	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	93010
A0A2H0ZF26	B9J08_005356 B9J08_04239	Histone-lysine N-methyltransferase, H3 lysine-4 specific (EC 2.1.1.354)	119763
A0A2H0ZF31	NAT10 B9J08_005488 CA7LBN_003336	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase)	117780
A0A2H0ZFC0	B9J08_005458 B9J08_04340	Guanine nucleotide-binding protein subunit beta-like protein	34443
A0A2H0ZFQ6	B9J08_004489 B9J08_04448	Coatomer subunit gamma	104087
A0A2H0ZFS7	B9J08_004540 B9J08_04499	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	216801
A0A2H0ZFT9	B9J08_004553 CA7LBN_003936	CAAX prenyl protease (EC 3.4.24.84)	52767
A0A2H0ZG19	B9J08_004619 B9J08_04578	Transcription elongation factor	32789
A0A2H0ZG92	B9J08_004682	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]	46089
A0A2H0ZGC5	B9J08_004709 B9J08_04669	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	76254
A0A2H0ZGC7	TRM5 B9J08_004715 B9J08_04675	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5)	52291
A0A2H0ZGF5	B9J08_004747 B9J08_04707	Histone deacetylase (EC 3.5.1.98)	56540
A0A2H0ZGH0	B9J08_005476 B9J08_04358	DNA replication licensing factor MCM2 (EC 3.6.4.12)	95338
A0A2H0ZGH7	B9J08_005486 B9J08_04368	U6 snRNA-associated Sm-like protein LSm2	10938
A0A2H0ZGI8	B9J08_004766 CA7LBN_004026	Phospholipid-transporting ATPase (EC 7.6.2.1)	149335
A0A2H0ZGJ6	B9J08_004776 CA7LBN_004016	Alkaline phosphatase (EC 3.1.3.1)	61848
A0A2H0ZGN4	B9J08_004811 CA7LBN_004162 CJI97_004641	mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)	63497
A0A2H0ZGN9	B9J08_004827 B9J08_04787	Autophagy-related protein 9	99402
A0A2H0ZGS0	UTR4 B9J08_004857 CA7LBN_004203 CJI97_004595	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	25655
A0A2H0ZGS7	B9J08_004862 B9J08_04822	Chromatin modification-related protein	29958
A0A2H0ZGU5	B9J08_004596 B9J08_04555	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	65044
A0A2H0ZGV2	B9J08_004874 B9J08_04834	mRNA-capping enzyme subunit alpha (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (mRNA guanylyltransferase)	55586
A0A2H0ZHC3	B9J08_004718 CA7LBN_004063 CJI97_004733	PH domain-containing protein	137503
A0A2H0ZI09	COQ2 B9J08_004122 CA7LBN_004258	4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate hexaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase)	43623
A0A2H0ZI49	B9J08_004142 CA7LBN_004274	Protein kinase domain-containing protein	38290
A0A2H0ZI66	B9J08_004166 CA7LBN_004293	Rad50/SbcC-type AAA domain-containing protein	148242
A0A2H0ZI83	B9J08_004153 B9J08_04907	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	29015
A0A2H0ZIE9	SUS1 B9J08_004752 B9J08_04712	Transcription and mRNA export factor SUS1	11065
A0A2H0ZIN5	B9J08_004322 B9J08_05076	ATP-dependent RNA helicase (EC 3.6.4.13)	63199
A0A2H0ZIT9	B9J08_004344 CA7LBN_004439	Phospholipid-transporting ATPase (EC 7.6.2.1)	185663
A0A2H0ZIW1	MMM1 B9J08_004407 B9J08_05161	Maintenance of mitochondrial morphology protein 1	39253
A0A2H0ZJ17	B9J08_004116 B9J08_04870	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	38733
A0A2H0ZJ36	B9J08_004463 CA7LBN_004550	DNA 3'-5' helicase (EC 5.6.2.4)	95824
A0A2H0ZJ92	B9J08_004170 B9J08_04924	RNA helicase (EC 3.6.4.13)	59526
A0A2H0ZJA8	PTR_A B9J08_004188	Peptide transporter PTR_A	66417
A0A2H0ZJD2	B9J08_004225 B9J08_04979	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	47838
A0A2H0ZJF3	B9J08_004222 CA7LBN_004340 CJI97_004287	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	181894
A0A2H0ZJM1	B9J08_004267 B9J08_05021	Protein phosphatase (EC 3.1.3.16)	41297
A0A2H0ZJR1	HER2 B9J08_004298 CA7LBN_004400 CJI97_004360	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7)	48971
A0A2H0ZJX3	B9J08_004340 CA7LBN_004436 CJJ07_002492	[RNA-polymerase]-subunit kinase (EC 2.7.11.23)	37445
A0A2H0ZJY8	B9J08_004351 B9J08_05105	ribonuclease T2 (EC 4.6.1.19)	45325
A0A2H0ZK23	B9J08_002600 B9J08_00460	Phosphomannomutase (EC 5.4.2.8)	28707
A0A2H0ZK31	B9J08_004410 B9J08_05164	Glycosidase (EC 3.2.-.-)	43188
A0A2H0ZK39	B9J08_002597 B9J08_00457	Protein transport protein BOS1	27151
A0A2H0ZK94	B9J08_002618 CA7LBN_001238	Lon protease homolog 2, peroxisomal (EC 3.4.21.-)	124340
A0A2H0ZKA2	B9J08_002672 B9J08_00532	Serine/threonine-protein phosphatase 2A activator (EC 5.2.1.8) (Phosphotyrosyl phosphatase activator)	45810
A0A2H0ZKB1	B9J08_002673 CA7LBN_001195	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase listerin)	178933
A0A2H0ZKD2	B9J08_002689 B9J08_00548	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)	29746
A0A2H0ZKG7	B9J08_002721 B9J08_00580	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase)	41225
A0A2H0ZKH4	B9J08_002688 B9J08_00547	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)	39041
A0A2H0ZKL3	B9J08_002761 B9J08_00620	chitinase (EC 3.2.1.14)	47232
A0A2H0ZKP0	B9J08_002788 B9J08_00647	cAMP-dependent protein kinase (EC 2.7.11.11)	51068
A0A2H0ZKS1	B9J08_002819 B9J08_00678	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog)	74308
A0A2H0ZKU8	B9J08_002845 B9J08_00704	DNA ligase (EC 6.5.1.1)	79911
A0A2H0ZKW1	B9J08_002850 B9J08_00709	Histone deacetylase (EC 3.5.1.98)	51714
A0A2H0ZL33	B9J08_002917 B9J08_00775	Deacetylase sirtuin-type domain-containing protein	59227
A0A2H0ZL34	B9J08_002923 B9J08_00781	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	11844
A0A2H0ZL78	B9J08_002953 B9J08_00811	Autophagy-related protein 2	203592
A0A2H0ZLD9	NOP7 B9J08_003031 B9J08_00889	Pescadillo homolog (Nucleolar protein 7 homolog)	68185
A0A2H0ZLG1	BNA7 B9J08_003054 B9J08_00912	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	28279
A0A2H0ZLI2	B9J08_003077 B9J08_00935	Ubiquitin fusion degradation protein	39134
A0A2H0ZLL6	B9J08_003094 CA7LBN_000876	ATP-dependent RNA helicase DBP10 (EC 3.6.4.13) (ATP-dependent RNA helicase dbp10)	106002
A0A2H0ZLU7	B9J08_003205 CA7LBN_000781 CJI97_003280 QG37_02101	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)	40533
A0A2H0ZLV7	B9J08_003215 CA7LBN_000771 CJI97_003290 CJJ07_001239	NADH-cytochrome b5 reductase (EC 1.6.2.2)	31713
A0A2H0ZLW1	NTG1 B9J08_002890 B9J08_00749	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	42384
A0A2H0ZLW4	B9J08_003232 B9J08_01093	Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	68978
A0A2H0ZLX0	B9J08_003228 CA7LBN_000761	alpha-1,2-Mannosidase (EC 3.2.1.-)	72339
A0A2H0ZM31	NIP1 B9J08_003294 B9J08_01155	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 93 kDa subunit homolog) (eIF3 p93) (Translation initiation factor eIF3, p93 subunit homolog)	95109
A0A2H0ZM52	B9J08_002962 B9J08_00820	Cysteine proteinase 1, mitochondrial (EC 3.4.22.40)	52571
A0A2H0ZM53	B9J08_003306 B9J08_01167	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	35336
A0A2H0ZM78	B9J08_003013 CA7LBN_000937	DNA 3'-5' helicase (EC 5.6.2.4)	95503
A0A2H0ZMA9	B9J08_003374 CA7LBN_000631 CJI97_003449 CJJ07_001067 QG37_01853	Isocitrate lyase	61608
A0A2H0ZMH9	B9J08_003440 B9J08_01299	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	44251
A0A2H0ZMK3	B9J08_003447 B9J08_01306	Chromatin modification-related protein	40645
A0A2H0ZMK5	B9J08_003463 CA7LBN_000552	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	92807
A0A2H0ZMM7	B9J08_003496 CA7LBN_000529 CJI97_003570	Cysteine protease (EC 3.4.22.-)	52761
A0A2H0ZMM8	B9J08_003495 B9J08_01354	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)	25537
A0A2H0ZMU9	B9J08_003576 CA7LBN_000463	RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16)	93554
A0A2H0ZMV9	B9J08_003586 CA7LBN_000453	DNA 3'-5' helicase (EC 5.6.2.4)	151180
A0A2H0ZN06	B9J08_003615 B9J08_01473	Transketolase (EC 2.2.1.1)	73799
