Gene Names	Accession	Entry	Protein names	Mass
CXQ85_000063	OG6_137739	A0A2V1ATD8	Uncharacterized protein	28426
CXQ85_000064	OG6_110272	A0A2V1ATD5	Mitochondrial genome maintenance protein MGM101	26009
CXQ85_000065	OG6_106922	A0A2V1ASN6	NADH-ubiquinone oxidoreductase subunit B14.7	21829
CXQ85_000066	OG6_104980	A0A2V1AW46	Mitochondrial import receptor subunit TOM20	19321
CXQ85_000067	OG6_107620	A0A2V1ATL2	glucan 1,3-beta-glucosidase (EC 3.2.1.58)	57104
CXQ85_000068	OG6_100697	A0A2V1AUV9	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	38519
CXQ85_000069	OG6_103753	A0A2V1ATL5	Vacuolar membrane-associated protein IML1 (Vacuolar membrane-associated protein iml1)	173065
CXQ85_000070	OG6_103407	A0A2V1ATH1	glutaminase (EC 3.5.1.2)	26352
CXQ85_000071	OG6_102840	A0A2V1AUA2	pyridoxal 5'-phosphate synthase (glutamine hydrolyzing) (EC 4.3.3.6)	31209
CXQ85_000072	OG6r20_101803	A0A2V1ASA9	Peroxisome assembly protein 22	19174
CXQ85_000073	OG6_123083	A0A2V1ATE7	Ras-GEF domain-containing protein	156575
CXQ85_000074	OG6_500579	A0A2V1ATE5	Ribosome biogenesis protein SLX9	21612
CXQ85_000075	OG6_137903	A0A2V1ASP4	FHA domain-containing protein	107432
CXQ85_000076	OG6_100897	A0A2V1AW56	Proteasome subunit beta	30947
CXQ85_000077	OG6_100325	A0A2V1ATM3	60S ribosomal protein L11-A	20181
CXQ85_000078	OG6_103435	A0A2V1AUW7	Pre-mRNA-splicing factor SPF27	25062
CXQ85_000079	OG6_100512	A0A2V1ATM4	PHD finger-like domain-containing protein 5A	12790
CXQ85_000080	OG6_111428	A0A2V1ATI1	RING-type domain-containing protein	51971
CXQ85_000081	OG6_102985	A0A2V1AUB3	ADF-H domain-containing protein	37896
CXQ85_000082	OG6r20_101231	A0A2V1ASB9	Uncharacterized protein	40702
CXQ85_000083	OG6_103376	A0A2V1ATF7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	18164
CXQ85_000084	OG6r20_101500	A0A2V1ATF6	Uncharacterized protein	70339
CXQ85_000085	OG6_112026	A0A2V1ASQ2	Sphingolipid long chain base-responsive protein PIL1	35008
CXQ85_000086	OG6_100380	A0A2V1AW66	Protein SYM1	23964
CXQ85_000087	OG6_100380	A0A2V1ATN3	Protein SYM1	19559
CXQ85_000088	OG6_100293	A0A2V1AUX7	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	85752
CXQ85_000089	OG6_100534	A0A2V1ATN4	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	56030
CXQ85_000090	OG6_124252	A0A2V1ATJ1	Calponin-homology (CH) domain-containing protein	20320
CXQ85_000091	OG6_102084	A0A2V1AUC4	Protein MAK16	35564
CXQ85_000092	OG6_112506	A0A2V1ASD0	Sphingoid long-chain base transporter RSB1	50632
CXQ85_000093	OG6_113582	A0A2V1ATG6	HTH APSES-type domain-containing protein	29756
CXQ85_000094	OG6_100570	A0A2V1ATG9	Amino acid transporter transmembrane domain-containing protein	57851
CXQ85_000095	OG6_112501	A0A2V1ASR2	RRM domain-containing protein	117350
CXQ85_000096	OG6_101761	A0A2V1AW79	GTP-binding nuclear protein	24459
CXQ85_000097	OG6_102948	A0A2V1ATP4	Matrin-type domain-containing protein	15657
CXQ85_000098	OG6_115057	A0A2V1AUY5	Uncharacterized protein	11646
CXQ85_000099	OG6_100925	A0A2V1ATP3	Autophagy-related protein 16 domain-containing protein	45321
CXQ85_000100	OG6r20_101802	A0A2V1ATK1	Uncharacterized protein	42678
CXQ85_000101	OG6_102165	A0A2V1AUD5	DNA replication licensing factor MCM5 (EC 3.6.4.12)	102284
CXQ85_000102	OG6_104409	A0A2V1ASE2	Peptidase S54 rhomboid domain-containing protein	38496
CXQ85_000103	OG6_100803	A0A2V1ATH7	60S ribosomal protein L18-A	21581
CXQ85_000104	OG6_100904	A0A2V1ATI0	40S ribosomal protein S19-B	76628
CXQ85_000105	OG6_100025	A0A2V1ASS1	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic)	470976
CXQ85_000106	OG6_100689	A0A2V1AW87	EF-hand domain-containing protein	57281
CXQ85_000107	OG6_104299	A0A2V1ATQ3	HORMA domain-containing protein	22295
CXQ85_000108	OG6_101943	A0A2V1AUZ3	DNA mismatch repair protein MutL	197113
CXQ85_000109	OG6_173339	A0A2V1ATQ4	Zn(2)-C6 fungal-type domain-containing protein	90930
CXQ85_000110	OG6_102486	A0A2V1ATL1	carnosine N-methyltransferase (EC 2.1.1.22)	44569
CXQ85_000111	OG6_100743	A0A2V1AUE5	Vacuolar protein sorting-associated protein 21	23010
CXQ85_000112	OG6_107015	A0A2V1ASF4	Ca3427-like PBP 2 domain-containing protein	33946
CXQ85_000113	OG6_100623	A0A2V1ATI9	Uncharacterized protein	35560
CXQ85_000114	OG6_107934	A0A2V1ATJ0	K Homology domain-containing protein	27509
CXQ85_000115	OG6_100083	A0A2V1AST3	Heat shock protein SSB1	66358
CXQ85_000116	OG6_101547	A0A2V1AW98	non-specific serine/threonine protein kinase (EC 2.7.11.1)	48770
CXQ85_000117	OG6r20_103967	A0A2V1ATR2	F-box domain-containing protein	50039
CXQ85_000118	OG6_102623	A0A2V1AV04	Nudix hydrolase domain-containing protein	94324
CXQ85_000119	OG6_108820	A0A2V1ATR4	Mitochondrial ATPase complex subunit ATP10	32234
CXQ85_000120	OG6_100367	A0A2V1ATL8	40S ribosomal protein S20	13136
CXQ85_000121	OG6_101170	A0A2V1AUF5	PPM-type phosphatase domain-containing protein	63011
CXQ85_000122	OG6_100340	A0A2V1ASG6	Antiviral helicase SKI2	139606
CXQ85_000123	OG6r20_103084	A0A2V1ATJ7	RNase III domain-containing protein	28500
CXQ85_000124	OG6_104982	A0A2V1ATK0	AAA+ ATPase domain-containing protein	84386
CXQ85_000125	OG6_103566	A0A2V1ASU5	Peroxisomal biogenesis factor 19	35895
CXQ85_000126	OG6_101514	A0A2V1AWB1	SUMO-conjugating enzyme UBC9	18043
CXQ85_000127	OG6_100250	A0A2V1ATS2	6-phosphofructo-2-kinase domain-containing protein	52457
CXQ85_000128	OG6_222600	A0A2V1AV15	SPS-sensor serine protease component SSY5	86639
CXQ85_000129	OG6r20_110735	A0A2V1ATS3	Pyrroloquinoline quinone-dependent pyranose dehydrogenase beta-propeller domain-containing protein	33244
CXQ85_000130	OG6r20_101107	A0A2V1ATM7	Uncharacterized protein	33852
CXQ85_000131	OG6_105619	A0A2V1AUG5	40S ribosomal protein S29	81984
CXQ85_000132	OG6_102221	A0A2V1ASH8	Bms1-type G domain-containing protein	87245
CXQ85_000133	OG6_101830	A0A2V1ATK4	C2H2-type domain-containing protein	47737
CXQ85_000134	OG6_100614	A0A2V1ATL0	Chaperone DnaJ	62466
CXQ85_000135	OG6_102134	A0A2V1ASV5	Vacuolar protein 14 C-terminal Fig4-binding domain-containing protein	106818
CXQ85_000136	OG6r20_101519	A0A2V1AWB9	Protein Zds1 C-terminal domain-containing protein	76052
CXQ85_000139	OG6_101920	A0A2V1ATT0	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	53741
CXQ85_000140	OG6_100474	A0A2V1AV23	triacylglycerol lipase (EC 3.1.1.3)	38540
CXQ85_000141	OG6_104453	A0A2V1ATT1	Mitochondrial distribution and morphology protein 35	12161
CXQ85_000142	OG6r20_102487	A0A2V1ATN7	DASH complex subunit ASK1 (Outer kinetochore protein ASK1)	52364
CXQ85_000143	OG6_106319	A0A2V1AUH6	Complex 1 LYR protein domain-containing protein	15283
CXQ85_000144	OG6_110137	A0A2V1ASJ2	Rho-GAP domain-containing protein	107160
CXQ85_000145	OG6_129583	A0A2V1ATL4	Mannan polymerase II complex ANP1 subunit	52444
CXQ85_000146	OG6_101492	A0A2V1ATM1	SMC hinge domain-containing protein	131756
CXQ85_000147	OG6_114274	A0A2V1ASW5	Peroxin/Ferlin domain-containing protein	52232
CXQ85_000148	OG6_101624	A0A2V1AWD5	Pre-mRNA-splicing factor 18	38174
CXQ85_000149	OG6_102568	A0A2V1ATU0	Uncharacterized protein	45710
CXQ85_000150	OG6_103364	A0A2V1AV32	arginyltransferase (EC 2.3.2.8)	53458
CXQ85_000151	OG6_133175	A0A2V1ATU1	LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein	95267
CXQ85_000152	OG6_102857	A0A2V1ATP7	Cytochrome c oxidase subunit (Cytochrome c oxidase polypeptide VIa)	16047
CXQ85_000153	OG6_100728	A0A2V1AUI6	Protein phosphatase PP2A regulatory subunit B	57908
CXQ85_000154	OG6_100814	A0A2V1ASK2	40S ribosomal protein S26	13512
CXQ85_000155	OG6_102678	A0A2V1ATM5	Cytochrome c oxidase subunit 4, mitochondrial	16268
CXQ85_000156	OG6_143663	A0A2V1ATN0	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein	40187
CXQ85_000157	OG6_113608	A0A2V1ASX4	Actin cytoskeleton-regulatory complex protein SLA1	137071
CXQ85_000158	OG6_103808	A0A2V1AWE5	mRNA m(6)A methyltransferase (EC 2.1.1.348)	57798
CXQ85_000159	OG6_105676	A0A2V1ATU9	Endoplasmic reticulum membrane protein	22500
CXQ85_000160	OG6_100521	A0A2V1AV43	dolichyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.18)	83783
CXQ85_000161	OG6_127173	A0A2V1ATV2	FYVE-type domain-containing protein	85559
CXQ85_000162	OG6_103173	A0A2V1ATQ7	Succinate dehydrogenase, cytochrome b556 subunit	17468
CXQ85_000163	OG6_102723	A0A2V1AUJ8	F-box domain-containing protein	72459
CXQ85_000164	OG6r20_101643	A0A2V1ASL2	Hap4 transcription factor heteromerisation domain-containing protein	48548
CXQ85_000165	OG6_104789	A0A2V1ATN5	COX assembly mitochondrial protein	12595
CXQ85_000166	OG6_116989	A0A2V1ATP0	Kinetochore protein Spc24	24334
CXQ85_000167	OG6_114551	A0A2V1ASY3	Large ribosomal subunit protein mL60	13589
CXQ85_000168	OG6_129937	A0A2V1AWF5	Uncharacterized protein	13088
CXQ85_000169	OG6r20_106955	A0A2V1ATV9	Uncharacterized protein	21291
CXQ85_000170	OG6r20_140413	A0A2V1AV53	Uncharacterized protein	111129
CXQ85_000171	OG6_100282	A0A2V1ATW2	U1 small nuclear ribonucleoprotein component SNU71	62376
CXQ85_000172	OG6_104156	A0A2V1ATR7	Suppressor of forked domain-containing protein	82578
CXQ85_000173	OG6_100151	A0A2V1AUK7	Multidrug resistance protein CDR1	271239
CXQ85_000174	OG6_101977	A0A2V1ASM3	Pre-mRNA-splicing factor CLF1	84463
CXQ85_000176	OG6_114877	A0A2V1ATP6	FAD-binding FR-type domain-containing protein	79930
CXQ85_000177	OG6_105315	A0A2V1ATQ0	Sulfiredoxin (EC 1.8.98.2)	13837
CXQ85_000178	OG6_107140	A0A2V1ASZ4	FTR1 family protein	43883
CXQ85_000179	OG6_101677	A0A2V1AWG3	Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23)	45221
CXQ85_000180	OG6_102726	A0A2V1ATW7	Major facilitator superfamily (MFS) profile domain-containing protein	59774
CXQ85_000181	OG6_102032	A0A2V1AV62	quinol--cytochrome-c reductase (EC 7.1.1.8)	31511
CXQ85_000182	OG6_100353	A0A2V1ATX0	cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase)	42656
CXQ85_000183	OG6_100143	A0A2V1ATS7	Calcium-translocating P-type ATPase, PMCA-type	129432
CXQ85_000184	OG6_500111	A0A2V1AUL8	Uncharacterized protein	28126
CXQ85_000185	OG6_106042	A0A2V1ASN3	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	42792
CXQ85_000186	OG6_106080	A0A2V1ATQ6	Oleate-induced peroxisomal protein POX18	14006
CXQ85_000187	OG6_500295	A0A2V1ATQ8	Regulator of rDNA transcription 14	21758
CXQ85_000188	OG6_102900	A0A2V1AT05	MMS19 nucleotide excision repair protein	119104
CXQ85_000189	OG6_102307	A0A2V1AWH3	C3H1-type domain-containing protein	349688
CXQ85_000190	OG6_122937	A0A2V1ATX7	Phosphatidate phosphatase APP1 catalytic domain-containing protein	69241
CXQ85_000191	OG6_113935	A0A2V1AV72	Protein BZZ1	68595
CXQ85_000192	OG6_101127	A0A2V1ATX9	40S ribosomal protein S7	21308
CXQ85_000193	OG6_101105	A0A2V1ATT7	Ribose-5-phosphate isomerase (EC 5.3.1.6) (D-ribose-5-phosphate ketol-isomerase) (Phosphoriboisomerase)	25351
CXQ85_000194	OG6_103717	A0A2V1AUM6	ADP-ribosylation factor 6	17642
CXQ85_000195	OG6_100085	A0A2V1ASP6	RNA helicase (EC 3.6.4.13)	85076
CXQ85_000196	OG6_101512	A0A2V1ATR6	ABC1 atypical kinase-like domain-containing protein	65115
CXQ85_000198	OG6_115046	A0A2V1ATS0	Uncharacterized protein	114491
CXQ85_000199	OG6_102249	A0A2V1AT15	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	130711
CXQ85_000200	OG6_101563	A0A2V1AWI4	Methyltransferase small domain-containing protein	24581
CXQ85_000201	OG6_102013	A0A2V1ATY7	Branchpoint-bridging protein	84437
CXQ85_000202	OG6r20_109170	A0A2V1AV83	Nucleoporin Nup82	82468
CXQ85_000203	OG6r20_139769	A0A2V1ATY9	Uncharacterized protein	15433
CXQ85_000204	OG6_100282	A0A2V1ATU8	Uncharacterized protein	89742
CXQ85_000205	OG6_103719	A0A2V1AUN8	Uncharacterized protein	41699
CXQ85_000206	OG6_100417	A0A2V1ASQ7	CCHC-type domain-containing protein	20881
CXQ85_000207	OG6r20_103498	A0A2V1ATS5	Uncharacterized protein	82102
CXQ85_000208	OG6_101393	A0A2V1ATT2	leucine--tRNA ligase (EC 6.1.1.4)	99136
CXQ85_000209	OG6_101395	A0A2V1AT27	Diphthine--ammonia ligase (EC 6.3.1.14) (Diphthamide synthase) (Diphthamide synthetase) (Mitochondrial 15S rRNA processing factor CCM1)	152014
CXQ85_000210	OG6_102093	A0A2V1AWJ4	Protein CASP	125689
CXQ85_000211	OG6_100992	A0A2V1AU05	Protein transport protein SEC23	84874
CXQ85_000212	OG6_500936	A0A2V1AV92	60S ribosomal subunit assembly/export protein LOC1 (60S ribosomal subunit assembly/export protein loc1)	23824
CXQ85_000213	OG6_101864	A0A2V1ATZ7	Peptidase S54 rhomboid domain-containing protein	33315
CXQ85_000214	OG6_101037	A0A2V1ATV8	60S acidic ribosomal protein P1-B	10545
CXQ85_000215	OG6r20_115389	A0A2V1AUP8	Uncharacterized protein	27920
CXQ85_000216	OG6r20_110710	A0A2V1ASR6	Uncharacterized protein	22527
CXQ85_000218	OG6_114251	A0A2V1ATT4	dynamin GTPase (EC 3.6.5.5)	97811
CXQ85_000219	OG6_102924	A0A2V1ATU3	Uncharacterized protein	94376
CXQ85_000220	OG6_104171	A0A2V1AT35	Peptidase M20 dimerisation domain-containing protein	64274
CXQ85_000221	OG6_101181	A0A2V1AWK5	Large ribosomal subunit protein bL27m (54S ribosomal protein L2, mitochondrial)	42891
CXQ85_000224	OG6r20_109171	A0A2V1AU14	Uncharacterized protein	18513
CXQ85_000225	OG6_102888	A0A2V1AVA1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	63538
CXQ85_000226	OG6_100571	A0A2V1AU07	GTP-binding protein YchF	38132
CXQ85_000227	OG6_122832	A0A2V1ATW9	SGF29 C-terminal domain-containing protein	29714
CXQ85_000228	OG6_103495	A0A2V1AUQ7	RRM domain-containing protein	49544
CXQ85_000229	OG6_115065	A0A2V1ASS7	Uncharacterized protein	16762
CXQ85_000230	OG6_500262	A0A2V1ATU2	DH domain-containing protein	147720
CXQ85_000231	OG6_103350	A0A2V1ATV3	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	39547
CXQ85_000232	OG6_100745	A0A2V1AT46	cysteine desulfurase (EC 2.8.1.7)	51585
CXQ85_000233	OG6_102662	A0A2V1AWL6	Mitochondrial carrier protein PET8	68942
CXQ85_000234	OG6_499906	A0A2V1AU16	Uncharacterized protein	30586
CXQ85_000235	OG6_102578	A0A2V1AVB0	RFX-type winged-helix domain-containing protein	85661
CXQ85_000236	OG6_102432	A0A2V1AU15	Uncharacterized protein	36077
CXQ85_000237	OG6_100302	A0A2V1ATX8	J domain-containing protein	36313
CXQ85_000238	OG6_102319	A0A2V1AUR3	Glycerol uptake protein 1	66099
CXQ85_000239	OG6_100377	A0A2V1AST7	Hit family protein 1	16865
CXQ85_000240	OG6_103301	A0A2V1ATV1	Protein transport protein SFT2	23557
CXQ85_000241	OG6r20_127072	A0A2V1ATW3	Rad60/SUMO-like domain-containing protein	41605
CXQ85_000242	OG6_105212	A0A2V1AT56	Transcription factor IIIC 90kDa subunit N-terminal domain-containing protein	60163
CXQ85_000243	OG6_100543	A0A2V1AWM7	Rhodanese domain-containing protein	46305
CXQ85_000244	OG6_102210	A0A2V1AU20	GOLD domain-containing protein	24585
CXQ85_000245	OG6_104348	A0A2V1AVC1	Tyrosine specific protein phosphatases domain-containing protein	69437
CXQ85_000246	OG6_103088	A0A2V1AU19	NUC153 domain-containing protein	78508
CXQ85_000247	OG6_118122	A0A2V1ATY8	TLDc domain-containing protein	74883
CXQ85_000248	OG6_118284	A0A2V1AUS1	Uncharacterized protein	21078
CXQ85_000249	OG6_101068	A0A2V1ASU9	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	54309
CXQ85_000250	OG6r20_140412	A0A2V1ATW0	Uncharacterized protein	47435
CXQ85_000251	OG6_126505	A0A2V1ATX3	BHLH domain-containing protein	55779
CXQ85_000252	OG6_102047	A0A2V1AT66	aspartyl aminopeptidase (EC 3.4.11.21)	50960
CXQ85_000253	OG6_121415	A0A2V1AWN8	Protein BIG1	35363
CXQ85_000254	OG6_108388	A0A2V1AU28	FAD dependent oxidoreductase domain-containing protein	49521
CXQ85_000255	OG6_100832	A0A2V1AVC9	40S ribosomal protein S17-B	16128
CXQ85_000256	OG6_100940	A0A2V1AU23	Transcriptional adapter 2	51027
CXQ85_000257	OG6_129700	A0A2V1AU00	Uncharacterized protein	31262
CXQ85_000258	OG6_102475	A0A2V1AUT2	U3 small nucleolar RNA-associated protein 6 N-terminal domain-containing protein	49278
CXQ85_000259	OG6_127591	A0A2V1ASV9	Major facilitator superfamily (MFS) profile domain-containing protein	60972
CXQ85_000260	OG6_109522	A0A2V1ATX1	HIG1 domain-containing protein	20647
CXQ85_000261	OG6_101778	A0A2V1ATY3	Translation initiation factor eIF2B subunit epsilon (eIF2B GDP-GTP exchange factor subunit epsilon)	80432
CXQ85_000262	OG6_103798	A0A2V1AT76	Squalene monooxygenase (EC 1.14.14.17)	55237
CXQ85_000263	OG6_103671	A0A2V1AWP6	Vacuolar calcium ion transporter	43673
CXQ85_000264	OG6_112495	A0A2V1AU33	Cyclin N-terminal domain-containing protein	31272
CXQ85_000265	OG6_101890	A0A2V1AVE2	T-complex protein 1 subunit alpha (CCT-alpha)	60037
CXQ85_000266	OG6r20_127071	A0A2V1AU41	Uncharacterized protein	34983
CXQ85_000267	OG6_121206	A0A2V1AU10	Alpha/beta hydrolase fold-3 domain-containing protein	45059
CXQ85_000268	OG6_107571	A0A2V1AUU0	HMG box domain-containing protein	25854
CXQ85_000269	OG6_104239	A0A2V1ASX0	Histidine kinase	265692
CXQ85_000270	OG6_104797	A0A2V1ATY0	Cell division control protein 42	24418
CXQ85_000271	OG6_222562	A0A2V1ATZ2	Zn(2)-C6 fungal-type domain-containing protein	65393
CXQ85_000272	OG6_117015	A0A2V1AT86	Cytochrome b mRNA-processing protein 4	17014
CXQ85_000273	OG6_102376	A0A2V1AWQ7	AP complex subunit sigma	19618
CXQ85_000274	OG6_103826	A0A2V1AU40	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	50597
CXQ85_000275	OG6_100260	A0A2V1AVF2	phosphopyruvate hydratase (EC 4.2.1.11)	46968
CXQ85_000276	OG6_102143	A0A2V1AU50	Proteasome subunit alpha type	31827
CXQ85_000277	OG6_100423	A0A2V1AU18	Chaperone DnaK	72432
CXQ85_000278	OG6_127245	A0A2V1AUV0	Vacuolar sorting protein Vps3844 C-terminal domain-containing protein	53650
CXQ85_000280	OG6r20_101992	A0A2V1ASY0	Uncharacterized protein	26684
CXQ85_000281	OG6_101436	A0A2V1ATZ5	Single-stranded DNA-binding protein RIM1, mitochondrial	15190
CXQ85_000282	OG6_103356	A0A2V1AU01	Peptide hydrolase (EC 3.4.-.-)	44665
CXQ85_000283	OG6_102040	A0A2V1AT97	Nucleoporin Nup133/Nup155-like N-terminal domain-containing protein	164920
CXQ85_000284	OG6_222558	A0A2V1AWR7	Phosphoribulokinase/uridine kinase domain-containing protein	26862
CXQ85_000285	OG6_101114	A0A2V1AU48	RNA helicase (EC 3.6.4.13)	45028
CXQ85_000286	OG6_102877	A0A2V1AVG2	Importin N-terminal domain-containing protein	121857
CXQ85_000287	OG6_113599	A0A2V1AU61	G-protein coupled receptors family 1 profile domain-containing protein	45929
