Gene Names	Accession	Entry	Protein names	Mass
B9J08_000049	OG6_137739	A0A2H1A7U2	Cell wall synthesis protein KRE9	29564
B9J08_000050	OG6_137739	A0A2H1A3M4	Uncharacterized protein	29902
B9J08_000051	OG6_110272	A0A2H1A6V2	Mitochondrial genome maintenance protein MGM101	25662
B9J08_000052	OG6_106922	A0A2H1A6V8	NADH-ubiquinone oxidoreductase subunit B14.7	21799
B9J08_000053	OG6_104980	A0A2H1A6V7	Mitochondrial import receptor subunit	19277
B9J08_000054	OG6_107620	A0A2H1A6W0	glucan 1,3-beta-glucosidase (EC 3.2.1.58)	57081
B9J08_000055	OG6_100697	A0A2H1A6V9	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	38560
B9J08_000056	OG6_103753	A0A2H1A6V3	Vacuolar membrane-associated protein IML1 (Vacuolar membrane-associated protein iml1)	173552
B9J08_000057	OG6_103407	A0A2H1A2E8	glutaminase (EC 3.5.1.2)	26580
B9J08_000058	OG6_102840	A0A2H1A7P0	pyridoxal 5'-phosphate synthase (glutamine hydrolyzing) (EC 4.3.3.6)	31326
B9J08_000059	OG6r20_101803	A0A2H1A7U9	Peroxisome assembly protein 22	19261
B9J08_000060	OG6_123083	A0A2H1A6V5	Guanine nucleotide exchange factor LTE1	156237
B9J08_000061	OG6_500579	A0A2H1A2E6	Ribosome biogenesis protein SLX9	19971
B9J08_000062	OG6_511044	A0A2H1A6W8	FHA domain-containing protein	108373
B9J08_000063	OG6_100897	A0A2H1A6W4	Proteasome subunit beta	31057
B9J08_000064	OG6_100325	A0A2H1A6W9	60S ribosomal protein L11-A	19610
B9J08_000065	OG6_103435	A0A2H1A2H3	Pre-mRNA-splicing factor SPF27	24568
B9J08_000066	OG6_152992	A0A2H1A6W2	RING-type domain-containing protein	52640
B9J08_000067	OG6_102985	A0A2H1A2F8	ADF-H domain-containing protein	37813
B9J08_000068	OG6r20_101231	A0A2H1A7Q0	Uncharacterized protein	41043
B9J08_000069	OG6_103376	A0A2H1A7V9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	18101
B9J08_000070	OG6r20_101500	A0A2H1A6W3	Uncharacterized protein	73135
B9J08_000071	OG6_112026	A0A2H1A2F2	Sphingolipid long chain base-responsive protein PIL1	35120
B9J08_000072	OG6_100380	A0A2H1A6X7	Protein SYM1	23799
B9J08_000073	OG6_100380	A0A2H1A6X6	Protein SYM1	20809
B9J08_000074	OG6_100293	A0A2H1A6X9	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit	86921
B9J08_000075	OG6_100534	A0A2H1A2E4	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	56197
B9J08_000076	OG6_102866	A0A2H1A6X3	Calponin-homology (CH) domain-containing protein	20627
B9J08_000077	OG6_102084	A0A2H1A6X4	Protein MAK16	35823
B9J08_000078	OG6_112506	A0A2H1A7R0	Sphingoid long-chain base transporter RSB1	51151
B9J08_000079	OG6_113582	A0A2H1A7W9	HTH APSES-type domain-containing protein	27069
B9J08_000080	OG6_100570	A0A2H1A3L0	Amino acid transporter transmembrane domain-containing protein	58609
B9J08_000081	OG6_112501	A0A2H1A6Y3	RRM domain-containing protein	115573
B9J08_000082	OG6_101761	A0A2H1A6Z0	GTP-binding nuclear protein	24459
B9J08_000083	OG6r20_119435	A0A2H1A6Y6	Uncharacterized protein	13721
B9J08_000084	OG6_115057	A0A2H1A2F0	Uncharacterized protein	11670
B9J08_000085	OG6_100805	A0A2H1A6Y9	Autophagy-related protein 16 domain-containing protein	45646
B9J08_000086	OG6r20_101802	A0A2H1A6Y1	Uncharacterized protein	38485
B9J08_000087	OG6_102165	A0A2H1A2H1	DNA replication licensing factor MCM5 (EC 3.6.4.12)	81581
B9J08_000088	OG6_102595	A0A2H1A7R8	Prefoldin subunit 3	21835
B9J08_000089	OG6_104409	A0A2H1A2E7	Peptidase S54 rhomboid domain-containing protein	38295
B9J08_000090	OG6_100803	A0A2H1A3M0	60S ribosomal protein L18-A	20746
B9J08_000091	OG6_100904	A0A2H1A3R4	40S ribosomal protein S19-A	16068
B9J08_000092	OG6_100025	A0A2H1A700	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic)	472150
B9J08_000093	OG6_100689	A0A2H1A6Z7	EF-hand domain-containing protein	59472
B9J08_000094	OG6_101943	A0A2H1A6Z8	DNA mismatch repair protein MutL	98154
B9J08_000095	OG6_173339	A0A2H1A6Z9	Zn(2)-C6 fungal-type domain-containing protein	99147
B9J08_000096	OG6_133435	A0A2H1A6Z1	Zn(2)-C6 fungal-type domain-containing protein	93376
B9J08_000097	OG6_102486	A0A2H1A2I0	carnosine N-methyltransferase (EC 2.1.1.22)	45864
B9J08_000098	OG6_100743	A0A5C1DTW8	Small GTP-binding protein	23022
B9J08_000099	OG6_107015	A0A2H1A2F7	Ca3427-like PBP 2 domain-containing protein	34146
B9J08_000100	OG6_100623	A0A2H1A3N1	Protein-tyrosine phosphatase	36222
B9J08_000101	OG6_102340	A0A2H1A703	K Homology domain-containing protein	28607
B9J08_000102	OG6_100083	A0A2H1A2I2	Heat shock protein SSB1	66248
B9J08_000103	OG6_101547	A0A2H1A706	non-specific serine/threonine protein kinase (EC 2.7.11.1)	48243
B9J08_000104	OG6r20_103967	A0A2H1A707	Leucine-rich repeat-containing protein 42	50069
B9J08_000105	OG6_102623	A0A2H1A2H2	Nudix hydrolase domain-containing protein	91239
B9J08_000106	OG6_108820	A0A2H1A701	Mitochondrial ATPase complex subunit ATP10	32033
B9J08_000107	OG6_100367	A0A5Q7YDP5	40S ribosomal protein S20	13108
B9J08_000108	OG6_101170	A0A2H1A7T5	PPM-type phosphatase domain-containing protein	63024
B9J08_000109	OG6_100340	A0A2H1A7Z8	DEXH box helicase	140495
B9J08_000110	OG6r20_103084	A0A2H1A702	RNase III domain-containing protein	31183
B9J08_000111	OG6_104982	A0A2H1A711	AAA+ ATPase domain-containing protein	84124
B9J08_000112	OG6_103566	A0A2H1A2J2	Pex19 protein	37046
B9J08_000113	OG6_101514	A0A2H1A716	SUMO-conjugating enzyme UBC9	18085
B9J08_000114	OG6_100250	A0A2H1A2I1	6-phosphofructo-2-kinase domain-containing protein	52517
B9J08_000115	OG6_222600	A0A2H1A721	SPS-sensor serine protease component SSY5	86709
B9J08_000116	OG6r20_110735	A0A2H1A2L7	Cell wall protein	30122
B9J08_000117	OG6r20_101107	A0A2H1A2K2	Uncharacterized protein	27358
B9J08_000118	OG6_105619	A0A2H1A7U5	Uncharacterized protein	72292
B9J08_000119	OG6r20_106972	A0A2H1A807	Uncharacterized protein	11226
B9J08_000120	OG6_102221	A0A2H1A3Q1	Bms1-type G domain-containing protein	87529
B9J08_000121	OG6_101830	A0A2H1A3U3	C2H2-type domain-containing protein	48149
B9J08_000122	OG6_100614	A0A2H1A730	Chaperone protein DnaJ	62133
B9J08_000123	OG6_102134	A0A2H1A728	Vacuolar protein 14 C-terminal Fig4-binding domain-containing protein	105750
B9J08_000124	OG6r20_101519	A0A2H1A2J1	Protein Zds1 C-terminal domain-containing protein	75042
B9J08_000127	OG6_101920	A0A2H1A732	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)	54877
B9J08_000128	OG6_100474	A0A2H1A719	triacylglycerol lipase (EC 3.1.1.3)	38279
B9J08_000129	OG6_104453	A0A2H1A725	Mitochondrial distribution and morphology protein 35	14162
B9J08_000130	OG6r20_102487	A0A2H1A7V6	DASH complex subunit ASK1 (Outer kinetochore protein ASK1)	52879
B9J08_000131	OG6_104322	A0A2H1A817	Uncharacterized protein	120849
B9J08_000132	OG6_129583	A0A2H1A723	Mannan polymerase II complex ANP1 subunit	52470
B9J08_000133	OG6_101492	A0A2H1A733	SMC hinge domain-containing protein	133148
B9J08_000134	OG6_114274	A0A2H1A740	Peroxin/Ferlin domain-containing protein	52064
B9J08_000135	OG6_102077	A0A2H1A736	Pre-mRNA-splicing factor 18	30968
B9J08_000136	OG6_101624	A0A2H1A739	60S ribosomal protein L38	8896
B9J08_000137	OG6_102568	A0A2H1A745	Uncharacterized protein	45039
B9J08_000138	OG6_103364	A0A2H1A729	arginyltransferase (EC 2.3.2.8)	53827
B9J08_000139	OG6_133175	A0A2H1A2L8	LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein	95075
B9J08_000140	OG6_102857	A0A2H1A2M0	Cytochrome c oxidase subunit (Cytochrome c oxidase polypeptide VIa)	16141
B9J08_000141	OG6_100728	A0A2H1A2J3	Protein phosphatase PP2A regulatory subunit B	58769
B9J08_000142	OG6_100814	A0A2H1A734	40S ribosomal protein S26	20461
B9J08_000143	OG6_102678	A0A2H1A743	Uncharacterized protein	20536
B9J08_000144	OG6_500110	A0A2H1A749	D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein	40414
B9J08_000145	OG6_113608	A0A2H1A746	Actin cytoskeleton-regulatory complex protein SLA1	137019
B9J08_000146	OG6_103808	A0A2H1A2K5	mRNA m(6)A methyltransferase (EC 2.1.1.348)	56616
B9J08_000147	OG6_105676	A0A2H1A755	DUF962 domain protein	22104
B9J08_000148	OG6_100521	A0A2H1A737	dolichyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.18)	83991
B9J08_000149	OG6_127173	A0A2H1A744	FYVE-type domain-containing protein	84492
B9J08_000150	OG6_103173	A0A2H1A7X4	Succinate dehydrogenase, cytochrome b556 subunit	19538
B9J08_000151	OG6_131521	A0A2H1A838	F-box domain-containing protein	73276
B9J08_000152	OG6r20_101643	A0A2H1A742	Hap4 transcription factor heteromerisation domain-containing protein	47924
B9J08_000153	OG6_129990	A0A2H1A752	Uncharacterized protein	7700
B9J08_000154	OG6_104789	A0A2H1A758	COX assembly mitochondrial protein	14233
B9J08_000155	OG6_116989	A0A2H1A757	Kinetochore protein Spc24	24270
B9J08_000156	OG6_114551	A0A2H1A2N0	Large ribosomal subunit protein mL60	13603
B9J08_000157	OG6_129937	A0A2H1A765	Uncharacterized protein	13429
B9J08_000158	OG6r20_106955	A0A2H1A748	Uncharacterized protein	21294
B9J08_000159	OG6_210574	A0A2H1A754	Uncharacterized protein	109546
B9J08_000160	OG6_500388	A0A2H1A7Y4	U1 small nuclear ribonucleoprotein component SNU71	63551
B9J08_000161	OG6_104156	A0A2H1A854	Suppressor of forked domain-containing protein	83707
B9J08_000162	OG6_109058	A0A2H1A753	DNA repair protein rhp7 treble clef domain-containing protein	71980
B9J08_000163	OG6_103009	A0A2H1A762	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	31288
B9J08_000164	OG6_100151	A0A2H1A768	Pleiotropic ABC efflux transporter of multiple drugs CDR1	169964
B9J08_000165	OG6_105034	A0A2H1A767	Ubiquitin-like domain-containing protein	8463
B9J08_000166	OG6_101977	A0A2H1A770	Pre-mRNA-splicing factor CLF1	84905
B9J08_000168	OG6_114877	A0A2H1A2N9	FAD-binding FR-type domain-containing protein	85156
B9J08_000169	OG6_105315	A0A2H1A759	Sulfiredoxin (EC 1.8.98.2)	14028
B9J08_000170	OG6_107140	A0A2H1A764	Iron permease FTR1	43827
B9J08_000171	OG6_104394	A0A2H1A7Z4	Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23)	45406
B9J08_000172	OG6_102726	A0A2H1A869	Major facilitator superfamily (MFS) profile domain-containing protein	59507
B9J08_000173	OG6_102032	A0A2H1A763	quinol--cytochrome-c reductase (EC 7.1.1.8)	31486
B9J08_000174	OG6_100353	A0A2H1A772	cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase)	42639
B9J08_000175	OG6_100143	A0A2H1A778	Calcium-translocating P-type ATPase, PMCA-type	129311
B9J08_000176	OG6_500111	A0A2H1A777	Uncharacterized protein	27888
B9J08_000177	OG6_106042	A0A2H1A3Z5	Uncharacterized protein	43495
B9J08_000178	OG6_106080	A0A2H1A784	Oleate-induced peroxisomal protein POX18	14097
B9J08_000179	OG6_500295	A0A2H1A769	Regulator of rDNA transcription 14	22600
B9J08_000180	OG6_102900	A0A2H1A2N3	MMS19 nucleotide excision repair protein	120407
B9J08_000181	OG6_102307	A0A2H1A804	Cell morphogenesis protein PAG1	316095
B9J08_000182	OG6_103017	A0A2H1A886	C3H1-type domain-containing protein	37459
B9J08_000183	OG6_122937	A0A2H1A776	Phosphatidate phosphatase APP1 catalytic domain-containing protein	69354
B9J08_000184	OG6_113935	A0A2H1A782	Uncharacterized protein	68652
B9J08_000185	OG6_101127	A0A2H1A787	40S ribosomal protein S7	21423
B9J08_000186	OG6_101105	A0A2H1A788	Ribose-5-phosphate isomerase (EC 5.3.1.6) (D-ribose-5-phosphate ketol-isomerase) (Phosphoriboisomerase)	25275
B9J08_000187	OG6_103717	A0A2H1A405	Small GTP-binding protein	19687
B9J08_000188	OG6_100085	A0A2H1A793	RNA helicase (EC 3.6.4.13)	85204
B9J08_000189	OG6_101512	A0A2H1A779	ABC1 atypical kinase-like domain-containing protein	66479
B9J08_000190	OG6_115046	A0A2H1A783	Uncharacterized protein	123854
B9J08_000192	OG6_102249	A0A2H1A814	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	131062
B9J08_000193	OG6_101563	A0A2H1A899	Methyltransferase small domain-containing protein	24067
B9J08_000194	OG6_102013	A0A2H1A786	Branchpoint-bridging protein	46429
B9J08_000195	OG6_121206	A0A2H1A792	Alpha/beta hydrolase fold-3 domain-containing protein	41621
B9J08_000196	OG6r20_109170	A0A2H1A797	Nucleoporin Nup82	85288
B9J08_000197	OG6_100282	A0A2H1A798	Chromosome segregation protein SMC	86828
B9J08_000198	OG6_103719	A0A2H1A7A1	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	41676
B9J08_000199	OG6r20_103498	A0A2H1A7A3	Uncharacterized protein	83420
B9J08_000200	OG6_101393	A0A2H1A2Q0	leucine--tRNA ligase (EC 6.1.1.4)	103887
B9J08_000201	OG6_122551	A0A2H1A795	Mitochondrial 15S rRNA processing factor CCM1	84433
B9J08_000202	OG6_101395	A0A2H1A821	Diphthine--ammonia ligase (EC 6.3.1.14) (Diphthamide synthase) (Diphthamide synthetase)	71983
B9J08_000203	OG6_100955	A0A2H1A2S6	40S ribosomal protein S9-A	21890
B9J08_000204	OG6_102093	A0A2H1A796	Protein CASP	77365
B9J08_000205	OG6_108229	A0A2H1A2Q2	DUF1749-domain-containing protein	33847
B9J08_000206	OG6_100992	A0A2H1A7A7	Protein transport protein SEC23	89376
B9J08_000207	OG6_500936	A0A2H1A7A9	60S ribosomal subunit assembly/export protein LOC1 (60S ribosomal subunit assembly/export protein loc1)	24164
B9J08_000208	OG6_101864	A0A2H1A2S3	Peptidase S54 rhomboid domain-containing protein	33075
B9J08_000209	OG6_101037	A0A2H1A7B1	60S acidic ribosomal protein P1-B	10497
B9J08_000210	OG6_110323	A0A2H1A2R0	Uncharacterized protein	30195
B9J08_000211	OG6r20_110710	A0A2H1A2R3	Uncharacterized protein	21996
B9J08_000213	OG6_114251	A0A2H1A833	dynamin GTPase (EC 3.6.5.5)	92121
B9J08_000214	OG6_102924	A0A2H1A8D0	NET1-associated nuclear protein 1	95508
B9J08_000215	OG6_101548	A0A2H1A7A6	DNA-directed RNA polymerases I, II, and III subunit RPABC5	8535
B9J08_000216	OG6_104171	A0A2H1A7B3	Peptidase M20 dimerisation domain-containing protein	63636
B9J08_000217	OG6_101181	A0A2H1A7B7	Large ribosomal subunit protein bL27m (54S ribosomal protein L2, mitochondrial)	42977
B9J08_000220	OG6_118295	A0A2H1A7B9	DUF3533 domain-containing protein	57328
B9J08_000221	OG6r20_109171	A0A2H1A7C3	Uncharacterized protein	18486
B9J08_000222	OG6_102888	A0A2H1A7C0	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	63817
B9J08_000223	OG6_100571	A0A2H1A7A8	GTP-binding protein YchF	45528
B9J08_000224	OG6r20_119436	A0A2H1A7B5	Uncharacterized protein	28701
B9J08_000225	OG6_122832	A0A2H1A843	SGF29 C-terminal domain-containing protein	29760
B9J08_000226	OG6_103495	A0A2H1A8E8	RRM domain-containing protein	47465
B9J08_000227	OG6_115065	A0A2H1A7B6	Uncharacterized protein	16741
B9J08_000228	OG6_500262	A0A2H1A7C4	DH domain-containing protein	148068
B9J08_000229	OG6_103350	A0A2H1A7C7	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	39449
B9J08_000230	OG6_100745	A0A2H1A2S0	cysteine desulfurase (EC 2.8.1.7)	51452
B9J08_000231	OG6_102662	A0A2H1A7D3	Mitochondrial carrier protein PET8	29614
B9J08_000232	OG6_103866	A0A2H1A7D2	Sister chromatid cohesion protein DCC1	43598
B9J08_000233	OG6_499906	A0A2H1A7B8	Large ribosomal subunit protein uL30-like ferredoxin-like fold domain-containing protein	30845
B9J08_000234	OG6_102578	A0A2H1A7C5	RFX-type winged-helix domain-containing protein	85458
B9J08_000235	OG6_102432	A0A2H1A858	Target of rapamycin complex subunit LST8	36021
B9J08_000236	OG6_100302	A0A2H1A8G1	J domain-containing protein	36179
B9J08_000237	OG6_102319	A0A2H1A2X4	Uncharacterized protein	66026
B9J08_000238	OG6_100377	A0A5Q7YC35	HIT domain-containing protein	16994
B9J08_000239	OG6_103301	A0A2H1A2V6	Protein transport protein SFT2	23551
B9J08_000240	OG6_499845	A0A2H1A7D9	Rad60/SUMO-like domain-containing protein	43981
B9J08_000241	OG6_105212	A0A2H1A7E3	Transcription factor IIIC 90kDa subunit N-terminal domain-containing protein	59426
B9J08_000242	OG6_100543	A0A2H1A7E1	Rhodanese domain-containing protein	46478
B9J08_000243	OG6_102210	A0A2H1A2V4	GOLD domain-containing protein	24511
B9J08_000244	OG6_104348	A0A2H1A2U1	Tyrosine specific protein phosphatases domain-containing protein	69478
B9J08_000245	OG6_103088	A0A2H1A874	NUC153 domain-containing protein	78630
B9J08_000246	OG6_118122	A0A2H1A8H8	TLDc domain-containing protein	72779
B9J08_000247	OG6_118284	A0A2H1A2Y3	DUF1753-domain-containing protein	27302
B9J08_000248	OG6_101068	A0A2H1A7E4	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	54162
B9J08_000249	OG6r20_115390	A0A2H1A7E7	Uncharacterized protein	48473
B9J08_000250	OG6_126505	A0A2H1A2T8	BHLH domain-containing protein	54819
B9J08_000251	OG6_102047	A0A2H1A7F4	aspartyl aminopeptidase (EC 3.4.11.21)	51079
B9J08_000252	OG6_121415	A0A2H1A7F1	Protein BIG1	35178
B9J08_000253	OG6_108388	A0A2H1A2W2	FAD dependent oxidoreductase domain-containing protein	50333
B9J08_000254	OG6_100832	A0A2H1A7E5	40S ribosomal protein S17-B	15756
B9J08_000255	OG6_100940	A0A2H1A887	Transcriptional adapter 2	50992
B9J08_000256	OG6_129700	A0A2H1A8I8	Uncharacterized protein	31449
B9J08_000257	OG6_102475	A0A2H1A7E6	U3 small nucleolar RNA-associated protein 6 N-terminal domain-containing protein	49802
B9J08_000258	OG6_102787	A0A2H1A7F3	Copper transport protein	17662
B9J08_000259	OG6_109522	A0A2H1A7F7	HIG1 domain-containing protein	20809
B9J08_000260	OG6_101778	A0A2H1A7F8	Translation initiation factor eIF2B subunit epsilon (eIF2B GDP-GTP exchange factor subunit epsilon)	80486
B9J08_000261	OG6_103798	A0A2H1A7G3	Squalene monooxygenase (EC 1.14.14.17)	54971
B9J08_000262	OG6_103671	A0A2H1A7G1	Vacuolar calcium ion transporter	43710
B9J08_000263	OG6_112495	A0A2H1A7E9	Cyclin N-terminal domain-containing protein	31670
B9J08_000264	OG6_101890	A0A2H1A7F6	T-complex protein 1 subunit alpha (CCT-alpha)	60125
B9J08_000266	OG6_107936	A0A2H1A8A3	Uncharacterized protein	35586
B9J08_000267	OG6_121206	A0A2H1A2V8	Alpha/beta hydrolase fold-3 domain-containing protein	45259
B9J08_000268	OG6_107571	A0A2H1A7F5	HMG box domain-containing protein	26593
B9J08_000269	OG6_104797	A0A2H1A7G4	Cell division control protein 42	21264
B9J08_000270	OG6_222562	A0A2H1A7H1	Zn(2)-C6 fungal-type domain-containing protein	67227
B9J08_000271	OG6_117015	A0A2H1A2V7	Cytochrome b mRNA-processing protein 4	17011
B9J08_000272	OG6_102376	A0A2H1A7H3	AP complex subunit sigma	19783
B9J08_000273	OG6_103826	A0A2H1A7H0	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	50297
B9J08_000274	OG6_100260	A0A2H1A7F9	phosphopyruvate hydratase (EC 4.2.1.11)	47107
B9J08_000275	OG6_102143	A0A2H1A2W9	Proteasome subunit alpha type	32283
B9J08_000276	OG6_100423	A0A2H1A8B6	Chaperone DnaK	72442
B9J08_000277	OG6r20_112426	A0A2H1A8L9	F-box domain-containing protein	60393
B9J08_000278	OG6_102910	A0A2H1A7G5	THUMP domain-containing protein	33848
B9J08_000279	OG6_102320	A0A2H1A7H4	ER membrane protein complex subunit 4	18738
B9J08_000280	OG6_103010	A0A2H1A7I1	Vacuolar protein sorting 55	16043
B9J08_000281	OG6_101102	A0A2H1A7H6	Histone-binding protein RBBP4 N-terminal domain-containing protein	50537
B9J08_000282	OG6_119798	A0A2H1A7I3	PHD-type domain-containing protein	45734
B9J08_000283	OG6_101441	A0A2H1A498	Secondary thiamine-phosphate synthase enzyme	15788
B9J08_000284	OG6_116858	A0A2H1A2Z2	Pyoverdine/dityrosine biosynthesis protein	53951
B9J08_000285	OG6_100153	A0A2H1A7H9	Protein kinase domain-containing protein	46692
B9J08_000286	OG6_102698	A0A2H1A8D2	CCAAT-binding factor domain-containing protein	116561
B9J08_000287	OG6_107719	A0A2H1A8N5	Small GTP-binding protein	35558
B9J08_000288	OG6_102972	A0A2H1A7H5	protein kinase C (EC 2.7.11.13)	126184
B9J08_000289	OG6_104395	A0A2H1A7I4	Uncharacterized protein	110205
B9J08_000290	OG6_100252	A0A2H1A7J4	non-specific serine/threonine protein kinase (EC 2.7.11.1)	162180
B9J08_000291	OG6_100157	A0A2H1A7I7	TOMM system kinase/cyclase fusion protein	73053
B9J08_000292	OG6r20_102777	A0A2H1A474	Uncharacterized protein	23254
B9J08_000293	OG6_117002	A0A2H1A7I6	Large ribosomal subunit protein mL40	16088
B9J08_000294	OG6_102943	A0A2H1A2Z8	Chromatin modification-related protein EAF6	15839
B9J08_000295	OG6r20_106115	A0A2H1A7I9	Uncharacterized protein	14023
B9J08_000296	OG6_101663	A0A2H1A8E6	Exocyst complex component SEC15	101066
B9J08_000297	OG6_137799	A0A2H1A2Y6	Increased recombination centers protein 6	30633
B9J08_000298	OG6_121421	A0A2H1A7I5	Ureidoglycolate hydrolase	23605
