Entry	Gene Names	Protein names	Mass
P03877	AI3 ENS3 I-SCEIII Q0060	Intron-encoded DNA endonuclease aI3 (DNA endonuclease I-SceIII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI3 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceIII)]	47917
P03878	AI4 ENS2 I-SCEII Q0065	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	63311
P03879	BI4 SCBI4 Q0120	Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]	74580
P03962	URA3 YEL021W	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	29240
P03965	CPA2 YJR109C J2002	Carbamoyl phosphate synthase arginine-specific large chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.4.16) (EC 6.3.5.5) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	123915
P04037	COX4 YGL187C G1362	Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)	17143
P04039	COX8 YLR395C L8084.14	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	8907
P04050	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220)	191612
P04051	RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C	DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase III subunit C160)	162301
P04147	PAB1 YER165W	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	64344
P04385	GAL1 YBR020W YBR0302	Galactokinase (EC 2.7.1.6) (Galactose kinase)	57944
P04386	GAL4 YPL248C	Regulatory protein GAL4	99403
P04387	GAL80 YML051W YM9827.01 YM9958.12	Galactose/lactose metabolism regulatory protein GAL80	48323
P04397	GAL10 YBR019C YBR0301	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	78195
P04449	RPL24A RP29 RPL30A YGL031C	Large ribosomal subunit protein eL24A (60S ribosomal protein L24-A) (L30) (RP29) (YL21)	17614
P04456	RPL25 YOL127W	Large ribosomal subunit protein uL23 (60S ribosomal protein L25) (RP16L) (YL25) (YP42')	15758
P04710	AAC1 YMR056C YM9796.09C	ADP,ATP carrier protein 1 (ADP/ATP translocase 1) (Adenine nucleotide translocator 1) (ANT 1)	34121
P04786	TOP1 MAK1 YOL006C	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Maintenance of killer protein 1)	89995
P04802	DPS1 APS APS1 YLL018C L1295	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	63516
P04806	HXK1 HKA YFR053C	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)	53738
P04807	HXK2 HEX1 HKB YGL253W NRB486	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	53942
P04817	CAN1 YEL063C	Arginine permease CAN1 (Canavanine resistance protein 1)	65785
P04819	CDC9 YDL164C	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	84828
P04821	CDC25 CTN1 YLR310C L2142.6	Cell division control protein 25	179092
P04840	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	Non-selective voltage-gated ion channel 1 (Outer mitochondrial membrane protein porin 1) (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	30428
P04911	HTA1 H2A1 SPT11 YDR225W YD9934.10	Histone H2A.1	13989
P04912	HTA2 H2A2 YBL003C YBL0103	Histone H2A.2	13989
P05030	PMA1 YGL008C	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	99619
P05066	PHR1 YOR386W	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	66274
P05150	ARG3 YJL088W J0924	Ornithine carbamoyltransferase (EC 2.1.3.3) (Ornithine transcarbamylase) (OTCase)	37845
P05317	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (A0) (L10e)	33717
P05318	RPP1A L12EIIA RPA1 RPLA1 YDL081C	Large ribosomal subunit protein P1A (P1A) (60S acidic ribosomal protein P1-alpha) (A1) (L12eIIA) (YP1alpha)	10908
P05319	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	Large ribosomal subunit protein P2A (P2A) (60S acidic ribosomal protein P2-alpha) (A2) (L12eIB) (L44) (YP2alpha)	10746
P05373	HEM2 YGL040C	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	37740
P05374	CHO2 PEM1 YGR157W G6673	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17) (Choline-requiring protein 2)	101204
P05375	OPI3 PEM2 YJR073C J1824	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	23150
P05453	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	Eukaryotic peptide chain release factor GTP-binding subunit (EC 3.6.5.-) (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	76551
P05626	ATP4 YPL078C LPF7C	ATP synthase subunit 4, mitochondrial	26925
P05737	RPL7A RPL6A RPL8A YL8A YGL076C	Large ribosomal subunit protein uL30A (60S ribosomal protein L7-A) (L6) (RP11) (YL8)	27638
P05739	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	Large ribosomal subunit protein eL6B (60S ribosomal protein L6-B) (L17) (RP18) (YL16)	19986
P05740	RPL17A RPL17 RPL20A YKL180W	Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17)	20549
P05744	RPL33A RPL37A YPL143W LPI4W P2625	Large ribosomal subunit protein eL33A (60S ribosomal protein L33-A) (L37) (RP47) (YL37)	12154
P05745	RPL36A RPL39A YMR194W YM9646.06	Large ribosomal subunit protein eL36A (60S ribosomal protein L36-A) (L39) (YL39)	11124
P05748	RPL15A RPL10A RPL13A YL10A YLR029C	Large ribosomal subunit protein eL15A (60S ribosomal protein L15-A) (L13) (RP15R) (YL10) (YP18)	24422
P05750	RPS3 SUF14 YNL178W N1653	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (RP13) (YS3)	26503
P05755	RPS9B RPS13B SUP46 YBR189W YBR1317	Small ribosomal subunit protein uS4B (40S ribosomal protein S9-B) (RP21) (S13) (YP28) (YS11)	22299
P05756	RPS13 RPS13C YDR064W D4252 YD9609.18	Small ribosomal subunit protein uS15 (40S ribosomal protein S13) (S27a) (YS15)	17029
P05759	RPS31 RPS37 UBI3 YLR167W L9470.14	Ubiquitin-ribosomal protein eS31 fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S31) (CEP76) (S37) (YS24)]	17216
P05986	TPK3 PKA3 YKL166C YKL630	cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)	45977
P06100	CDC36 DNA19 NOT2 YDL165W	General negative regulator of transcription subunit 2 (cell division cycle protein 36)	22363
P06101	CDC37 SMO1 YDR168W YD9489.03	Hsp90 co-chaperone Cdc37 (Cell division control protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	58385
P06102	NOT3 YIL038C	General negative regulator of transcription subunit 3	94403
P06103	PRT1 CDC63 YOR361C	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	88130
P06104	RAD6 UBC2 YGL058W	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	19706
P06105	SCP160 HX YJL080C J1017	Protein SCP160 (Protein HX)	134810
P06106	MET17 MET15 MET25 YLR303W L8003.1	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	48672
P06115	CTT1 YGR088W	Catalase T (EC 1.11.1.6)	64583
P06168	ILV5 YLR355C L9638.7	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Isoleucine-plus-valine requiring protein 5)	44368
P06169	PDC1 YLR044C L2104	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	61495
P06197	PIS1 YPR113W P8283.5	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PIS) (PtdIns synthase)	24824
P06208	LEU4 YNL104C N2173	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	68409
P06242	KIN28 YDL108W D2330	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	35247
P06243	CDC7 OAF2 YDL017W D2855	Cell division control protein 7 (EC 2.7.11.1)	58320
P06244	TPK1 PKA1 SRA3 YJL164C J0541	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	46076
P06245	TPK2 PKA2 YKR1 YPL203W	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	44220
P06367	RPS14A CRY1 RPL59 YCR031C YCR31C	Small ribosomal subunit protein uS11A (40S ribosomal protein S14-A) (RP59A)	14537
P06634	DED1 SPP81 YOR204W	ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1) (Defines essential domain protein 1)	65553
P06700	SIR2 MAR1 YDL042C D2714	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	63262
P06701	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Regulatory protein SIR3 (Silent information regulator 3)	111360
P06704	CDC31 DSK1 YOR257W	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	18751
P06738	GPH1 YPR160W P9584.1	Glycogen phosphorylase (EC 2.4.1.1)	103275
P06774	HAP2 YGL237C	Transcriptional activator HAP2	29867
P06777	RAD1 YPL022W	DNA repair protein RAD1	126370
P06778	RAD52 YML032C	DNA repair and recombination protein RAD52	52404
P06779	RAD7 YJR052W J1665	DNA repair protein RAD7	63777
P06780	RHO1 YPR165W P9325.3	GTP-binding protein RHO1 (EC 3.6.5.2) (Rho-type GTPase 1)	23152
P06781	RHO2 YNL090W N2237	GTP-binding protein RHO2 (EC 3.6.5.2)	21479
P06782	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	72045
P06784	STE7 YDL159W D1525	Serine/threonine-protein kinase STE7 (EC 2.7.12.2)	57709
P06785	CDC21 CRT9 TMP1 YOR074C YOR29-25	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9)	35047
P06786	TOP2 TOR3 YNL088W N2244	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)	164215
P06787	CMD1 YBR109C YBR0904	Calmodulin (CaM)	16135
P06838	RAD10 YML095C	DNA repair protein RAD10	24311
P06839	RAD3 REM1 YER171W	General transcription and DNA repair factor IIH helicase subunit XPD/RAD3 (TFIIH subunit XPD) (EC 5.6.2.3) (DNA 5'-3' helicase RAD3) (DNA repair helicase RAD3) (RNA polymerase II transcription factor B subunit RAD3) (TFB subunit RAD3)	89786
P06843	SPT2 SIN1 SPM2 YER161C	Protein SPT2 (Negative regulator of Ty transcription)	38551
P06844	SPT3 YDR392W D9509.12	Protein SPT3 (Positive regulator of Ty transcription)	38800
P07143	CYT1 CTC1 YOR065W YOR29-16	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)	34055
P07149	FAS1 YKL182W	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	228691
P07170	ADK1 AKY AKY1 AKY2 YDR226W YD9934.11	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	24255
P07213	TOM70 MAS70 OMP1 YNL121C N1905	Mitochondrial import receptor subunit TOM70 (70 kDa mitochondrial outer membrane protein) (Translocase of outer membrane 70 kDa subunit)	70123
P07244	ADE57 ADE5,7 YGL234W	Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GAR synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIR synthetase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]	86068
P07245	ADE3 YGR204W G7733	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	102205
P07246	ADH3 YMR083W YM9582.08	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (ADHIII) (YADH-3)	40370
P07248	ADR1 YDR216W YD8142.16 YD8142B.08	Regulatory protein ADR1	150941
P07249	ARG80 ARGR1 YMR042W YM9532.07	Arginine metabolism regulation protein I (Arginine-requiring protein 80)	19488
P07250	ARG82 ARGR3 GSL3 IPK2 YDR173C YD9395.06C	Inositol polyphosphate multikinase (IPMK) (EC 2.7.1.127) (EC 2.7.1.151) (Arginine metabolism regulation protein III) (GLE1 synthetic lethal protein 3) (Inositol polyphosphate kinase 2)	40353
P07251	ATP1 YBL099W YBL0827	ATP synthase subunit alpha, mitochondrial	58608
P07255	COX9 YDL067C D2520	Cytochrome c oxidase subunit 9, mitochondrial (Cytochrome c oxidase polypeptide VIIA)	6963
P07256	COR1 QCR1 YBL045C YBL0403	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	50228
P07257	QCR2 COR2 UCR2 YPR191W P9677.6	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome c oxidoreductase core protein 2)	40478
P07258	CPA1 YOR303W	Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)	45362
