Accession	Gene Names	Entry	Protein names	Mass
OG6_100578	C100550WA	A0A1D8PC84	Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	70261
OG6_102484	C100560WA	Q5ABB8	HSP70/90 family co-chaperone	45168
OG6_109925	C100570CA	A0A1D8PC90	Inner centromere protein ARK-binding domain-containing protein	88765
OG6_107133	C100580WA	Q5ABC2	Uncharacterized protein	34539
OG6_100780	C100590WA	Q5ABC3	Elongation factor Tu	46706
OG6_102115	C100600WA	A0A1D8PCA6	Anaphase promoting complex subunit 1	172803
OG6_102081	C100610WA	Q5ABC5	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	67506
OG6_112320	C100620WA	Q5ABC6	CBK1 kinase activator protein MOB2	35384
OG6_100306	C100630WA	Q5ABC8	D-lactate dehydrogenase (cytochrome) (EC 1.1.2.4)	63913
OG6_101824	C100640CA	A0A1D8PCA4	DNA-directed RNA polymerase (EC 2.7.7.6)	148379
OG6_100985	C100650CA	Q5ABD0	Vacuolar-sorting protein SNF7 (Vacuolar protein-sorting-associated protein 32)	25890
OG6_102103	C100660CA	Q5ABD1	t-SNARE syntaxin	38182
OG6_143740	C100670CA	Q5ABD2	Uga32p	66846
OG6_306051	C100680WA	Q5ABD3	Asm3p	82270
OG6r21_102025	C100690WA	A0A1D8PCB4	Ric1p	117724
OG6_103406	C100700WA	Q5ABD5	Complex 1 LYR protein domain-containing protein	14674
OG6_100137	C100710CA	A0A1D8PC97	Tubulin beta chain	49997
OG6_100566	C100730CA	A0A1D8PCA8	Serine/threonine-protein phosphatase (EC 3.1.3.16)	69624
OG6_100277	C100740CA	P78599	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	52931
OG6_110729	C100750CA	Q5ABD9	Vacuolar protein sorting-associated protein 27	94998
OG6_101140	C100760WA	Q5ABE0	Uncharacterized protein	24404
OG6_123860	C100770CA	Q5ABP8	Protein ROT1	29880
OG6_222615	C100780CA	Q5ABE2	Hypha-specific G1 cyclin-related protein 1	87674
OG6_109925	C100790WA	A0A1D8PCC4	Spindle pole body component Bbp1 C-terminal domain-containing protein	42370
OG6_106167	C100800CA	A0A1D8PCB9	C-8 sterol isomerase ERG2 (EC 5.-.-.-) (Ergosterol biosynthetic protein 2)	24559
OG6_102820	C100810WA	Q5ABE5	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation protein 13)	34283
OG6r21_103534	C100820WA	Q5ABE6	PCI domain-containing protein	40587
OG6_100259	C100830WA	A0A1D8PCB5	Uncharacterized protein	65836
OG6r21_108051	C100840CA	A0A1D8PCB2	Nrm1p	63700
OG6r21_126896	C100850WA	Q5ABE9	Ihd2p	28857
OG6_102211	C100860WA	Q5ABQ7	Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme ATG3)	38620
OG6_107778	C100870WA	A0A1D8PCB0	Phospholipid:diacylglycerol acyltransferase	78601
OG6r21_102819	C100880WA	A0A1D8PCC7	C2H2-type domain-containing protein	61677
OG6_101658	C100890WA	Q5ABR2	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	81157
OG6_102760	C100900WA	A0A1D8PCC8	Ribosome biogenesis regulatory protein	23450
OG6_104393	C100910WA	A0A1D8PCC6	Uncharacterized protein	29207
OG6_114273	C100920WA	Q5ABF8	C2 domain-containing protein	146148
OG6_101145	C100930CA	A0A1D8PCC3	Transcriptional regulator	159985
OG6_101401	C100940WA	A0A1D8PCD0	DNA-directed RNA polymerase II core subunit	14233
OG6_100759	C100950CA	Q5ABG0	Serine/threonine-protein kinase (EC 2.7.11.21)	75019
OG6_101262	C100960CA	Q5ABG1	Histone-lysine N-methyltransferase, H3 lysine-4 specific (EC 2.1.1.354) (COMPASS component SET1) (SET domain-containing protein 1)	119161
OG6r21_119617	C100970WA	A0A1D8PCD5	FAM192A/Fyv6 N-terminal domain-containing protein	18055
OG6_104476	C100980WA	A0A1D8PCD7	50S ribosomal protein L35	9884
OG6_107381	C100990CA	A0A1D8PCD2	Pro-apoptotic serine protease NMA111 (Pro-apoptotic serine protease nma111)	109515
OG6r21_104641	C101000CA	Q5A945	Origin recognition complex subunit 6	41148
OG6_103517	C101010WA	A0A1D8PCD3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	17816
OG6_101444	C101030WA	Q5A943	Protein-arginine omega-N methyltransferase	39313
OG6_100783	C101040WA	Q5A942	Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	16728
OG6_102127	C101050CA	A0A1D8PCD8	Trans-2-enoyl-CoA reductase (NADPH)	36182
OG6_102239	C101060WA	Q5A940	Multiprotein-bridging factor 1	16292
OG6_119801	C101070CA	A0A1D8PCF1	Kinetochore protein mis13	54676
OG6r21_101376	C101080WA	Q5A938	Uncharacterized protein	57947
OG6_109870	C101090CA	Q5A937	Small ribosomal subunit protein mS33	12039
OG6_104443	C101100WA	Q5A936	Cch1p	259558
OG6_101443	C101110CA	Q5A934	Zinc finger-containing protein	57020
OG6_112271	C101130WA	Q5A933	Ubiquitin-binding SDF ubiquitin ligase complex subunit	82187
OG6_106093	C101140CA	Q5A932	CBM21 domain-containing protein	78182
OG6_100931	C101150CA	Q5A931	tRNA wybutosine-synthesizing protein 4 (tRNA-yW synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	78835
OG6_102463	C101160CA	A0A1D8PCE7	Exosome non-catalytic core subunit	29930
OG6_122190	C101170CA	A0A1D8PCF5	Zcf17p	86034
OG6_103312	C101180CA	Q5A928	HORMA domain-containing protein	69399
OG6_100150	C101190CA	Q5A927	N,N-dimethylaniline monooxygenase	53072
OG6_186916	C101200WA	Q5A926	Stb5p	73088
OG6r21_112706	C101210WA	Q5A925	Uncharacterized protein	47799
OG6_138957	C101220CA	Q5A924	Uncharacterized protein	27301
OG6_101126	C101240WA	Q5A923	Ifd3p	39700
OG6_110891	C101250WA	Q5A922	Altered inheritance of mitochondria protein 9, mitochondrial (Found in mitochondrial proteome protein 29)	71466
OG6_102292	C101260CA	Q5A920	TRAPP subunit	17154
OG6r21_101657	C101270WA	A0A1D8PCF2	Cta9p	49358
OG6r21_126897	C101280CA	Q5A917	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22)	13546
OG6r21_101515	C101290CA	A0A1D8PCF7	Maintenance of telomere capping protein 4	86899
OG6_100096	C101300WA	Q5A915	Thioredoxin-like protein 1	36909
OG6_101861	C101320WA	A0A1D8PCG9	Mrs7p	58127
OG6_101166	C101330CA	P0CY19	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	16945
OG6r21_101658	C101340CA	Q5A911	DUF1746 domain-containing protein	33571
OG6_101294	C101350CA	P87206	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Translation initiation factor 1)	44599
OG6_101901	C101360CA	A0A1D8PCG4	Glycogenin glucosyltransferase	75977
OG6_101819	C101370CA	A0A1D8PCG7	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	9639
OG6_100839	C101380CA	A0A1D8PCG3	Trm2p	62453
OG6_220882	C101390CA	A0A1D8PCG5	Transcription activator GCR1-like domain-containing protein	68154
OG6_102878	C101400CA	Q5A905	Sphinganine kinase	55119
OG6_500422	C101420CA	Q5A904	Rho family GTPase	39090
OG6_106080	C101440CA	A0A1D8PCH9	Pox18p	14556
OG6_101512	C101450WA	A0A1D8PCI9	Protein kinase	63995
OG6_115046	C101460WA	A0A1D8PCH1	Uncharacterized protein	112402
OG6_106005	C101470WA	A0A1D8PCH2	mRNA-binding protein	48077
OG6_100429	C101480CA	Q5A900	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	26873
OG6_500975	C101490WA	Q5A8Z9	Mitochondrial outer membrane protein OM14 C-terminal domain-containing protein	21856
OG6r21_115508	C101510WA	A0A1D8PCH3	Uncharacterized protein	79875
OG6_100280	C101520CA	Q5A8Z4	Superoxide dismutase (EC 1.15.1.1)	26173
OG6_100350	C101530CA	A0A1D8PCI5	arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase)	70793
OG6_499934	C101540WA	Q5A8Z2	UBA domain-containing protein	70604
OG6_118299	C101550WA	Q5A8Z0	Vacuolar protein sorting-associated protein 17	59942
OG6_102691	C101560WA	A0A1D8PCK0	SUMO ligase	174495
OG6_102167	C101570CA	Q5A8Y7	DNA-directed RNA polymerase subunit	19149
OG6_101118	C101580WA	Q5A8Y6	Mitochondrial 54S ribosomal protein YmL23	20269
OG6_100190	C101590CA	Q5A8Y5	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	139852
OG6_105622	C101600WA	A0A1D8PCJ1	Large ribosomal subunit protein uL23m	34388
OG6_220121	C101610CA	A0A1D8PCI8	Protein YOP1	32854
OG6_100091	C101620CA	A0A1D8PCJ0	Oxidoreductase ENV9	37371
OG6_103519	C101630WA	A0A1D8PCJ4	NADH:ubiquinone oxidoreductase intermediate-associated protein 30 domain-containing protein	25897
OG6_100732	C101640WA	A0A1D8PCI6	Small ribosomal subunit protein eS4 (40S ribosomal protein S4)	29378
OG6_108620	C101650WA	Q5A8X9	IMP-specific 5'-nucleotidase 1 (EC 3.1.3.99)	52385
OG6_103054	C101670CA	A0A1D8PCM0	separase (EC 3.4.22.49)	184250
OG6_111592	C101680CA	Q5A8X7	Small ribosomal subunit protein mS41 (Protein FYV4, mitochondrial)	19825
OG6_100834	C101690CA	Q5A8X6	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	33673
OG6_104893	C101700WA	A0A1D8PCJ9	Arp8p	121353
OG6r21_102255	C101710WA	A0A1D8PCJ6	Uncharacterized protein	74150
OG6_104379	C101740WA	Q59T80	Carnitine O-acetyltransferase	90370
OG6_101689	C101750WA	A0A1D8PCJ5	Major facilitator superfamily (MFS) profile domain-containing protein	71432
OG6_114178	C101760WA	A0A1D8PCK2	Fgr38p	81298
OG6_115007	C101770WA	A0A1D8PCJ7	Mak32p	42478
OG6_153038	C101780CA	A0A1D8PCL5	Hol4p	69610
OG6_115793	C101790WA	A0A1D8PCM9	SBF complex DNA-binding subunit	114507
OG6r21_102517	C101800WA	Q59T87	Uncharacterized protein	26892
OG6_102015	C101810CA	Q59T88	Succinate-semialdehyde dehydrogenase (EC 1.2.1.16)	54642
OG6_102792	C101820CA	Q59T89	TFIIH complex kinase subunit	45892
OG6_102420	C101830CA	Q59T91	E2 ubiquitin-conjugating protein	21549
OG6_102354	C101840CA	Q59T92	Rho GDP-dissociation inhibitor	21298
OG6_100265	C101850CA	Q59T93	RRM domain-containing protein	31220
OG6_101177	C101860WA	Q59T94	Transcription elongation factor	34006
OG6_100154	C101870CA	Q59T95	Cystathionine beta-synthase (EC 4.2.1.22)	53887
OG6r21_140183	C101880CA	A0A1D8PCM3	Ptr3p	87184
OG6_105479	C101890CA	A0A1D8PCP0	UBX domain-containing protein	57269
OG6_102936	C101900CA	A0A1D8PCL3	SUI1 domain-containing protein	56717
OG6_102232	C101910WA	A0A1D8PCL4	Uncharacterized protein	39912
OG6_100076	C101920WA	A0A1D8PCM6	Roa1p	143785
OG6_111598	C101930WA	A0A1D8PCL8	AMP-activated protein kinase glycogen-binding domain-containing protein	40583
OG6_153948	C101940CA	Q59TA2	Signal recognition particle subunit	18628
OG6_103372	C101950CA	Q59TA3	Late endosome and vacuole interface protein 10	20609
OG6r21_139952	C101970WA	A0A1D8PCL0	Uncharacterized protein	10754
OG6_100060	C101980WA	A0A1D8PCL1	High-affinity glucose transporter 1	60670
OG6_108032	C101990WA	Q59TA5	Hsp30p	38043
OG6_104324	C102000WA	A0A1D8PCP9	Uncharacterized protein	38136
OG6_129996	C102010CA	A0A1D8PCM7	Zcf24p	80767
OG6_101474	C102020WA	Q59TA8	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	23755
OG6_102017	C102030CA	Q59TA9	Cytochrome b5 heme-binding domain-containing protein	16453
OG6_143281	C102040CA	A0A1D8PCM4	Ubiquitin-specific protease	94610
OG6_105067	C102050CA	Q59VZ6	Pho91p	95144
OG6_143621	C102060WA	A0A1D8PCL9	Zinc-ribbon 15 domain-containing protein	9818
OG6_108032	C102070WA	Q59VZ4	Hsp31p	37857
OG6_170801	C102080WA	Q59VZ3	Set6p	43918
OG6_103314	C102090CA	A0A1D8PCP2	CWF19-like protein DRN1	56602
OG6_143827	C102100WA	A0A1D8PCQ7	Kinesin motor domain-containing protein	61130
OG6_100060	C102110CA	Q59VZ0	Hgt2p	60389
OG6_111239	C102120CA	Q59VY9	Serine/threonine protein kinase	69327
OG6_102769	C102130CA	Q59VY8	Galactokinase (EC 2.7.1.6) (Galactose kinase)	57100
OG6_100506	C102150WA	A0A1D8PCN0	Bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase	75451
OG6_102399	C102160WA	Q59VY5	Trafficking protein particle complex subunit	18407
OG6_101389	C102170CA	Q59VY4	Gal102p	36509
OG6_101745	C102180WA	A0A1D8PCM2	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)	44768
OG6_103169	C102190WA	Q59VY2	tRNA N(3)-methylcytidine methyltransferase (EC 2.1.1.-)	36700
OG6_103775	C102200CA	Q59VY1	Autophagy protein 5	32199
OG6r21_109245	C102210WA	A0A1D8PCQ8	Uncharacterized protein	64453
OG6_102975	C102220CA	Q59VX9	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)	28680
OG6_500540	C102230WA	Q59VX8	Septation protein 7 (Seventh homolog of septin 1)	75795
OG6_101642	C102240WA	Q59VX7	Karyopherin beta	96537
OG6_103418	C102250WA	Q59VX6	Cwh8p	27736
OG6_102808	C102260CA	A0A1D8PCP6	Age3p	41903
OG6_101971	C102270CA	A0A1D8PCP4	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124)	30672
OG6_101106	C102280CA	A0A1D8PCN8	Psy2p	110909
OG6_102681	C102290CA	A0A1D8PCP8	ATP synthase complex assembly protein	47377
OG6_103090	C102300WA	Q59VX1	Prefolding complex chaperone subunit	13771
OG6_500766	C102310CA	Q59W04	EKC/KEOPS complex subunit GON7	13421
OG6_115064	C102320CA	A0A1D8PCP7	Bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase	61884
OG6_100790	C102330CA	A0A1D8PCQ5	Large ribosomal subunit protein uL24 (60S ribosomal protein L26-B)	14185
OG6_104555	C102350WA	Q59VW7	Mitochondrial import inner membrane translocase subunit TIM21	30085
OG6_143047	C102360CA	Q59VW6	1,3-beta-glucanosyltransferase PGA5 (EC 2.4.1.-) (Predicted GPI-anchored protein 5)	72378
OG6r21_101374	C102370CA	A0A1D8PCR0	PH domain-containing protein	137115
OG6_103223	C102380CA	A0A1D8PCQ6	Arf family GTPase	23121
OG6_102812	C102390WA	A0A1D8PCQ2	UBZ4-type domain-containing protein	95658
OG6_119656	C102400CA	A0A1D8PCR3	Alpha-1,6-mannosyltransferase	51496
OG6_103163	C102410CA	A0A1D8PCS2	Uncharacterized protein	40184
OG6_101172	C102420CA	A0A1D8PCT0	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase)	218098
OG6_101886	C102430CA	A0A1D8PCQ3	Eukaryotic translation initiation factor 2A (eIF-2A)	71092
OG6_102949	C102440CA	A0A1D8PCR2	Ubiquitin thioesterase OTU (EC 3.4.19.12)	37853
OG6_103042	C102450CA	A0A1D8PCR9	C2H2-type domain-containing protein	20683
OG6_100701	C102460WA	Q5AIB8	Large ribosomal subunit protein uL16 (60S ribosomal protein L10)	25189
OG6r21_126898	C102470WA	Q5AIB7	Transmembrane protein	18365
OG6_101634	C102480WA	P31353	Phosphomannomutase (PMM) (EC 5.4.2.8)	29019
OG6_112968	C102490CA	Q5AIB5	Uncharacterized protein	77398
OG6_103110	C102500WA	Q5AIB4	Protein FMP32, mitochondrial	23738
OG6_102735	C102510WA	Q5AIB3	Protein transport protein BOS1	28253
OG6_133467	C102520WA	Q5AIB2	Scw4p	57503
OG6_124587	C102530CA	A0A1D8PCR4	Dip5p	65196
OG6_129608	C102570CA	Q5AIA8	Put4p	63565
OG6_137565	C102580WA	A0A1D8PCS6	Hnm4p	55695
OG6_102840	C102590CA	Q5AIA6	pyridoxal 5'-phosphate synthase (glutamine hydrolyzing) (EC 4.3.3.6)	31779
OG6_103407	C102600WA	A0A1D8PCS7	glutaminase (EC 3.5.1.2)	28378
OG6_103753	C102610WA	Q5AIA4	Vacuolar membrane-associated protein IML1	168701
OG6_100697	C102620CA	Q5AIA2	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	38836
OG6_107620	C102630CA	Q5AIA1	Glucan 1,3-beta-glucosidase 2 (EC 3.2.1.58) (Exo-1,3-beta-glucanase 2)	54534
OG6_104980	C102640CA	Q5AIA0	Tom20p	19014
OG6_106922	C102650WA	A0A1D8PCU5	Uncharacterized protein	22607
OG6_110272	C102660CA	Q5AI97	Mitochondrial genome maintenance protein MGM101	30744
OG6_133175	C102670CA	A0A1D8PCT5	LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein	96156
OG6_133175	C102680CA	A0A1D8PCT7	LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein	98363
OG6r21_126899	C102690CA	Q5AI94	Uncharacterized protein	11228
OG6_102636	C102700CA	A0A1D8PCT3	Plasma membrane proteolipid 3	6291
OG6_100669	C102710WA	A0A1D8PCT4	phenylalanine--tRNA ligase (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit)	56482
OG6_116650	C102720WA	Q5AI92	C2H2-type domain-containing protein	45922
OG6r21_112707	C102730WA	Q5AI91	Uncharacterized protein	32930
OG6_102326	C102740CA	Q5AI90	NAD-dependent protein deacylase (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)	34116
OG6_103614	C102750CA	A0A1D8PCV8	Chromatin structure-remodeling complex subunit RSC1	89915
OG6_100709	C102760WA	P0CB54	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Golgi to ER traffic protein 3) (Guided entry of tail-anchored proteins 3)	39604
OG6_103660	C102770WA	A0A1D8PCV2	Small EDRK-rich factor-like N-terminal domain-containing protein	7065
OG6_118030	C102780WA	Q5AI87	Carboxymethylenebutenolidase	28382
OG6_101932	C102790WA	Q5AI86	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 39 kDa subunit homolog) (eIF-3 39 kDa subunit homolog)	38232
OG6r21_126900	C102800WA	A0A1D8PCU3	SHSP domain-containing protein	23526
OG6_105241	C102810WA	Q5AI84	DNA repair protein	97312
OG6_100454	C102820WA	A0A1D8PCV7	Alpha-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (L-aminoadipate-semialdehyde dehydrogenase)	155296
OG6r21_107057	C102830WA	A0A1D8PCU1	Uncharacterized protein	67506
OG6_103870	C102840WA	A0A1D8PCV9	Phosphodiesterase (EC 3.1.4.-)	65514
OG6_106131	C102850WA	Q5AI80	RNA-binding protein VTS1	74745
OG6_101684	C102860CA	Q5AI79	Synaptobrevin homolog YKT6	22864
OG6_101358	C102870WA	Q5AI78	Ypt7p	32059
OG6_104129	C102880CA	O94030	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)	27930
OG6r21_109246	C102890CA	Q5AI75	Uncharacterized protein	14168
OG6_108023	C102900CA	A0A1D8PCV3	mRNA splicing protein	83884
OG6_143697	C102910CA	Q5AI71	Autophagy-related protein 17	55407
OG6_102858	C102920WA	A0A1D8PCW7	Cdc73p	42487
OG6_118170	C102930CA	A0A1D8PCV0	threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase)	52312
OG6r21_106197	C102940CA	Q5AI68	Uncharacterized protein	18598
OG6_121128	C102950WA	Q5AI67	Uncharacterized protein	14430
OG6_112021	C102960CA	Q5AI66	Mitochondrial distribution and morphology protein 31	69014
OG6_102710	C102970WA	A0A1D8PCX5	Aminotransferase class V domain-containing protein	48119
OG6_100397	C102980WA	A0A1D8PCW3	Glyoxylate reductase	37825
OG6_107620	C102990CA	P29717	Glucan 1,3-beta-glucosidase (EC 2.4.1.-) (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	50056
OG6_127200	C103000WA	A0A1D8PCW2	Hol1p	65086
OG6_101037	C103010WA	Q9HFQ7	Large ribosomal subunit protein P1A (60S acidic ribosomal protein P1-A) (CaRP1A)	10996
OG6_100961	C103020CA	O59931	Large ribosomal subunit protein eL13 (60S ribosomal protein L13)	23054
OG6_100841	C103030WA	A0A1D8PCW6	Small ribosomal subunit protein uS9 (40S ribosomal protein S16A)	15739
OG6r21_112708	C103040WA	Q5AI58	Protein LOT5	28107
OG6_103153	C103050WA	A0A1D8PCY2	Protein HID1	118786
OG6_103365	C103060CA	Q5AI56	Tsr2p	24027
OG6_100406	C103070CA	A0A1D8PCY1	Origin recognition complex subunit 1	91194
OG6_108522	C103080CA	A0A1D8PCX9	Ras family GTPase	22835
OG6_100723	C103090WA	P40910	Small ribosomal subunit protein eS1 (40S ribosomal protein S1) (S3aE)	28987
OG6_100476	C103100WA	A0A1D8PCX0	Uncharacterized protein	158438
OG6_101188	C103110WA	A0A1D8PCX8	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	19763
OG6_127248	C103120WA	Q5AI48	FAS1 domain-containing protein CaO19.3004	46453
OG6_112760	C103130CA	A0A1D8PCX6	Phosphatidylinositol 4-phosphate-binding protein	64757
OG6_499989	C103140WA	Q5AI45	Biogenesis of lysosome-related organelles complex 1 subunit CNL1 (CNO-like protein 1)	18586
OG6_112036	C103150CA	A0A1D8PCZ2	DUF4112 domain-containing protein	25109
OG6_103250	C103160CA	Q5AI44	Ubiquinone biosynthesis protein COQ4, mitochondrial (4-hydroxy-3-methoxy-5-polyprenylbenzoate decarboxylase) (EC 4.1.1.-) (Coenzyme Q biosynthesis protein 4)	37590
OG6_127160	C103170CA	A0A1D8PCZ1	PXA domain-containing protein	74232
OG6_101396	C103180WA	Q5AI42	Octanoyltransferase (EC 2.3.1.181)	32655
OG6_117007	C103190CA	A0A1D8PCY4	Ecm33p	43539
OG6_129925	C103200CA	A0A1D8PCY0	Aro80p	118386
OG6_108099	C103210CA	A0A1D8PCY5	Septin	45819
OG6_100283	C103220CA	O42766	14-3-3 protein homolog	29480
OG6_191818	C103230CA	Q5AI37	Probable metalloprotease ARX1 (EC 3.-.-.-) (Associated with ribosomal export complex protein 1)	62233
OG6_101441	C103240WA	A0A1D8PD02	Secondary thiamine-phosphate synthase enzyme	15931
OG6_119798	C103250CA	Q5AI35	Spp1p	47177
OG6_102902	C103260WA	A0A1D8PCY7	SsDNA-dependent ATPase	76601
OG6_102318	C103270WA	A0A1D8PD03	Peptide hydrolase	42876
