Entry	Gene Names	Protein names	Mass
A0A1D8PKE2	PBS2 CAALFM_C306070CA orf19.7388	mitogen-activated protein kinase kinase (EC 2.7.12.2)	59350
A0A1D8PKY1	CNH1 CAALFM_C400040WA orf19.8001	Cnh1p	88820
A0A1D8PKY7	HIS4 CAALFM_C400140CA orf19.13084	Histidine biosynthesis trifunctional protein [Includes: Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphohydrolase (EC 3.6.1.31); Histidinol dehydrogenase (HDH) (EC 1.1.1.23)]	91900
A0A1D8PLU5	CSH3 CAALFM_C403390WA orf19.10874	Csh3p	26217
A0A1D8PMF6	VPS11 CAALFM_C405910CA orf19.11881	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27)	126083
A0A1D8PMM1	TOP2 CAALFM_C406600WA orf19.10391	DNA topoisomerase 2 (EC 5.6.2.2)	165363
A0A1D8PMU9	VIP1 AFL1 CAALFM_C500180WA orf19.8595	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24)	83845
A0A1D8PN26	HAP5 CAALFM_C500940CA orf19.9529	Hap5p	40270
A0A1D8PN42	GPR1 CAALFM_C501250WA orf19.9499	Gpr1p	92341
A0A1D8PN61	SNF1 CAALFM_C501320WA orf19.9491	non-specific serine/threonine protein kinase (EC 2.7.11.1)	69763
A0A1D8PN96	TAC1 ZNC2 CAALFM_C501840CA orf19.10700	Transcription factor TAC1 (Transcriptional activator of CDR genes 1) (Zn(2)-Cys(6) DNA-binding domains containing protein 2)	111696
A0A1D8PNR5	DUR31 CAALFM_C503480CA orf19.6656	Spermidine transporter DUR31	56592
A0A1D8PP43	ADH1 CAALFM_C505050WA orf19.11480	alcohol dehydrogenase (EC 1.1.1.1)	36909
A0A1D8PPK1	EBP1 orf19.125 CAALFM_C601180CA	Probable NADPH dehydrogenase (EC 1.6.99.1) (Estrogen-binding protein) (EBP)	46089
A0A1D8PQ86	ALS9 ALS11 CAALFM_C603710WA orf19.13164 orf19.5742	Agglutinin-like protein 9 (Adhesin 9)	201290
A0A1D8PQB9	ALS4 ALS12 CAALFM_C604130CA orf19.4555 orf19.4556	Agglutinin-like protein 4 (Adhesin 4)	220888
A0A1D8PQK6	PMR1 CAALFM_C700320CA orf19.7089	Calcium-transporting ATPase (EC 7.2.2.10)	100873
A0A1D8PQT2	MRE11 CAALFM_C701340WA orf19.6915	Double-strand break repair protein	77251
A0A1D8PQT9	GCN2 CAALFM_C701330CA orf19.6913	non-specific serine/threonine protein kinase (EC 2.7.11.1)	200976
A0A1D8PR83	CYR1 CAALFM_C703070CA orf19.12615	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	189399
A0A1D8PRF5	SLA2 CAALFM_C703810WA orf19.7201	Sla2p	120849
A0A1D8PRN8	KIN2 CAALFM_CR00260WA orf19.7510	non-specific serine/threonine protein kinase (EC 2.7.11.1)	133884
A0A1D8PS48	MCM6 CAALFM_CR02110WA orf19.10142	DNA replication licensing factor MCM6 (EC 3.6.4.12)	98417
A0A1D8PS50	RSR1 CAALFM_CR02140WA orf19.10145	Ras family GTPase	27632
A0A1D8PS71	PHO112 CAALFM_CR02400WA orf19.11211	Phytase PHO112 (EC 3.1.3.-) (EC 3.1.3.8) (Histidine acid phosphatase PHO112) (HAP) (Myo-inositol hexakisphosphate phosphohydrolase PHO112) (Myo-inositol-hexaphosphate 3-phosphohydrolase PHO112)	51296
A0A1D8PT03	YCP4 CAALFM_CR05380CA orf19.5286	NAD(P)H quinone oxidoreductase YCP4 (EC 1.6.5.2) (Flavodoxin-like protein YCP4) (FLP YCP4)	29783
A0A1D8PT38	CEK2 CAALFM_CR05940WA orf19.8091	Mitogen-activated protein kinase (EC 2.7.11.24)	43303
A0A1D8PTD0	POL2 CAALFM_CR07000CA orf19.9901	DNA polymerase epsilon catalytic subunit (EC 2.7.7.7)	255879
A0A1D8PTL7	TRK1 CAALFM_CR07960CA orf19.8233	Potassium transporter TRK1	119431
G1UB11	ERG5 CYP61 orf19.5178 CAALFM_C702840CA	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	59652
G1UB37	FLU1 CAALFM_C701520WA orf19.6577	Major facilitator superfamily multidrug transporter FLU1 (Fluconazole resistance protein 1)	67607
G1UB61	CDC11 CAALFM_C500070WA CaO19.5691	Septin CDC11 (Cell division control protein 11)	46712
G1UB63	CSA1 WAP1 CAALFM_C700090CA CaO19.7114	Cell wall protein 1 (Surface antigen protein 1) (Wall protein 1)	103515
G1UB67	DEF1 EDT1 EED1 CAALFM_CR09880WA CaO19.7561	Transcriptional regulator DEF1 (EFG1-dependent transcript protein 1)	99555
G1UBC2	EAP1 PGA47 CAALFM_C209530WA CaO19.1401 CaO19.8979	Cell wall adhesin EAP1 (Enhanced adherence to polystyrene protein 1) (GPI-anchored protein 47)	65265
O13289	CAT1 CTA1 CAALFM_C106810WA CaO19.13609 CaO19.6229	Peroxisomal catalase (EC 1.11.1.6)	54863
O13318	PHR2 CAALFM_C100220WA CaO19.13500 CaO19.6081	pH-responsive protein 2 (pH-regulated protein 2)	58716
O13426	SHM2 CAALFM_C603760CA CaO19.13173 CaO19.5750	Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (SHMII) (Serine methylase)	52038
O42766	BMH1 BMH CAALFM_C103220CA CaO19.10532 CaO19.3014	14-3-3 protein homolog	29480
O43133	TBP1 TBP CAALFM_C110660WA CaO19.1837 CaO19.9395	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	26601
O59923	SIR2 SIR21 CAALFM_C201330CA CaO19.1992 CaO19.9544	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	58272
O74189	PMT1 CAALFM_C702890CA CaJ7.0330 CaO19.12638 CaO19.5171	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 (Protein mannosyltransferase 1) (EC 2.4.1.109)	99935
O74198	ERG6 CAALFM_C302150CA CaO19.1631 CaO19.9199	Sterol 24-C-methyltransferase (SCMT) (SMT) (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase) (Ergosterol biosynthesis protein 6)	43072
O74201	UBC2 RAD6 CAALFM_C703870WA CaO19.7195	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	20576
O93852	ALO1 ALO CAALFM_CR09790WA CaO19.7551	D-arabinono-1,4-lactone oxidase (ALO) (EC 1.1.3.37) (EC 1.1.3.8) (EC 1.3.3.12) (FAD-linked oxidoreductase ALO1) (L-galactono-gamma-lactone oxidase)	63447
P0CU34	TSA1B CAALFM_C306330WA orf19.7398.1	Peroxiredoxin TSA1-B (EC 1.11.1.24) (Thiol-specific antioxidant protein) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin TSA1-B)	21860
P0CU38	ALS2 CAALFM_C604380WA CaO19.1097 CaO19.8699	Agglutinin-like protein 2 (Adhesin 2)	267652
P0CY24	CST20 HST20 STE20 CAALFM_C502340CA CaO19.11717 CaO19.4242	Serine/threonine-protein kinase CST20 (EC 2.7.11.1)	132773
P0CY27	SAP1 PEP1 PEP10 PRA10 CAALFM_C603490CA CaO19.13137 CaO19.5714	Secreted aspartic protease 1 (ACP 1) (Aspartate protease 1) (EC 3.4.23.24) (Candidapepsin-1) (Pepsinogen-1) (Pepsinogen-10)	41602
P0CY29	SAP3 CAALFM_C305230WA CaO19.13422 CaO19.6001	Secreted aspartic protease 3 (ACP 3) (Aspartate protease 3) (EC 3.4.23.24) (Candidapepsin-3)	42806
P0CY31	SEC4 CAALFM_CR01750CA Ca49C4.03c CaO19.10103 CaO19.2571	Ras-related protein SEC4	23077
P0CY33	CDC42 CAALFM_C108450CA CaO19.390 CaO19.8020	Cell division control protein 42 homolog	21263
P0CY34	TUP1 CHP1 CAALFM_C100060WA CaO19.13528 CaO19.6109	Transcriptional repressor TUP1	57603
P0DJ06	SAP2 PEP11 PRA11 CAALFM_CR07800WA CaO19.11193 CaO19.3708	Secreted aspartic protease 2 (ACP 2) (Aspartate protease 2) (EC 3.4.23.24) (Candidapepsin-2) (Pepsinogen-11)	42316
P10613	ERG11 CYP51 ERG16 CAALFM_C500660CA CaO19.922	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthesis protein 11) (Sterol 14-alpha demethylase)	60675
P13649	URA3 CAALFM_C301350CA CaO19.1716 CaO19.9284	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)	29893
P22011	CYP1 CAALFM_C702380CA CaJ7.0279 CaO19.13826 CaO19.6472	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (Rotamase)	17575
P25997	CEF3 TEF3 CAALFM_C501580CA CaO19.11629 CaO19.4152	Elongation factor 3 (EF-3) (EC 3.6.4.-) (Eukaryotic elongation factor 3) (eEF3)	116925
P28870	RBP1 RBP11 CaO19.11186 CaO19.3702; RBP2 RBP12 CAALFM_C702570CA CaJ7.0299 CaO19.13810 CaO19.6452	FK506-binding protein 1 (FKBP) (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rapamycin-binding protein)	13267
P29717	XOG1 EXG EXG1 XOG CAALFM_C102990CA Ca49C10.05 CaO19.10507 CaO19.2990	Glucan 1,3-beta-glucosidase (EC 2.4.1.-) (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	50056
P30418	NMT1 CAALFM_C401440WA CaO19.12111 CaO19.4641	Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase)	51863
P30575	ENO1 CAALFM_C108500CA CaO19.395 CaO19.8025	Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	47232
P34948	PMI1 MANA CAALFM_C209640WA CaO19.1390	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	48867
P39827	CDC10 CAALFM_CR04570CA CaO19.548 CaO19.8183	Cell division control protein 10	40684
P40953	CHT2 CAALFM_C504130CA CaO19.11376 CaO19.3895	Chitinase 2 (EC 3.2.1.14)	60815
P40954	CHT3 CAALFM_CR10110WA CaO19.7586	Chitinase 3 (EC 3.2.1.14)	60061
P41797	HSP70 HS71 SSA1 SSA4 CAALFM_C113480WA CaO19.12447 CaO19.4980	Heat shock protein HSP70 (SSA subfamily protein 1)	70324
P43063	CDC28 CDK1 CAALFM_CR06050WA CaO19.11337 CaO19.3856	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 2)	36647
P43072	TDS4 BRF BRF1 CAALFM_CR05650WA CaO19.13970 CaO19.6649	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	61840
P43076	PHR1 CAALFM_C404530CA CaO19.11310 CaO19.3829	pH-responsive protein 1 (pH-regulated protein 1)	59457
P43079	CPH1 ACPR CAALFM_C107370CA CaO19.11912 CaO19.4433	Transcription factor CPH1	72916
P43094	SAP5 CAALFM_C603030WA CaO19.13032 CaO19.5585	Secreted aspartic protease 5 (ACP 5) (Aspartate protease 5) (EC 3.4.23.24) (Candidapepsin-5)	45649
P46273	PGK1 CAALFM_C600750CA CaO19.11135 CaO19.3651	Phosphoglycerate kinase (EC 2.7.2.3)	45180
P46587	SSA2 SSA1 CAALFM_C104300CA CaO19.1065 CaO19.8667	Heat shock protein SSA2 (SSA subfamily protein 2)	70071
P46592	MNT2 CAALFM_C301830CA CaO19.1663 CaO19.9232	Glycolipid 2-alpha-mannosyltransferase 2 (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase 2)	54562
P46593	HWP1 ECE2 CAALFM_C403570WA CaO19.1321 CaO19.8901	Hyphal wall protein 1 (Cell elongation protein 2)	65314
P46598	HSP90 CAALFM_C702030WA CaJ7.0234 CaO19.13868 CaO19.6515	Heat shock protein 90 homolog	80823
P46614	CDC19 PYK1 CAALFM_C205460WA CaO19.11059 CaO19.3575	Pyruvate kinase (PK) (EC 2.7.1.40)	55445
P52496	LIG4 CDC9 CAALFM_C203030WA CaO19.13220 CaO19.5798	DNA ligase 4 (CaLIG4) (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	108012
P53704	GFA1 CAALFM_C302280CA CaO19.1618	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	79254
P53705	BUD4 INT1 CAALFM_C502470WA CaO19.11733 CaO19.4257	Bud site selection protein BUD4 (Alpha-INT1) (Integrin alpha chain-like protein)	192915
P82610	MET6 CAALFM_CR01620CA CaO19.10083 CaO19.2551	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	85702
P82612	GPM1 CAALFM_C203270WA CaO19.8522 CaO19.903	Phosphoglycerate mutase (PGAM) (EC 5.4.2.11) (BPG-dependent PGAM) (MPGM) (Phosphoglyceromutase)	27454
P83774	ASC1 CAALFM_C701250WA CaJ7.0140 CaO19.6906	Small ribosomal subunit protein RACK1 (40S ribosomal protein ASC1) (Absence of growth suppressor of Cyp1 protein 1) (Cytoplasmic antigenic protein 1) (Guanine nucleotide-binding protein subunit beta-like protein)	34555
P83776	HXK2 CAALFM_CR04510WA CaO19.542 CaO19.8176	Hexokinase-2 (EC 2.7.1.1) (Cytoplasmic antigenic protein 3) (Hexokinase PII) (Hexokinase-B)	53416
P83782	QCR2 CAALFM_C503350WA CaO19.10167 CaO19.2644	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	39558
P86029	HQD2 CAALFM_C402230CA CaO19.12036 CaO19.4567	Catechol 1,2-dioxygenase (EC 1.13.11.1)	33800
P87020	PRA1 FBP1 CAALFM_C406980WA CaO19.10623 CaO19.3111	pH-regulated antigen PRA1 (58 kDa fibrinogen-binding mannoprotein)	33159
Q00310	MNT1 KRE2 KTR1 CAALFM_C301810CA CaO19.1665 CaO19.9234	Glycolipid 2-alpha-mannosyltransferase 1 (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase 1)	50004
Q07730	ECE1 CAALFM_C403470CA CaO19.10882 CaO19.3374	Extent of cell elongation protein 1 [Cleaved into: ECE1-I; ECE1-II; Candidalysin ECE1-III; ECE1-IV; ECE1-V; ECE1-VI; ECE1-VII; ECE1-VIII]	28878
Q3MNT0	SPT6 CAALFM_C704300WA CaJ7.0509 CaO19.7136	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)	162067
Q59KI0	UGP1 CAALFM_CR04660CA CaO19.1738 CaO19.9305	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	55552
Q59KI4	INO80 CAALFM_CR04720CA CaO19.1734 CaO19.9302	Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)	158823
Q59KM8	DBF2 CAALFM_C206670CA CaO19.1223 CaO19.8809	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	82356
Q59KY8	SIT4 CAALFM_C104380WA CaO19.12667 CaO19.5200	Serine/threonine-protein phosphatase SIT4 (EC 3.1.3.16)	35899
Q59KZ1	APE2 CAALFM_C104400CA CaO19.12664 CaO19.5197	Aminopeptidase 2 (EC 3.4.11.-)	104382
Q59L12	ALS3 ALS10 ALS8 CAALFM_CR07070CA CaO19.1816 CaO19.2355 CaO19.9379 CaO19.9891	Agglutinin-like protein 3 (3D9 antigen) (Adhesin 3)	123759
Q59LF3	RVS167 CAALFM_C604040CA CaO19.1220 CaO19.8807	Regulator of cytoskeleton and endocytosis RVS167	49220
Q59LK7	KIC1 CAALFM_C204760WA orf19.7821	non-specific serine/threonine protein kinase (EC 2.7.11.1)	96745
Q59LR2	MEC1 CAALFM_C504060CA CaO19.1283 CaO19.8870	Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1)	266545
Q59LY1	BRG1 GAT2 CAALFM_C105140WA CaO19.11538 CaO19.4056	Biofilm regulator 1	45513
Q59M56	SRR1 CAALFM_CR05610CA CaO19.13265 CaO19.5843	Stress response regulator protein 1	32139
Q59MD2	UME6 CAALFM_C106280CA CaO19.1822 CaO19.9381	Transcriptional regulatory protein UME6	91749
Q59MJ1	MRR2 ZCF34 CAALFM_C307860CA CaO19.6182	multidrug resistance regulator 2	82103
Q59MN0	VAC8 CAALFM_C405150WA CaO19.745 CaO19.8364	Vacuolar protein 8	63407
Q59MQ0	MYO5 CAALFM_C405100CA CaO19.738 CaO19.8357	Myosin-5 (Class I unconventional myosin MYO5) (Type I myosin MYO5)	146955
Q59MV9	YHB1 CAALFM_CR07790CA CaO19.11192 CaO19.3707	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)	45819
Q59N42	GLC7 CAALFM_CR07650WA orf19.13664	Serine/threonine-protein phosphatase (EC 3.1.3.16)	37824
Q59NG2	RAD52 CAALFM_C600510CA orf19.11684	DNA repair and recombination protein RAD52	62933
Q59NH8	CDC14 CAALFM_C600670WA CaO19.11669 CaO19.4192	Tyrosine-protein phosphatase CDC14 (EC 3.1.3.48)	61582
Q59NP5	SUN41 SUN4 CAALFM_C600820WA CaO19.11124 CaO19.3642	Secreted beta-glucosidase SUN41 (EC 3.2.1.-)	43693
Q59NX5	FGR27 CAALFM_C503680WA CaO19.6680	Filamentous growth regulator 27	89732
Q59P39	EFH1 PHD1 CAALFM_C206340WA CaO19.12953 CaO19.5498	Transcriptional regulator EFH1 (EFG1 homolog 1)	81374
Q59PZ5	GCN5 CAALFM_CR06710CA orf19.8324	Histone acetyltransferase GCN5 (EC 2.3.1.48)	52156
Q59Q46	IMH3 IMD3 CAALFM_C206390CA CaO19.18 CaO19.7689	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	56239
Q59QC7	UPC2 ECM22 CAALFM_C108460CA CaO19.391 CaO19.8021	Sterol uptake control protein 2	77035
Q59QW5	FLO8 CAALFM_C604350CA CaO19.1093 CaO19.8695	Transcriptional regulator of filamentous growth FLO8	87127
Q59RA2	PIS1 orf19.6860 CAALFM_C405210WA	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	26212
Q59RL7	CPH2 CAALFM_C600280WA CaO19.1187 CaO19.8778	Transcription factor CPH2 (Candida pseudohyphal regulator 2)	96046
Q59RQ0	PIF1 CAALFM_CR07360WA CaO19.13552 CaO19.6133	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	101321
Q59RQ2	KSR1 TSC10 CAALFM_CR07380CA CaO19.13550 CaO19.6131	3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase)	34926
Q59RR0	ACE2 CAALFM_CR07440WA CaO19.13543 CaO19.6124	Cell wall transcription factor ACE2	90571
Q59RW5	HXK1 NAG5 CAALFM_C604580WA CaO19.2154 CaO19.9701	N-acetylglucosamine kinase 1 (GlcNAc kinase 1) (EC 2.7.1.59) (Hexokinase 1) (EC 2.7.1.1)	54823
Q59S64	HRR25 CAALFM_C602340WA orf19.10980	non-specific serine/threonine protein kinase (EC 2.7.11.1)	50488
Q59S66	IPL1 CAALFM_C602320CA CaO19.10978 CaO19.3474	Aurora kinase (EC 2.7.11.1) (Spindle assembly checkpoint kinase)	60193
Q59S78	SAR1 CAALFM_C602220WA CaO19.10966 CaO19.3462	Small COPII coat GTPase SAR1 (EC 3.6.5.-)	21482
Q59SF7	PIR1 PIR2 CAALFM_C208870CA CaO19.220 CaO19.7851	Cell wall mannoprotein PIR1 (Protein with internal repeats 1)	40621
Q59SN6	CRZ2 CAALFM_CR07060CA CaO19.2356 CaO19.9892	Transcriptional regulator CRZ2 (Calcineurin-responsive zinc finger protein 2)	57443
Q59SU1	SAP9 YPS1 CAALFM_C303870CA CaO19.14190 CaO19.6928	Secreted aspartic protease 9 (ACP 9) (Aspartate protease 9) (EC 3.4.23.24) (Candidapepsin-9)	58483
Q59TB2	SUV3 CAALFM_C204350CA CaO19.11994 CaO19.4519	ATP-dependent RNA helicase SUV3, mitochondrial (EC 3.6.4.13)	81824
Q59TD5	NDH51 CAALFM_C204550CA orf19.11971	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2)	53834
Q59TP1	RBT1 RBT99 CAALFM_C403520CA CaO19.1327 CaO19.8907	Cell wall protein RBT1 (Repressed by TUP1 protein 1)	73619
Q59U10	BCR1 USV1 CAALFM_CR06440CA CaO19.723 CaO19.8342	Biofilm and cell wall regulator 1	80967
Q59UG2	SSU72 CAALFM_CR03210CA orf19.9939	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)	26164
Q59UP6	PGA10 CRW2 RBT51 RBT8 CAALFM_C400450CA CaO19.13119 CaO19.5674	GPI-anchored hemophore PGA10 (GPI-anchored protein 10) (Repressed by TUP1 protein 51) (Repressed by TUP1 protein 8)	25163
Q59UT4	RBT5 CAALFM_C400130WA CaO19.13081 CaO19.5636	GPI-anchored hemophore RBT5 (Repressed by TUP1 protein 5)	24173
Q59UT5	PGA7 CRW3 RBT6 CAALFM_C400120WA CaO19.13080 CaO19.5635	GPI-anchored hemophore PGA7 (Predicted GPI-anchored protein 7) (Repressed by TUP1 protein 6)	22420
Q59UY7	SEF1 CAALFM_CR02190CA CaO19.11237 CaO19.3753	Transcriptional regulatory protein SEF1	103901
Q59UY8	RAD51 CAALFM_CR02200CA orf19.11236	DNA repair protein RAD51 homolog	39549
Q59VF4	HAT1 CAALFM_C104670WA CaO19.779 CaO19.8401	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	48355
Q59VG6	ERG3 orf19.767 CAALFM_C104770CA	Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 sterol desaturase ERG3) (Ergosterol Delta(5,6) desaturase erg3) (Ergosterol biosynthesis protein 3) (Sterol-C5-desaturase ERG3)	45419
