Gene Names	Accession	Entry	Protein names	Mass
Q0140	OG6_500400	P02381	Small ribosomal subunit protein uS3m (Ribosomal protein VAR1, mitochondrial)	47123
Q0160	OG6_134355	P03882	Intron-encoded endonuclease I-SceI (EC 3.1.-.-) (21S rRNA intron maturase) (Homing endonuclease omega)	27683
Q0250	OG6_103253	P00410	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	28567
Q0255	OG6_128521	P03881	Uncharacterized mitochondrial protein RF1	56413
Q0275	OG6_104028	P00420	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	30360
YAL001C	OG6_198028	P34111	Transcription factor tau 138 kDa subunit (TFIIIC 138 kDa subunit) (Transcription factor C subunit 3)	132108
YAL002W	OG6_102677	P39702	Vacuolar protein sorting-associated protein 8 (Vacuolar protein-targeting protein 8)	144962
YAL003W	OG6_101695	P32471	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	22627
YAL005C	OG6_100083	P10591	Heat shock protein SSA1 (Heat shock protein YG100)	69657
YAL007C	OG6_103696	P39704	Protein ERP2	24064
YAL008W	OG6_499957	P18411	Protein FUN14	22063
YAL009W	OG6_115039	P18410	Sporulation-specific protein SPO7	30114
YAL010C	OG6_114985	P18409	Mitochondrial distribution and morphology protein 10 (Mitochondrial inheritance component MDM10)	56237
YAL011W	OG6_500215	P31376	SWR1-complex protein 3	72514
YAL012W	OG6_100353	P31373	Cystathionine gamma-lyase (gamma-CTLase) (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	42542
YAL013W	OG6_142300	P31385	Transcriptional regulatory protein DEP1	46978
YAL014C	OG6_103098	P31377	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)	29049
YAL015C	OG6_100563	P31378	Endonuclease III homolog 1 (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 1) (DNA glycosylase/AP lyase 1) (Endonuclease III-like glycosylase 1) (Redoxyendonuclease 1)	45577
YAL016W	OG6_101100	P31383	Protein phosphatase PP2A regulatory subunit A (PR65)	70907
YAL017W	OG6_104334	P31374	Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1)	152332
YAL018C	OG6_110243	P31379	Outer spore wall protein LDS1 (Lipid droplets in sporulation protein 1)	37050
YAL019W	OG6_103309	P31380	ATP-dependent helicase FUN30 (EC 3.6.4.12)	128507
YAL020C	OG6_105051	P31386	Protein KTI13 (Alpha-tubulin suppressor 1) (Kluyveromyces lactis toxin-insensitive protein 13)	36467
YAL021C	OG6_101771	P31384	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	94670
YAL022C	OG6_100863	P31381	Nucleoside transporter FUN26	58317
YAL023C	OG6_101353	P31382	Dolichyl-phosphate-mannose--protein mannosyltransferase 2 (EC 2.4.1.109)	86870
YAL024C	OG6_123083	P07866	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	163150
YAL025C	OG6_102084	P10962	Protein MAK16 (Maintenance of killer protein 16)	35696
YAL026C	OG6_100089	P39524	Phospholipid-transporting ATPase DRS2 (EC 7.6.2.1)	153765
YAL027W	OG6_500947	P39735	Single-strand annealing weakened protein 1	29770
YAL028W	OG6_500095	P39734	Protein HPH2 (Functionally related to TCP1 protein 2) (High pH protein 2)	58750
YAL029C	OG6_100101	P32492	Myosin-4 (SWI5-dependent HO expression protein 1)	169344
YAL030W	OG6_105078	P31109	Synaptobrevin homolog 1	13201
YAL031C	OG6_499956	P39732	GLC7-interacting protein 4	86636
YAL032C	OG6_102543	P28004	Pre-mRNA-processing protein 45	42483
YAL033W	OG6_103583	P28005	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	19574
YAL034C	OG6_222536	P28003	SWIRM domain-containing protein FUN19	47068
YAL034W-A	OG6_121243	P39731	Kinetochore-associated protein MTW1 (Mis12-like protein)	33243
YAL035W	OG6_101241	P39730	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	112268
YAL036C	OG6_102018	P39729	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	40701
YAL037C-A	OG6_500220	Q3E741	Putative uncharacterized protein YAL037C-A	3447
YAL037W	OG6_222537	P39728	Uncharacterized protein YAL037W	30457
YAL038W	OG6_100258	P00549	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	54545
YAL039C	OG6_101849	P06182	Holocytochrome-c synthase (EC 4.4.1.17) (Cytochrome c heme lyase) (CCHL)	30081
YAL040C	OG6_500965	P13365	G1/S-specific cyclin CLN3	64991
YAL041W	OG6_112509	P11433	Cell division control protein 24 (Calcium regulatory protein)	96940
YAL042W	OG6_101674	P39727	ER-derived vesicles protein ERV46	46235
YAL043C	OG6_137869	Q01329	Pre-tRNA-processing protein PTA1	88473
YAL044C	OG6_100619	P39726	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	18793
YAL044W-A	OG6_101206	Q3E793	BolA-like protein 1	12537
YAL046C	OG6_104163	P39724	BolA-like protein 3 (Altered inheritance of mitochondria protein 1)	13356
YAL047C	OG6_499942	P39723	Gamma tubulin complex adapter SPC72	72106
YAL048C	OG6_101658	P39722	Mitochondrial Rho GTPase 1 (EC 3.6.5.-) (GTPase EF-hand protein of mitochondria 1)	75150
YAL049C	OG6_102257	P39721	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	27089
YAL051W	OG6_222538	P39720	Oleate-activated transcription factor 1	118891
YAL053W	OG6_123074	P39719	Flavin carrier protein 2 (FAD transporter 2) (TRP-like ion channel FLC2)	87469
YAL054C	OG6_100430	Q01574	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	79141
YAL055W	OG6_500864	P39718	Peroxisome assembly protein 22 (Peroxin-22)	19877
YAL056W	OG6_222540	P39717	Guanine nucleotide-binding protein subunit beta 2 (Gbeta mimic kelch protein 2)	98656
YAL058W	OG6_102144	P27825	Calnexin homolog	56968
YAL059W	OG6_143832	P39715	Shuttling pre-60S factor ECM1 (Extracellular mutant protein 1) (Protein SIM1)	23891
YAL060W	OG6_152608	P39714	(R,R)-butanediol dehydrogenase (EC 1.1.1.4)	41582
YAL061W	OG6_100349	P39713	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	46099
YAL062W	OG6_100455	P39708	NADP-specific glutamate dehydrogenase 2 (NADP-GDH 2) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 2)	49627
YAL063C	OG6_128677	P39712	Flocculation protein FLO9 (Flocculin-9)	138073
YAL063C-A	OG6_500538	Q3E791	Uncharacterized protein YAL063C-A	11308
YAL064C-A	OG6_128677	Q6B2U8	Topoisomerase I damage affected protein 8	13886
YAL064W	OG6_500706	P39711	Putative uncharacterized protein YAL064W	11004
YAL064W-B	OG6_500237	O13512	Uncharacterized membrane protein YAL064W-B	13273
YAL065C	OG6_128677	O13511	Uncharacterized protein YAL065C	12919
YAL067C	OG6_124924	P39709	Probable transporter SEO1	68842
YAL067W-A	OG6_222541	Q8TGK6	Putative UPF0377 protein YAL067W-A	8759
YAL068C	OG6_109825	P0CE92	Seripauperin-8	12850
YAR002C-A	OG6_102210	Q05359	Protein ERP1	24723
YAR002W	OG6_500874	P39705	Nucleoporin NUP60 (Nuclear pore protein NUP60)	59039
YAR003W	OG6_103359	P39706	COMPASS component SWD1 (Complex proteins associated with SET1 protein SWD1) (Set1C component SWD1)	48655
YAR007C	OG6_101316	P22336	Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	70348
YAR008W	OG6_102602	P39707	tRNA-splicing endonuclease subunit SEN34 (EC 4.6.1.16) (Splicing endonuclease of 34 kDa) (tRNA-intron endonuclease SEN34)	31313
YAR009C	OG6_100069	O13527	Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	136732
YAR010C	OG6_100069	P0CX57	Transposon Ty1-A Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	49072
YAR014C	OG6_116980	P27637	Bud site selection protein 14	78981
YAR015W	OG6_101413	P27616	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	34603
YAR018C	OG6_104455	P22209	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	51203
YAR019C	OG6_104840	P27636	Cell division control protein 15 (EC 2.7.11.1)	110242
YAR020C	OG6_109825	P39545	Seripauperin-7	5674
YAR023C	OG6_111794	D6VPM8	Putative DUP240 protein DFP1	20703
YAR027W	OG6_111794	P39547	ULP1-interacting protein 3 (DUP240 protein UIP3)	27117
YAR028W	OG6_111794	P39548	Protein-toxin resistance protein KTD1 (Killer Toxin Defense 1)	26458
YAR029W	OG6_111794	P39549	DUP240 protein DFP2 (DUP240 family protein 2)	8910
YAR031W	OG6_111794	P39551	Pheromone-regulated membrane protein 9 (DUP240 protein PRM9)	35073
YAR033W	OG6_111794	P39552	Multicopy suppressor of SEC21 protein 28 (DUP240 protein MST28)	27091
YAR035C-A	OG6_500804	Q8TGV0	Uncharacterized protein YAR035C-A	3320
YAR035W	OG6_104379	P80235	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	77766
YAR042W	OG6_101373	P35845	Oxysterol-binding protein homolog 1 (Oxysterol-binding protein-related protein 1) (ORP 1) (OSBP-related protein 1)	135098
YAR050W	OG6_128677	P32768	Flocculation protein FLO1 (Flocculin-1)	160668
YAR064W	OG6_222542	P39563	Uncharacterized protein YAR064W	11139
YAR066W	OG6_162024	P0CX18	Putative GPI-anchored protein YAR066W	20594
YAR068W	OG6_500195	P39564	Uncharacterized protein YAR068W	18011
YAR071W	OG6_101372	P35842	Acid phosphatase PHO11 (EC 3.1.3.2) (P56)	52758
YBL001C	OG6_106489	P35195	UPF0045 protein ECM15 (Extracellular mutant protein 15)	11518
YBL002W	OG6_100082	P02294	Histone H2B.2	14237
YBL003C	OG6_100077	P04912	Histone H2A.2	13989
YBL004W	OG6_103119	P35194	U3 small nucleolar RNA-associated protein 20 (U3 snoRNA-associated protein 20) (U three protein 20)	287560
YBL005W	OG6_179530	P33200	Transcription factor PDR3 (Pleiotropic drug resistance protein 3)	112571
YBL005W-A	OG6_100069	Q12266	Transposon Ty1-BL Gag polyprotein (Gag-p49) (Transposon Ty1 protein A) (TY1A) (TYA) (p58) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Gag-p4]	49285
YBL005W-B	OG6_100069	Q12490	Transposon Ty1-BL Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]	198969
YBL006C	OG6_500821	P38210	Chromatin structure-remodeling complex protein RSC14 (Low dye-binding protein 7) (Remodel the structure of chromatin complex subunit 14)	19792
YBL007C	OG6_113608	P32790	Actin cytoskeleton-regulatory complex protein SLA1	135848
YBL008W	OG6_103167	P32479	Protein HIR1 (Histone transcription regulator 1)	93858
YBL008W-A	OG6_500514	Q3E821	Uncharacterized protein YBL008W-A	9481
YBL009W	OG6_193608	P32789	Serine/threonine-protein kinase Haspin homolog ALK2 (EC 2.7.11.1)	76372
YBL010C	OG6_500910	P32788	Clathrin adapter accessory protein LAA2 (Large adaptin accessory protein 2)	32639
YBL011W	OG6_105381	P32784	Glycerol-3-phosphate O-acyltransferase 1 (G-3-P acyltransferase 1) (GPAT 1) (EC 2.3.1.15) (Dihydroxyacetone phosphate acyltransferase 1) (DHAP-AT 1) (EC 2.3.1.42) (Glycerol-3-phosphate / dihydroxyacetone phosphate acyltransferase 1) (Suppressor of choline-transport mutants 1)	85694
YBL013W	OG6_101497	P32785	Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)	44617
YBL014C	OG6_500861	P32786	RNA polymerase I-specific transcription initiation factor RRN6	102049
YBL015W	OG6_109868	P32316	Acetyl-CoA hydrolase (EC 3.1.2.1) (Acetyl-CoA deacylase) (Acetyl-CoA acylase)	58712
YBL016W	OG6_100339	P16892	Mitogen-activated protein kinase FUS3 (MAP kinase FUS3) (EC 2.7.11.24)	40772
YBL017C	OG6_101285	P32319	Vacuolar protein sorting/targeting protein VPS10 (Carboxypeptidase Y receptor) (CPY receptor) (Carboxypeptidase Y-deficient protein 1) (Sortilin VPS10) (Vacuolar carboxypeptidase sorting receptor VPS10) (Vacuolar protein sorting-associated protein 10) (Vacuolar protein-targeting protein 1)	177777
YBL018C	OG6_131696	P38208	Ribonucleases P/MRP protein subunit POP8 (EC 3.1.26.5) (RNA-processing protein POP8) (RNases P/MRP 15.5 kDa subunit)	15512
YBL019W	OG6_105226	P38207	DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.11.2) (AP endonuclease 2) (Apurinic-apyrimidinic endonuclease 2)	59445
YBL020W	OG6_103267	P38206	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Requiring fifty-three protein 1)	66211
YBL021C	OG6_101084	P13434	Transcriptional activator HAP3 (UAS2 regulatory protein A)	16154
YBL022C	OG6_100411	P36775	Lon protease homolog, mitochondrial (EC 3.4.21.53)	127112
YBL023C	OG6_101336	P29469	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	98780
YBL024W	OG6_101428	P38205	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase (EC 2.1.1.202) (Multisite-specific tRNA:m5C-methyltransferase) (tRNA (cytosine-5-)-methyltransferase NCL1) (tRNA methyltransferase 4)	77879
YBL025W	OG6_500873	P38204	RNA polymerase I-specific transcription initiation factor RRN10	16505
YBL026W	OG6_103409	P38203	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	11163
YBL027W	OG6_100773	P0CX83	Large ribosomal subunit protein eL19 (60S ribosomal protein L19-B) (L23) (RP15L) (RP33) (YL14)	21704
YBL028C	OG6_129994	P38202	UPF0642 protein YBL028C	12401
YBL029C-A	OG6_135805	Q3E756	UPF0768 protein YBL029C-A	11161
YBL029W	OG6_500824	P38201	Uncharacterized protein YBL029W	42604
YBL030C	OG6_100505	P18239	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)	34426
YBL031W	OG6_500881	P38200	Mitotic spindle-associated protein SHE1 (Sensitive to high expression protein 1)	38015
YBL032W	OG6_103746	P38199	Heterogeneous nuclear rnp K-like protein 2 (KH domain-containing protein 1)	41683
YBL033C	OG6_100984	P38066	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	38332
YBL034C	OG6_500777	P38198	Protein STU1 (Suppressor of tubulin 1)	174177
YBL035C	OG6_102459	P38121	DNA polymerase alpha subunit B (DNA polymerase I subunit B) (DNA polymerase alpha:primase complex p86 subunit) (Pol alpha-primase complex p86 subunit) (DNA polymerase-primase complex p74 subunit)	78774
YBL036C	OG6_101083	P38197	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	29123
YBL037W	OG6_101447	P38065	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)	115012
YBL038W	OG6_101573	P38064	Large ribosomal subunit protein uL16m (54S ribosomal protein L16, mitochondrial) (YmL47)	26518
YBL039C	OG6_100470	P28274	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	64710
YBL039W-B	OG6_500844	P0C268	Uncharacterized protein YBL039W-B	6873
YBL040C	OG6_101087	P18414	ER lumen protein-retaining receptor (Endoplasmic reticulum retention defective protein 2) (HDEL receptor)	25763
YBL041W	OG6_101631	P23724	Proteasome subunit beta type-6 (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5)	26871
YBL042C	OG6_110303	P38196	Uridine permease	72165
YBL043W	OG6_499927	P38195	Protein ECM13 (Extracellular mutant protein 13)	28562
YBL044W	OG6_500729	P38194	Uncharacterized protein YBL044W	13850
YBL045C	OG6_109499	P07256	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	50228
YBL046W	OG6_500615	P38193	Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PP4R2)	50655
YBL047C	OG6_101578	P34216	EH domain-containing and endocytosis protein 1 (Bud site selection protein 15)	150783
YBL049W	OG6_100480	P38191	Protein yippee-like MOH1	16085
YBL050W	OG6_101315	P32602	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha) (Vesicular-fusion protein SEC17) (alpha-SNAP chaperone)	32803
YBL051C	OG6_115950	P34217	RNA-binding protein PIN4 (Psi inducibility protein 4)	73776
YBL052C	OG6_103737	P34218	Histone acetyltransferase SAS3 (EC 2.3.1.48) (Something about silencing protein 3)	97582
YBL054W	OG6_222543	P34219	Transcriptional regulatory protein TOD6 (PAC-binding factor 1) (Twin of DOT6)	59226
YBL055C	OG6_100330	P34220	Deoxyribonuclease Tat-D (EC 3.1.21.-)	47390
YBL056W	OG6_100270	P34221	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	51332
YBL057C	OG6_100991	P34222	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)	22435
YBL058W	OG6_102041	P34223	UBX domain-containing protein 1 (Suppressor of high-copy PP1 protein)	46987
YBL059C-A	OG6_104914	Q3E7A4	COX assembly mitochondrial protein 2 (Cx9C motif-containing protein 2) (Mitochondrial metallochaperone-like protein CMC2)	12947
YBL059W	OG6_143732	P34224	Uncharacterized protein YBL059W	22278
YBL060W	OG6_500753	P34225	Guanine-nucleotide exchange factor YEL1 (EFA6-like protein 1)	78768
YBL061C	OG6_118125	P34226	Chitin synthase regulator SKT5	77066
YBL063W	OG6_102884	P28742	Kinesin-like protein KIP1 (Chromosome instability protein 9)	125795
YBL064C	OG6_100111	P34227	Peroxiredoxin PRX1, mitochondrial (Prx) (EC 1.11.1.25) (EC 1.11.1.27) (1-Cys PRX) (Glutaredoxin-dependent peroxiredoxin) (Glutathione-dependent peroxiredoxin) (Mitochondrial thiol peroxidase) (mTPx) (Thioredoxin peroxidase)	29496
YBL066C	OG6_500036	P34228	Putative transcription factor SEF1 (Suppressor of essential function protein 1) (Suppressor protein SEF1)	127992
YBL067C	OG6_101733	P38187	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	83856
YBL068W	OG6_100356	P38063	Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 4)	35720
YBL069W	OG6_187137	P35183	Protein AST1 (ATPAse stabilizing protein 1)	48349
YBL071C-B	OG6_500572	Q8TGU8	Uncharacterized protein YBL071C-B	3853
YBL071W-A	OG6_103160	Q3E840	Diphthamide biosynthesis protein 3 (Kluyveromyces lactis toxin-insensitive protein 11)	9356
YBL072C	OG6_100802	P0CX39	Small ribosomal subunit protein eS8A (40S ribosomal protein S8-A) (RP19) (S14) (YS9)	22490
YBL074C	OG6_103436	P32357	A1 cistron-splicing factor AAR2	41688
YBL075C	OG6_100083	P09435	Heat shock protein SSA3	70547
YBL076C	OG6_100811	P09436	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	122984
YBL078C	OG6_100707	P38182	Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier ATG8) (Cytoplasm to vacuole targeting protein 5)	13627
YBL079W	OG6_102040	P38181	Nucleoporin NUP170 (Nuclear pore protein NUP170)	169475
YBL080C	OG6_101213	P33893	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112)	61869
YBL081W	OG6_500348	P38180	Uncharacterized protein YBL081W	40767
YBL082C	OG6_103036	P38179	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (HM-1 killer toxin resistance protein)	52861
YBL084C	OG6_101939	P38042	Anaphase-promoting complex subunit CDC27 (Anaphase-promoting complex subunit 3) (Cell division control protein 27)	85396
YBL085W	OG6_103553	P38041	BEM1-interacting protein 1 (Growth inhibitory protein 7)	109295
YBL086C	OG6_109471	P38177	Uncharacterized protein YBL086C	51997
YBL087C	OG6_100370	P0CX41	Large ribosomal subunit protein uL14A (60S ribosomal protein L23-A) (L17a) (YL32)	14473
YBL088C	OG6_102827	P38110	Serine/threonine-protein kinase TEL1 (EC 2.7.11.1) (ATM homolog) (DNA-damage checkpoint kinase TEL1) (Telomere length regulation protein 1)	321524
YBL089W	OG6_100459	P38176	Vacuolar amino acid transporter 5	50892
YBL090W	OG6_106076	P38175	Small ribosomal subunit protein bS21m (37S ribosomal protein MRP21, mitochondrial)	20395
YBL091C	OG6_100815	P38174	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)	47518
YBL091C-A	OG6_101143	Q6Q595	Vesicle-associated membrane protein-associated protein SCS22 (VAMP-associated protein SCS22) (VAP homolog 2)	19678
YBL092W	OG6_100702	P38061	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	14771
YBL093C	OG6_500254	P25046	Mediator of RNA polymerase II transcription subunit 19 (Hypoxic gene repressor protein 3) (Mediator complex subunit 19) (Negative regulator of URS2 protein 3) (SNF1 suppressor protein 7)	24857
YBL095W	OG6_103459	P38172	MIOREX complex component 3 (Mitochondrial organization of gene expression protein 3)	30545
YBL097W	OG6_103100	P38170	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)	86216
YBL098W	OG6_103174	P38169	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	52429
YBL099W	OG6_100771	P07251	ATP synthase subunit alpha, mitochondrial	58608
YBL100W-A	OG6_100069	Q12260	Transposon Ty2-B Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) (A-438 protein) [Cleaved into: Capsid protein (CA); Gag-p4]	49898
YBL100W-B	OG6_100069	Q12491	Transposon Ty2-B Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	202215
YBL100W-C	OG6_500419	P0C269	Uncharacterized protein YBL100W-C	4642
YBL101C	OG6_222544	P38167	Protein ECM21 (Extracellular mutant protein 21)	123610
YBL102W	OG6_103301	P38166	Protein transport protein SFT2	24274
YBL103C	OG6_500054	P38165	Retrograde regulation protein 3	54140
YBL104C	OG6_104395	P38164	SEH-associated protein 4	117636
YBL105C	OG6_102972	P24583	Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)	131477
YBL106C	OG6_115599	P38163	Lethal(2) giant larvae protein homolog SRO77 (Sodium protection protein 2) (Suppressor of RHO3 protein 77)	111623
YBL107C	OG6_129167	P38162	Mitochondrial intermembrane space cysteine motif-containing protein MIX23 (Mitochondrial intermembrane space CX(n)C motif protein of 23 kDa)	22966
YBL108C-A	OG6_109825	Q3E770	Seripauperin-9	12850
YBL111C	OG6_108906	Q3E7Y5	Uncharacterized helicase-like protein YBL111C	76246
YBL112C	OG6_108906	Q3E7Y4	Putative uncharacterized helicase-like protein YBL112C	11974
YBL113C	OG6_108906	Q7M4S9	Uncharacterized protein YBL113C	86976
YBR001C	OG6_111461	P35172	Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	89679
