Accession	Entry
OG6_100280	Q5A8Z4
OG6_100350	A0A1D8PCI5
OG6_499934	Q5A8Z2
OG6_118299	Q5A8Z0
OG6_102691	A0A1D8PCK0
OG6_102167	Q5A8Y7
OG6_101118	Q5A8Y6
OG6_100190	Q5A8Y5
OG6_105622	A0A1D8PCJ1
OG6_220121	A0A1D8PCI8
OG6_100091	A0A1D8PCJ0
OG6_103519	A0A1D8PCJ4
OG6_100732	A0A1D8PCI6
OG6_108620	Q5A8X9
OG6_103054	A0A1D8PCM0
OG6_111592	Q5A8X7
OG6_100834	Q5A8X6
OG6_104893	A0A1D8PCJ9
OG6r21_102255	A0A1D8PCJ6
OG6_104379	Q59T80
OG6_101689	A0A1D8PCJ5
OG6_114178	A0A1D8PCK2
OG6_115007	A0A1D8PCJ7
OG6_153038	A0A1D8PCL5
OG6_115793	A0A1D8PCM9
OG6r21_102517	Q59T87
OG6_102015	Q59T88
OG6_102792	Q59T89
OG6_102420	Q59T91
OG6_102354	Q59T92
OG6_100265	Q59T93
OG6_101177	Q59T94
OG6_100154	Q59T95
OG6r21_140183	A0A1D8PCM3
OG6_105479	A0A1D8PCP0
OG6_102936	A0A1D8PCL3
OG6_102232	A0A1D8PCL4
OG6_100076	A0A1D8PCM6
OG6_111598	A0A1D8PCL8
OG6_153948	Q59TA2
OG6_103372	Q59TA3
OG6r21_139952	A0A1D8PCL0
OG6_100060	A0A1D8PCL1
OG6_108032	Q59TA5
OG6_104324	A0A1D8PCP9
OG6_129996	A0A1D8PCM7
OG6_101474	Q59TA8
OG6_102017	Q59TA9
OG6_143281	A0A1D8PCM4
OG6_105067	Q59VZ6
OG6_143621	A0A1D8PCL9
OG6_108032	Q59VZ4
OG6_170801	Q59VZ3
OG6_103314	A0A1D8PCP2
OG6_143827	A0A1D8PCQ7
OG6_100060	Q59VZ0
OG6_111239	Q59VY9
OG6_102769	Q59VY8
OG6_100506	A0A1D8PCN0
OG6_102399	Q59VY5
OG6_101389	Q59VY4
OG6_101745	A0A1D8PCM2
OG6_103169	Q59VY2
OG6_103775	Q59VY1
OG6r21_109245	A0A1D8PCQ8
OG6_102975	Q59VX9
OG6_500540	Q59VX8
OG6_101642	Q59VX7
OG6_103418	Q59VX6
OG6_102808	A0A1D8PCP6
OG6_101971	A0A1D8PCP4
OG6_101106	A0A1D8PCN8
OG6_102681	A0A1D8PCP8
OG6_103090	Q59VX1
OG6_500766	Q59W04
OG6_115064	A0A1D8PCP7
OG6_100790	A0A1D8PCQ5
OG6_104555	Q59VW7
OG6_143047	Q59VW6
OG6r21_101374	A0A1D8PCR0
OG6_103223	A0A1D8PCQ6
OG6_102812	A0A1D8PCQ2
OG6_119656	A0A1D8PCR3
OG6_103163	A0A1D8PCS2
OG6_101172	A0A1D8PCT0
OG6_101886	A0A1D8PCQ3
OG6_102949	A0A1D8PCR2
OG6_103042	A0A1D8PCR9
OG6_100701	Q5AIB8
OG6r21_126898	Q5AIB7
OG6_101634	P31353
OG6_112968	Q5AIB5
OG6_103110	Q5AIB4
OG6_102735	Q5AIB3
OG6_133467	Q5AIB2
OG6_124587	A0A1D8PCR4
OG6_129608	Q5AIA8
OG6_137565	A0A1D8PCS6
OG6_102840	Q5AIA6
OG6_103407	A0A1D8PCS7
OG6_103753	Q5AIA4
OG6_100697	Q5AIA2
OG6_107620	Q5AIA1
OG6_104980	Q5AIA0
OG6_106922	A0A1D8PCU5
OG6_110272	Q5AI97
OG6_133175	A0A1D8PCT5
OG6_133175	A0A1D8PCT7
OG6r21_126899	Q5AI94
OG6_102636	A0A1D8PCT3
OG6_100669	A0A1D8PCT4
OG6_116650	Q5AI92
OG6r21_112707	Q5AI91
OG6_102326	Q5AI90
OG6_103614	A0A1D8PCV8
OG6_100709	P0CB54
OG6_103660	A0A1D8PCV2
OG6_118030	Q5AI87
OG6_101932	Q5AI86
OG6r21_126900	A0A1D8PCU3
OG6_105241	Q5AI84
OG6_100454	A0A1D8PCV7
OG6r21_107057	A0A1D8PCU1
OG6_103870	A0A1D8PCV9
OG6_106131	Q5AI80
OG6_101684	Q5AI79
OG6_101358	Q5AI78
OG6_104129	O94030
OG6r21_109246	Q5AI75
OG6_108023	A0A1D8PCV3
OG6_143697	Q5AI71
OG6_102858	A0A1D8PCW7
OG6_118170	A0A1D8PCV0
OG6r21_106197	Q5AI68
OG6_121128	Q5AI67
OG6_112021	Q5AI66
OG6_102710	A0A1D8PCX5
OG6_100397	A0A1D8PCW3
OG6_107620	P29717
OG6_127200	A0A1D8PCW2
OG6_101037	Q9HFQ7
OG6_100961	O59931
OG6_100841	A0A1D8PCW6
OG6r21_112708	Q5AI58
OG6_103153	A0A1D8PCY2
OG6_103365	Q5AI56
OG6_100406	A0A1D8PCY1
OG6_108522	A0A1D8PCX9
OG6_100723	P40910
OG6_100476	A0A1D8PCX0
OG6_101188	A0A1D8PCX8
OG6_127248	Q5AI48
OG6_112760	A0A1D8PCX6
OG6_499989	Q5AI45
OG6_112036	A0A1D8PCZ2
OG6_103250	Q5AI44
OG6_127160	A0A1D8PCZ1
OG6_101396	Q5AI42
OG6_117007	A0A1D8PCY4
OG6_129925	A0A1D8PCY0
OG6_108099	A0A1D8PCY5
OG6_100283	O42766
OG6_191818	Q5AI37
OG6_101441	A0A1D8PD02
OG6_119798	Q5AI35
OG6_102902	A0A1D8PCY7
OG6_102318	A0A1D8PD03
OG6_112794	Q5AI30
OG6_104616	Q5AI28
OG6_100777	A0A1D8PCY8
OG6_102754	A0A1D8PCZ5
OG6_102025	Q5AI24
OG6_103112	Q5AI22
OG6_106907	Q5AI21
OG6_101314	Q5AI20
OG6_102222	A0A1D8PCZ6
OG6_100425	Q5AI15
OG6_100616	Q5AI14
OG6_100540	A0A1D8PD05
OG6_500046	A0A1D8PCZ8
OG6r21_108052	A0A1D8PD04
OG6_108836	Q5AI09
OG6_118274	Q5AI07
OG6_114861	A0A1D8PD21
OG6r21_101516	A0A1D8PD17
OG6_100860	A0A1D8PD13
OG6_101039	A0A1D8PD25
OG6_101954	Q5AI01
OG6_101123	Q5AI00
OG6_165199	A0A1D8PD11
OG6_101680	A0A1D8PD15
OG6_137788	Q5AHZ7
OG6_222604	A0A1D8PD24
OG6_102655	Q5AHZ4
OG6_101024	Q5AHZ3
OG6r21_167611	A0A1D8PD19
OG6_103527	Q5AHZ2
OG6_100609	Q5AHZ1
OG6_100322	P0CU35
OG6_104423	A0A1D8PD23
OG6_104378	Q5AHY9
OG6_102880	Q5AHY8
OG6r21_104642	A0A1D8PD34
OG6_100720	A0A1D8PD33
OG6_105573	Q5AIR7
OG6_102404	A0A1D8PD30
OG6_161859	A0A1D8PD52
OG6_100952	A0A1D8PD32
OG6_100239	A0A1D8PD38
OG6_153292	Q59VQ8
OG6_104240	A0A1D8PD35
OG6_110525	A0A1D8PD47
OG6_500837	Q59VR1
OG6_101762	A0A1D8PD39
OG6_104296	Q59VR3
OG6_102854	A0A1D8PD31
OG6_136807	A0A1D8PD64
OG6_102382	A0A1D8PD50
OG6_101821	A0A1D8PD51
OG6r21_103535	A0A1D8PD42
OG6r21_110846	A0A1D8PD43
OG6_101873	A0A1D8PD58
OG6_127549	A0A1D8PD45
OG6_127524	A0A1D8PD48
OG6_137696	A0A1D8PD63
OG6_115946	A0A1D8PD40
OG6_100625	Q59QL0
OG6r21_103121	A0A1D8PD60
OG6_103841	A0A1D8PD61
OG6_103094	A0A1D8PD49
OG6_193892	A0A1D8PD53
OG6_119785	Q59QH6
OG6_105888	A0A1D8PD55
OG6_129979	Q59QH4
OG6_101126	A0A1D8PD74
OG6_101126	Q59QH2
OG6_101912	A0A1D8PD81
OG6_103394	Q59QH0
OG6r21_107058	Q59QG8
OG6_100952	A0A1D8PD62
OG6_102100	A0A1D8PD57
OG6_103574	Q59VQ3
OG6_101562	A0A1D8PD68
OG6_101484	P83781
OG6_108921	A0A1D8PD80
OG6_102431	Q59VP9
OG6_102525	Q59VP7
OG6_101126	A0A1D8PD78
OG6_104650	Q59VP4
OG6_132750	A0A1D8PD75
OG6_100077	Q59VP2
OG6_100082	Q59VP1
OG6_111877	Q59VP0
OG6_104324	A0A1D8PD79
OG6_104146	A0A1D8PD83
OG6_102775	Q59VN7
OG6_102724	A0A1D8PDB0
OG6_100120	Q59VN4
OG6_100119	Q59VN2
OG6_123058	A0A1D8PD86
OG6_103140	Q59VN0
OG6_100430	Q8NJN3
OG6_100083	P46587
OG6_111207	Q59VM7
OG6_101500	Q59VM6
OG6_158762	Q59VM4
OG6_103454	A0A1D8PDB8
OG6r21_115509	A0A1D8PD94
OG6_138465	A0A1D8PD97
OG6_101408	Q59KY7
OG6_103044	Q59KY8
OG6_102701	A0A1D8PD99
OG6_100948	Q59KZ1
OG6_100390	Q59KZ2
OG6_100591	Q59KZ3
OG6_108186	A0A1D8PDA0
OG6r21_139956	Q59KZ4
OG6_108186	A0A1D8PDA4
OG6_151171	Q59RC4
OG6r21_115510	Q59RC2
OG6_114193	A0A1D8PDA9
OG6_103724	A0A1D8PDB1
OG6_104865	Q59RB8
OG6r21_106198	Q59RB7
OG6_100334	A0A1D8PDA6
OG6_105442	A0A1D8PDB2
OG6_102133	A0A1D8PDC9
OG6_102390	Q59RB3
OG6_102297	Q59RB2
OG6_143758	A0A1D8PDB7
OG6_106358	Q59RB0
OG6r21_115273	A0A1D8PDB6
OG6r21_102256	A0A1D8PDC7
OG6_100771	A0A1D8PDC4
OG6r21_103122	A0A1D8PDC2
OG6_101160	A0A1D8PDD2
OG6_112275	A0A1D8PDD7
OG6_105980	A0A1D8PDB5
OG6_108968	A0A1D8PDC6
OG6_102175	Q59VF4
OG6_112026	A0A1D8PDD1
OG6r21_110810	A0A1D8PDC0
OG6_100685	A0A1D8PDD4
OG6_116846	Q59VF9
OG6r21_126901	A0A1D8PDD0
OG6_101528	Q59VG1
OG6_101126	A0A1D8PDE2
OG6_100349	A0A1D8PDC5
OG6_100965	A0A1D8PDF2
OG6_102250	Q59VG6
OG6_102086	A0A1D8PDD9
OG6_102337	Q59VH0
OG6_101180	A0A1D8PDE1
OG6r21_101813	A0A1D8PDD8
OG6_102773	Q59VH3
OG6_101348	A0A1D8PDE3
OG6_108284	Q59VH5
OG6_112954	A0A1D8PDE5
OG6_114704	Q59VH7
OG6_104091	Q59VH8
OG6_100571	A0A1D8PDE8
OG6_105463	Q59VL7
OG6_108809	A0A1D8PDG0
OG6_101340	Q59VI2
OG6_108986	Q59VI3
OG6r21_107059	A0A1D8PDF0
OG6_500743	A0A1D8PDG3
OG6_102505	Q59MA9
OG6_103293	A0A1D8PDG5
OG6_101418	A0A1D8PDF7
OG6_588367	Q59MA6
OG6_100486	A0A1D8PDF5
OG6_115934	Q59MB6
OG6_102798	Q59MA3
OG6_101473	A0A1D8PDF4
OG6_101830	A0A1D8PDH5
OG6_104308	Q8TGB2
OG6_103247	A0A1D8PDH1
OG6_101418	Q59LX5
OG6_109344	A0A1D8PDG2
OG6_103629	P79023
OG6_102552	Q59LX9
OG6_130544	Q59LY1
OG6r21_167613	A0A1D8PDG7
OG6_102253	A0A1D8PDH0
OG6_500684	A0A1D8PDI5
OG6_103294	A0A1D8PDI3
OG6_103294	A0A1D8PDI1
OG6_166270	A0A1D8PDI8
OG6_499902	A0A1D8PDG9
OG6_103065	Q5A297
OG6_101831	Q5A298
OG6_101899	Q5A2A0
OG6_275813	Q5A299
OG6_100447	Q5A2A1
OG6_500647	Q5A2A2
OG6_103122	A0A1D8PDJ2
OG6_100673	Q5A2A5
OG6_100561	Q5A2A7
OG6_152865	A0A1D8PDI2
OG6_137734	A0A1D8PDI0
OG6_133412	A0A1D8PDI4
OG6_100743	Q5A2B1
OG6_101092	Q5A2B2
OG6_108604	A0A1D8PDJ5
OG6r21_104665	A0A1D8PDJ8
OG6r21_102026	A0A1D8PDK0
OG6_102939	Q5A2B6
OG6_101112	A0A1D8PDN3
OG6_500118	Q5A2B8
OG6r21_126902	Q5A2B9
OG6r21_126903	A0A1D8PDJ0
OG6r21_139958	Q5A2C1
OG6_101923	Q5A2C3
OG6_101405	A0A1D8PDJ9
OG6r21_104643	Q5A2C5
OG6_115066	Q5A2C6
OG6_103043	Q5A2C7
OG6_100584	A0A1D8PDP4
OG6r21_109248	A0A1D8PDK2
OG6_500287	A0A1D8PDL0
OG6r21_102027	A0A1D8PDK1
OG6_102705	A0A1D8PDK6
OG6_101172	A0A1D8PDL5
OG6_101213	Q5A9Z1
OG6_113599	Q5A9Z4
OG6_102877	A0A1D8PDL7
OG6_101114	Q5A9Z6
OG6_222558	Q5A9Z7
OG6_102040	A0A1D8PDK7
OG6_103356	Q5AA00
OG6_101436	Q5AA01
OG6r21_110812	Q5AA03
OG6_100707	P0C075
OG6_103247	A0A1D8PDL9
OG6_100755	A0A1D8PDL6
OG6_100282	A0A1D8PDN0
OG6_130274	A0A1D8PDM2
OG6r21_101132	Q5AA09
OG6_100109	A0A1D8PDM9
OG6_112445	Q5AA11
OG6r21_104644	A0A1D8PDP5
OG6_102106	Q5AA12
OG6_101532	Q5AA13
OG6_102832	Q5AA15
OG6_101540	A0A1D8PDM3
OG6_101243	A0A1D8PDN9
OG6r21_104033	A0A1D8PDM8
OG6_101243	Q5AA21
OG6_101243	A0A1D8PDP2
OG6_101243	Q5AA23
OG6r21_100711	A0A1D8PDR3
OG6_230682	A0A1D8PDN5
OG6_115574	Q5AA26
OG6r21_101814	A0A1D8PDN4
OG6_100503	A0A1D8PDN2
OG6_105067	A0A1D8PDP9
OG6r21_102028	A0A1D8PDN8
OG6r21_101815	Q5AA33
OG6r21_139959	A0A1D8PDQ8
OG6_101496	Q5AA37
OG6_102045	Q5AA38
OG6_120944	A0A1D8PDP0
OG6_113009	Q5AA40
OG6_113547	A0A1D8PDP3
OG6_152881	Q5AA42
OG6_101788	A0A1D8PDR1
OG6_115933	A0A1D8PDP8
OG6_100820	A0A1D8PDT0
OG6_101451	Q5AA46
OG6_102851	Q5AA47
OG6_100556	A0A1D8PDS9
OG6_100680	Q96VB9
OG6_101880	Q5AA50
OG6r21_110814	A0A1D8PDQ2
OG6_153335	A0A1D8PDR2
OG6r21_139961	A0A1D8PDS4
OG6_102107	Q5AA55
OG6_115022	A0A1D8PDT5
OG6r21_139962	A0A1D8PDS8
OG6_113166	A0A1D8PDQ5
OG6_102185	Q59MC6
OG6r21_126904	A0A1D8PDR0
OG6_111233	Q59MC8
OG6r21_139963	A0A1D8PDQ9
OG6r21_139964	Q59MD0
OG6_100323	A0A1D8PDS7
OG6_106185	Q59MD2
OG6_114264	A0A1D8PDU5
OG6_116096	A0A1D8PDT7
OG6r21_126905	Q5AAN5
OG6_101790	Q5AAN6
OG6r21_115511	Q5AAN7
OG6r21_108054	Q5AAN8
OG6_101218	A0A1D8PDR9
OG6_101802	A0A1D8PDS6
OG6r21_101816	A0A1D8PDT1
OG6_111244	A0A1D8PDT2
OG6_137822	A0A1D8PDV2
OG6r21_110815	A0A1D8PDU6
OG6_100266	A0A1D8PDT3
OG6_100322	Q96W54
OG6_101109	A0A1D8PDT4
OG6_102188	A0A1D8PDT9
OG6_102814	Q5AAP7
OG6_100246	Q5AAP8
OG6_102608	A0A1D8PDU1
OG6_100913	A0A1D8PDT6
OG6_100420	A0A1D8PDW1
OG6_100905	A0A1D8PDU9
OG6_110860	A0A1D8PDU0
OG6_107199	Q5AAQ7
OG6_100935	A0A1D8PDU3
OG6_103048	Q5AAR0
OG6_102881	Q5AAR2
OG6_101320	A0A1D8PDU7
OG6r21_115512	A0A1D8PDV8
OG6_102719	A0A1D8PDU2
OG6_500668	A0A1D8PDX1
OG6_102129	Q5AAR6
OG6_103218	A0A1D8PDV1
OG6_102745	A0A1D8PDX7
OG6_124891	A0A1D8PDV9
OG6_129980	A0A1D8PDW3
OG6_103547	Q5AAS1
OG6_101318	A0A1D8PDW7
OG6_100633	A0A1D8PDV5
OG6_108498	Q5AAS4
OG6r21_126906	A0A1D8PDX3
OG6r21_294843	Q5AB15
OG6_136665	A0A1D8PDW2
OG6_113602	A0A1D8PDY7
OG6_100842	Q5AAS9
OG6_104243	Q5AAT0
OG6_100495	O13289
OG6_152916	Q5AAT3
OG6_106323	A0A1D8PDY0
OG6_101636	A0A1D8PDW6
OG6_112506	Q5AAT6
OG6r21_108055	A0A1D8PDY6
OG6_133389	A0A1D8PDX4
OG6_100855	A0A1D8PDZ1
OG6_100612	A0A1D8PDX5
OG6_500871	A0A1D8PDX9
OG6_119599	A0A1D8PDY5
OG6_101250	Q5AAU3
OG6_103857	Q5AAU5
OG6_101220	Q5AAU7
OG6_131521	A0A1D8PDZ2
OG6_100246	A0A1D8PDZ8
OG6_103657	Q5AAV3
OG6_122947	Q5AAV4
OG6_152930	Q5AAV6
OG6_101367	Q5AB48
OG6_101367	Q5AB49
OG6_102586	Q5AAW1
OG6_112154	A0A1D8PDZ3
OG6_101887	Q5AAW3
OG6r21_102257	Q5AAW4
OG6_106731	Q5AAW5
OG6r21_109249	A0A1D8PDZ5
OG6_102499	A0A1D8PE08
OG6_103579	Q59WB3
OG6r21_101517	A0A1D8PDZ7
OG6_102502	Q59WB7
OG6_117193	A0A1D8PDZ4
OG6r21_105352	A0A1D8PE03
OG6_116987	Q59WB9
OG6_105544	Q59WC0
OG6_124178	Q59WC1
OG6_101471	Q59WC2
OG6_100186	Q59WC3
OG6r21_101377	Q59WC4
OG6_100677	Q59WC5
OG6_111253	Q59WC6
OG6_103457	A0A1D8PE04
OG6_137778	Q59WC8
OG6_103055	Q59WC9
OG6_104325	P0C0X3
OG6r21_139966	Q59WD1
OG6_100877	A0A1D8PE13
OG6_100297	Q59WD3
OG6_132987	Q59WD5
OG6_110016	P43079
OG6_137086	Q59WD8
OG6_103779	Q59WE0
OG6r21_101378	Q59WE1
OG6_100934	Q59WE2
OG6_103586	A0A1D8PE25
OG6_104039	Q59WE5
OG6_101929	A0A1D8PE20
OG6_101767	Q59PU4
OG6_107570	Q59PU5
OG6_107570	Q59PU6
OG6_102459	A0A1D8PE62
OG6_102594	A0A1D8PE36
OG6_101083	A0A1D8PE30
OG6_100943	A0A1D8PE41
OG6r21_139967	A0A1D8PE39
OG6_148106	A0A1D8PE54
OG6_102214	Q59PV3
OG6r21_101659	A0A1D8PE38
OG6_100211	A0A1D8PE33
OG6_101367	Q59PV6
OG6_101447	A0A1D8PE70
OG6_102981	Q59PV8
OG6r21_115513	A0A1D8PE34
OG6_127524	Q59PW0
OG6_101462	Q59PW1
OG6_110868	A0A1D8PE64
OG6r21_139968	Q59PW4
OG6_104307	A0A1D8PE47
OG6_531937	A0A1D8PE43
OG6_102402	A0A1D8PE35
OG6_101888	A0A1D8PE78
OG6_105424	Q5A477
OG6_101156	A0A1D8PE37
OG6r21_102258	A0A1D8PE56
OG6_104839	Q5A7B3
OG6_101730	Q5A7B1
OG6r21_112709	Q5A7B0
OG6_500559	Q5A7A9
OG6_102667	A0A1D8PE50
OG6_101905	A0A1D8PE45
OG6_102604	A0A1D8PE86
OG6r21_126907	A0A1D8PE68
OG6_123097	A0A1D8PE53
OG6_102076	A0A1D8PE63
OG6_100441	A0A1D8PE67
OG6r21_110816	Q5A799
OG6_105063	Q5A798
OG6r21_112710	A0A1D8PE82
OG6_107767	A0A1D8PE66
OG6_137856	Q5A796
OG6_103626	A0A1D8PE95
OG6_102150	A0A1D8PE76
OG6_107974	A0A1D8PE61
OG6_100344	A0A1D8PE74
OG6_109251	Q5A791
OG6_100818	A0A1D8PEA2
OG6_101769	A0A1D8PE77
OG6_101239	Q5A786
OG6r21_119619	A0A1D8PE80
OG6r21_101518	Q5A785
OG6_110555	Q5A784
OG6_100151	A0A1D8PE84
OG6_103668	A0A1D8PE69
OG6_101241	Q5A782
OG6_102018	Q5A779
OG6_101397	A0A1D8PEA9
OG6_111245	A0A1D8PE85
OG6_104485	A0A1D8PEA0
OG6_103273	A0A1D8PE88
OG6_129756	Q5A770
OG6_126916	A0A1D8PEB6
OG6_160270	Q5A768
OG6_101373	A0A1D8PE79
OG6_500355	Q5A766
OG6_100563	A0A1D8PE92
OG6_100026	Q5A762
OG6_101771	Q5A761
OG6_108039	A0A1D8PEB1
OG6_104655	Q5A759
OG6_101411	A0A1D8PE91
OG6r21_115514	A0A1D8PEC5
OG6_102330	Q5A756
OG6_101346	A0A1D8PE87
OG6_143747	Q5A753
OG6_100329	Q5A750
OG6_100245	O94038
OG6_103563	Q5A748
OG6r21_126908	A0A1D8PEB8
OG6_100468	Q5A747
OG6_106150	Q5A744
OG6_100227	Q59QD6
OG6_102242	A0A1D8PEB3
OG6_101195	A0A1D8PE97
OG6_102920	A0A1D8PEB0
OG6_103433	A0A1D8PEB4
OG6_105473	Q59QD0
OG6r21_115515	A0A1D8PEB5
OG6_104797	P0CY33
OG6_222562	Q59QC7
OG6_117015	Q59QC6
OG6_102376	Q59QC5
OG6_103826	Q59QC4
OG6_100260	P30575
OG6_102943	Q59QC2
OG6_117002	Q59QC1
OG6r21_102820	A0A1D8PEF2
OG6_100157	Q59QB9
OG6_107571	Q59QB8
OG6_101890	Q59QB7
OG6_112495	A0A1D8PEC2
OG6_103671	Q59QB4
OG6_103798	Q92206
OG6_101778	P87163
OG6_109522	Q59QA9
OG6_102787	A0A1D8PEE7
OG6r21_104034	A0A1D8PEF5
OG6_500902	Q5APP3
OG6_102300	A0A1D8PED9
OG6_102158	Q5APP1
OG6_115793	A0A1D8PED2
OG6_100764	A0A1D8PEF8
OG6_102226	A0A1D8PEE2
OG6_100012	A0A1D8PEE1
OG6_500430	A0A1D8PEE0
OG6_142601	A0A1D8PEI0
OG6_101023	Q5AQ76
OG6_101471	A0A1D8PED5
OG6r21_102518	A0A1D8PEE8
OG6_102950	A0A1D8PEE6
OG6_100381	Q5APN0
OG6_114945	A0A1D8PEG8
OG6_103990	Q5APM8
OG6_105578	Q5APM7
OG6_102507	Q5APM6
OG6r21_139969	A0A1D8PEJ1
OG6_109735	A0A1D8PEG6
OG6_130211	A0A1D8PEE3
OG6_101828	A0A1D8PEF4
OG6_102834	Q5AQ62
OG6_101704	A0A1D8PEF0
OG6_100753	A0A1D8PEI3
OG6_116824	A0A1D8PEG9
OG6r21_102259	A0A1D8PEG5
OG6_115945	Q5AQ57
OG6_109045	A0A1D8PEJ9
OG6_143771	A0A1D8PEH3
OG6_116779	A0A1D8PEF9
OG6_100726	A0A1D8PEG2
OG6_100362	A0A1D8PEG3
OG6_118298	A0A1D8PEG0
OG6_101268	Q5APK7
OG6_100887	A0A1D8PEH4
OG6_103849	Q5APK5
OG6_103854	Q5AQ47
OG6_499957	Q5APK1
OG6_102772	Q5APK0
OG6_500526	Q5APJ9
OG6_186968	A0A1D8PEG7
OG6_454940	A0A1D8PEH1
OG6r21_139970	A0A1D8PEI9
OG6_170053	A0A1D8PEJ5
OG6_133175	A0A1D8PEJ0
OG6_114267	Q5AQ36
OG6_103139	A0A1D8PEH5
OG6_103139	A0A1D8PEM4
OG6_161761	Q5AQ33
OG6_500510	A0A1D8PEI7
OG6_102658	A0A1D8PEI2
OG6_500510	A0A1D8PEH6
OG6_100558	A0A1D8PEJ7
OG6_133054	Q5API4
OG6_100721	A0A1D8PEJ8
OG6_115951	A0A1D8PEJ2
OG6_124191	A0A1D8PEI4
OG6_107202	A0A1D8PEN6
OG6r21_110817	Q5APH8
OG6_233658	A0A1D8PEJ4
OG6_101994	A0A1D8PEI6
OG6_100477	A0A1D8PEI8
OG6r21_102175	A0A1D8PEK7
